Date;Sanofi
2017-03-01;98.0
2017-03-02;83.0
2017-03-03;74.0
2017-03-06;89.0
2017-03-07;89.0
2017-03-08;92.0
2017-03-09;92.0
2017-03-10;75.0
2017-03-13;70.0
2017-03-14;83.0
2017-03-15;86.0
2017-03-16;100.0
2017-03-17;85.0
2017-03-20;74.0
2017-03-21;88.0
2017-03-22;83.0
2017-03-23;81.0
2017-03-24;69.0
2017-03-27;80.0
2017-03-28;92.0
2017-03-29;93.0
2017-03-30;95.0
2017-03-31;85.0
2017-04-03;88.0
2017-04-04;89.0
2017-04-05;84.0
2017-04-06;85.0
2017-04-07;76.0
2017-04-10;84.0
2017-04-11;73.0
2017-04-12;93.0
2017-04-13;73.0
2017-04-18;87.0
2017-04-19;80.0
2017-04-20;85.0
2017-04-21;75.0
2017-04-24;99.0
2017-04-25;94.0
2017-04-26;83.0
2017-04-27;85.0
2017-04-28;96.0
2017-05-02;87.0
2017-05-03;88.0
2017-05-04;80.0
2017-05-05;81.0
2017-05-08;81.0
2017-05-09;100.0
2017-05-10;81.0
2017-05-11;86.0
2017-05-12;85.0
2017-05-15;75.0
2017-05-16;100.0
2017-05-17;91.0
2017-05-18;90.0
2017-05-19;95.0
2017-05-22;88.0
2017-05-23;87.0
2017-05-24;78.0
2017-05-25;68.0
2017-05-26;63.0
2017-05-29;77.0
2017-05-30;91.0
2017-05-31;88.06451612903226
2017-06-01;80.23655913978494
2017-06-02;67.51612903225806
2017-06-05;64.58064516129032
2017-06-06;91.0
2017-06-07;86.10752688172043
2017-06-08;73.38709677419355
2017-06-09;85.12903225806451
2017-06-12;90.0215053763441
2017-06-13;83.17204301075269
2017-06-14;84.15053763440861
2017-06-15;66.53763440860214
2017-06-16;76.3225806451613
2017-06-19;77.3010752688172
2017-06-20;86.10752688172043
2017-06-21;96.87096774193549
2017-06-22;89.04301075268818
2017-06-23;85.12903225806451
2017-06-26;89.04301075268818
2017-06-27;85.12903225806451
2017-06-28;82.19354838709677
2017-06-29;93.93548387096774
2017-06-30;80.23655913978494
2017-07-03;69.47311827956989
2017-07-04;68.49462365591398
2017-07-05;97.84946236559139
2017-07-06;75.34408602150538
2017-07-07;77.3010752688172
2017-07-10;84.15053763440861
2017-07-11;83.17204301075269
2017-07-12;95.89247311827957
2017-07-13;79.25806451612904
2017-07-14;69.47311827956989
2017-07-17;80.23655913978494
2017-07-18;80.23655913978494
2017-07-19;85.12903225806451
2017-07-20;85.12903225806451
2017-07-21;74.36559139784947
2017-07-24;94.91397849462366
2017-07-25;66.53763440860214
2017-07-26;83.17204301075269
2017-07-27;65.55913978494624
2017-07-28;70.45161290322581
2017-07-31;92.95698924731182
2017-08-01;87.08602150537635
2017-08-02;81.21505376344086
2017-08-03;78.27956989247312
2017-08-04;61.645161290322584
2017-08-07;72.40860215053763
2017-08-08;77.3010752688172
2017-08-09;81.21505376344086
2017-08-10;81.21505376344086
2017-08-11;66.53763440860214
2017-08-14;57.73118279569893
2017-08-15;63.60215053763441
2017-08-16;83.17204301075269
2017-08-17;71.43010752688173
2017-08-18;58.70967741935484
2017-08-21;73.38709677419355
2017-08-22;82.19354838709677
2017-08-23;71.43010752688173
2017-08-24;72.40860215053763
2017-08-25;73.38709677419355
2017-08-28;77.3010752688172
2017-08-29;98.47945205479452
2017-08-30;75.18323759021946
2017-08-31;75.18323759021946
2017-09-01;73.06539991162174
2017-09-04;69.88864339372515
2017-09-05;92.12593901900132
2017-09-06;75.18323759021946
2017-09-07;83.6545883046104
2017-09-08;78.35999410811607
2017-09-11;82.59566946531153
2017-09-12;82.59566946531153
2017-09-13;91.06702017970245
2017-09-14;93.18485785830019
2017-09-15;76.24215642951833
2017-09-18;83.6545883046104
2017-09-19;100.59728973339224
2017-09-20;82.59566946531153
2017-09-21;102.71512741198998
2017-09-22;84.71350714390925
2017-09-25;98.47945205479452
2017-09-26;93.18485785830019
2017-09-27;81.53675062601266
2017-09-28;86.83134482250699
2017-09-29;78.35999410811607
2017-10-02;82.59566946531153
2017-10-03;96.36161437619678
2017-10-04;92.12593901900132
2017-10-05;102.71512741198998
2017-10-06;92.12593901900132
2017-10-09;92.12593901900132
2017-10-10;99.53837089409338
2017-10-11;105.89188392988657
2017-10-12;95.30269553689791
2017-10-13;79.41891294741494
2017-10-16;92.12593901900132
2017-10-17;91.06702017970245
2017-10-18;93.18485785830019
2017-10-19;92.12593901900132
2017-10-20;88.94918250110473
2017-10-23;93.18485785830019
2017-10-24;98.47945205479452
2017-10-25;94.24377669759906
2017-10-26;95.30269553689791
2017-10-27;82.59566946531153
2017-10-30;96.36161437619678
2017-10-31;86.83134482250699
2017-11-01;84.71350714390925
2017-11-02;84.71350714390925
2017-11-03;83.6545883046104
2017-11-06;79.41891294741494
2017-11-07;88.94918250110473
2017-11-08;95.30269553689791
2017-11-09;92.12593901900132
2017-11-10;84.71350714390925
2017-11-13;83.6545883046104
2017-11-14;94.24377669759906
2017-11-15;91.06702017970245
2017-11-16;93.18485785830019
2017-11-17;82.59566946531153
2017-11-20;86.83134482250699
2017-11-21;83.6545883046104
2017-11-22;92.12593901900132
2017-11-23;78.35999410811607
2017-11-24;68.82972455442628
2017-11-27;79.87273530711445
2017-11-28;98.025629695095
2017-11-29;85.31860362350861
2017-11-30;98.025629695095
2017-12-01;85.31860362350861
2017-12-04;130.70083959346
2017-12-05;110.73265576668139
2017-12-06;101.65620857269111
2017-12-07;112.54794520547945
2017-12-08;90.76447193990278
2017-12-11;108.91736632788334
2017-12-12;90.76447193990278
2017-12-13;107.10207688908528
2017-12-14;107.10207688908528
2017-12-15;99.84091913389305
2017-12-18;83.50331418471056
2017-12-19;81.6880247459125
2017-12-20;76.24215642951833
2017-12-21;76.24215642951833
2017-12-22;65.35041979673
2017-12-27;61.71984091913389
2017-12-28;50.82810428634556
2017-12-29;43.566946531153334
2018-01-02;76.24215642951833
2018-01-03;85.31860362350861
2018-01-04;94.39505081749888
2018-01-05;81.6880247459125
2018-01-08;94.39505081749888
2018-01-09;103.47149801148917
2018-01-10;101.65620857269111
2018-01-11;90.76447193990278
2018-01-12;88.94918250110473
2018-01-15;96.21034025629694
2018-01-16;108.91736632788334
2018-01-17;105.28678745028722
2018-01-18;96.21034025629694
2018-01-19;92.57976137870084
2018-01-22;181.52894387980555
2018-01-23;141.59257622624833
2018-01-24;107.10207688908528
2018-01-25;105.28678745028722
2018-01-26;88.94918250110473
2018-01-29;136.14670790985417
2018-01-30;108.91736632788334
2018-01-31;94.39505081749888
2018-02-01;110.73265576668139
2018-02-02;94.39505081749888
2018-02-05;87.13389306230667
2018-02-06;117.99381352187362
2018-02-07;110.73265576668139
2018-02-08;116.17852408307556
2018-02-09;99.84091913389305
2018-02-12;94.39505081749888
2018-02-13;103.47149801148917
2018-02-14;83.50331418471056
2018-02-15;103.47149801148917
2018-02-16;94.39505081749888
2018-02-19;90.76447193990278
2018-02-20;92.57976137870084
2018-02-21;94.39505081749888
2018-02-22;98.025629695095
2018-02-23;81.6880247459125
2018-02-26;81.92075416114304
2018-02-27;92.16084843128591
2018-02-28;86.01679186920018
2018-03-01;73.72867874502873
