Date;Total
2018-01-11;100.50130798744331
2018-01-12;96.31375348796651
2018-01-15;94.9179019881409
2018-01-16;96.31375348796651
2018-01-17;96.31375348796651
2018-01-18;100.50130798744331
2018-01-19;96.31375348796651
2018-01-22;99.10545648761772
2018-01-23;103.29301098709452
2018-01-24;101.89715948726891
2018-01-25;101.89715948726891
2018-01-26;97.7096049877921
2018-01-29;104.68886248692012
2018-01-30;117.25152598535053
2018-01-31;139.58514998256015
2018-02-01;107.48056548657132
2018-02-02;100.50130798744331
2018-02-05;101.89715948726891
2018-02-06;104.68886248692012
2018-02-07;100.50130798744331
2018-02-08;101.89715948726891
2018-02-09;96.31375348796651
2018-02-12;97.7096049877921
2018-02-13;101.89715948726891
2018-02-14;100.50130798744331
2018-02-15;103.29301098709452
2018-02-16;99.10545648761772
2018-02-19;99.10545648761772
2018-02-20;101.89715948726891
2018-02-21;100.50130798744331
2018-02-22;104.68886248692012
2018-02-23;97.7096049877921
2018-02-26;101.932950551367
2018-02-27;101.932950551367
2018-02-28;105.36889270478386
2018-03-01;99.6423224490891
2018-03-02;95.06106624453327
2018-03-05;104.2235786536449
2018-03-06;107.65952080706177
2018-03-07;105.36889270478386
2018-03-08;103.07826460250595
2018-03-09;98.49700839795013
2018-03-12;104.2235786536449
2018-03-13;103.07826460250595
2018-03-14;106.51420675592281
2018-03-15;104.2235786536449
2018-03-16;95.06106624453327
2018-03-19;101.932950551367
2018-03-20;101.932950551367
2018-03-21;101.932950551367
2018-03-22;107.65952080706177
2018-03-23;106.51420675592281
2018-03-26;103.07826460250595
2018-03-27;96.20638029567222
2018-03-28;99.6423224490891
2018-03-29;90.47981003997745
2018-04-03;107.65952080706177
2018-04-04;108.80483485820072
2018-04-05;111.09546296047864
2018-04-06;99.6423224490891
2018-04-09;105.36889270478386
2018-04-10;114.5314051138955
2018-04-11;111.09546296047864
2018-04-12;108.80483485820072
2018-04-13;100.78763650022805
2018-04-16;107.65952080706177
2018-04-17;105.36889270478386
2018-04-18;108.80483485820072
2018-04-19;105.36889270478386
2018-04-20;97.35169434681117
2018-04-23;100.78763650022805
2018-04-24;104.2235786536449
2018-04-25;104.2235786536449
2018-04-26;104.2235786536449
2018-04-27;101.932950551367
2018-04-30;105.36889270478386
2018-05-02;103.07826460250595
2018-05-03;101.932950551367
2018-05-04;104.2235786536449
2018-05-07;99.6423224490891
2018-05-08;104.2235786536449
2018-05-09;105.36889270478386
2018-05-10;103.07826460250595
2018-05-11;96.20638029567222
2018-05-14;95.06106624453327
