Date;Societe Generale
2017-09-14;85.84474885844749
2017-09-15;81.55251141552512
2017-09-18;77.26027397260273
2017-09-19;87.99086757990868
2017-09-20;81.55251141552512
2017-09-21;79.40639269406392
2017-09-22;80.47945205479452
2017-09-25;83.6986301369863
2017-09-26;96.57534246575342
2017-09-27;99.79452054794521
2017-09-28;96.57534246575342
2017-09-29;93.35616438356165
2017-10-02;95.50228310502283
2017-10-03;106.23287671232876
2017-10-04;95.50228310502283
2017-10-05;99.79452054794521
2017-10-06;91.21004566210046
2017-10-09;92.28310502283105
2017-10-10;101.94063926940639
2017-10-11;93.35616438356165
2017-10-12;89.06392694063926
2017-10-13;89.06392694063926
2017-10-16;81.55251141552512
2017-10-17;94.42922374429224
2017-10-18;89.06392694063926
2017-10-19;82.62557077625571
2017-10-20;82.62557077625571
2017-10-23;75.11415525114155
2017-10-24;86.91780821917808
2017-10-25;91.21004566210046
2017-10-26;90.13698630136986
2017-10-27;98.72146118721462
2017-10-30;87.99086757990868
2017-10-31;94.42922374429224
2017-11-01;60.09132420091324
2017-11-02;104.08675799086758
2017-11-03;99.79452054794521
2017-11-06;95.50228310502283
2017-11-07;99.79452054794521
2017-11-08;94.42922374429224
2017-11-09;95.50228310502283
2017-11-10;107.30593607305936
2017-11-13;85.84474885844749
2017-11-14;95.50228310502283
2017-11-15;91.21004566210046
2017-11-16;81.55251141552512
2017-11-17;83.6986301369863
2017-11-20;77.26027397260273
2017-11-21;87.99086757990868
2017-11-22;83.6986301369863
2017-11-23;87.99086757990868
2017-11-24;84.77168949771689
2017-11-27;91.29052511415524
2017-11-28;109.98858447488584
2017-11-29;104.48915525114155
2017-11-30;94.59018264840182
2017-12-01;89.09075342465754
2017-12-04;95.69006849315068
2017-12-05;104.48915525114155
2017-12-06;92.39041095890411
2017-12-07;92.39041095890411
2017-12-08;94.59018264840182
2017-12-11;83.59132420091323
2017-12-12;98.98972602739725
2017-12-13;87.99086757990867
2017-12-14;90.19063926940639
2017-12-15;93.49029680365297
2017-12-18;87.99086757990867
2017-12-19;100.08961187214612
2017-12-20;102.28938356164383
2017-12-21;104.48915525114155
2017-12-22;94.59018264840182
2017-12-27;94.59018264840182
2017-12-28;96.78995433789954
2017-12-29;92.39041095890411
2018-01-02;108.88869863013699
2018-01-03;104.48915525114155
2018-01-04;98.98972602739725
2018-01-05;100.08961187214612
2018-01-08;83.59132420091323
2018-01-09;98.98972602739725
2018-01-10;93.49029680365297
2018-01-11;89.09075342465754
2018-01-12;84.6912100456621
2018-01-15;82.49143835616438
2018-01-16;90.19063926940639
2018-01-17;83.59132420091323
2018-01-18;85.79109589041096
2018-01-19;79.1917808219178
2018-01-22;74.79223744292237
2018-01-23;84.6912100456621
2018-01-24;80.29166666666667
2018-01-25;87.99086757990867
2018-01-26;89.09075342465754
2018-01-29;91.29052511415524
2018-01-30;103.38926940639269
2018-01-31;95.69006849315068
2018-02-01;100.08961187214612
2018-02-02;87.99086757990867
2018-02-05;89.09075342465754
2018-02-06;92.39041095890411
2018-02-07;83.59132420091323
2018-02-08;91.29052511415524
2018-02-09;87.99086757990867
2018-02-12;79.1917808219178
2018-02-13;91.29052511415524
2018-02-14;89.09075342465754
2018-02-15;86.89098173515981
2018-02-16;78.09189497716895
2018-02-19;79.1917808219178
2018-02-20;85.79109589041096
2018-02-21;79.1917808219178
2018-02-22;74.79223744292237
2018-02-23;80.29166666666667
2018-02-26;85.19884966631541
2018-02-27;93.04611213558131
2018-02-28;91.9250746399719
2018-03-01;88.56196215314365
2018-03-02;85.19884966631541
2018-03-05;85.19884966631541
2018-03-06;98.65129961362837
2018-03-07;90.80403714436248
2018-03-08;81.83573717948717
2018-03-09;85.19884966631541
2018-03-12;80.71469968387777
2018-03-13;86.31988716192483
2018-03-14;78.47262469265894
2018-03-15;84.077812170706
2018-03-16;76.23054970144011
2018-03-19;72.86743721461187
2018-03-20;84.077812170706
2018-03-21;76.23054970144011
2018-03-22;77.35158719704953
2018-03-23;75.1095122058307
2018-03-26;79.59366218826835
2018-03-27;94.16714963119072
2018-03-28;95.28818712680014
2018-03-29;93.04611213558131
2018-04-03;112.10374956094134
2018-04-04;98.65129961362837
2018-04-05;107.61959957850368
2018-04-06;90.80403714436248
2018-04-09;84.077812170706
2018-04-10;91.9250746399719
2018-04-11;82.95677467509658
2018-04-12;80.71469968387777
2018-04-13;81.83573717948717
2018-04-16;70.62536222339304
2018-04-17;82.95677467509658
2018-04-18;75.1095122058307
2018-04-19;73.98847471022128
2018-04-20;76.23054970144011
