Date;L'oreal
2017-03-01;91.0
2017-03-02;89.0
2017-03-03;96.0
2017-03-06;90.0
2017-03-07;86.0
2017-03-08;90.0
2017-03-09;89.0
2017-03-10;88.0
2017-03-13;84.0
2017-03-14;84.0
2017-03-15;86.0
2017-03-16;92.0
2017-03-17;85.0
2017-03-20;77.0
2017-03-21;80.0
2017-03-22;85.0
2017-03-23;87.0
2017-03-24;84.0
2017-03-27;81.0
2017-03-28;80.0
2017-03-29;83.0
2017-03-30;81.0
2017-03-31;85.0
2017-04-03;76.0
2017-04-04;73.0
2017-04-05;79.0
2017-04-06;78.0
2017-04-07;79.0
2017-04-10;77.0
2017-04-11;77.0
2017-04-12;82.0
2017-04-13;79.0
2017-04-18;80.0
2017-04-19;84.0
2017-04-20;97.0
2017-04-21;90.0
2017-04-24;82.0
2017-04-25;79.0
2017-04-26;84.0
2017-04-27;82.0
2017-04-28;81.0
2017-05-02;78.0
2017-05-03;78.0
2017-05-04;79.0
2017-05-05;79.0
2017-05-08;75.0
2017-05-09;81.0
2017-05-10;80.0
2017-05-11;83.0
2017-05-12;78.0
2017-05-15;71.0
2017-05-16;66.0
2017-05-17;78.0
2017-05-18;76.0
2017-05-19;82.0
2017-05-22;74.0
2017-05-23;78.0
2017-05-24;78.0
2017-05-25;81.0
2017-05-26;77.0
2017-05-29;74.0
2017-05-30;76.0
2017-05-31;76.0
2017-06-01;78.68235294117648
2017-06-02;76.0
2017-06-05;78.68235294117648
2017-06-06;76.89411764705882
2017-06-07;79.5764705882353
2017-06-08;81.36470588235295
2017-06-09;81.36470588235295
2017-06-12;80.47058823529412
2017-06-13;78.68235294117648
2017-06-14;84.94117647058825
2017-06-15;77.78823529411765
2017-06-16;82.25882352941177
2017-06-19;75.10588235294118
2017-06-20;81.36470588235295
2017-06-21;82.25882352941177
2017-06-22;80.47058823529412
2017-06-23;88.51764705882353
2017-06-26;82.25882352941177
2017-06-27;83.15294117647059
2017-06-28;75.10588235294118
2017-06-29;80.47058823529412
2017-06-30;87.62352941176471
2017-07-03;77.78823529411765
2017-07-04;88.51764705882353
2017-07-05;79.5764705882353
2017-07-06;83.15294117647059
2017-07-07;79.5764705882353
2017-07-10;83.15294117647059
2017-07-11;81.36470588235295
2017-07-12;78.68235294117648
2017-07-13;80.47058823529412
2017-07-14;81.36470588235295
2017-07-17;78.68235294117648
2017-07-18;76.89411764705882
2017-07-19;76.0
2017-07-20;81.36470588235295
2017-07-21;76.89411764705882
2017-07-24;79.5764705882353
2017-07-25;76.0
2017-07-26;81.36470588235295
2017-07-27;85.83529411764707
2017-07-28;79.5764705882353
2017-07-31;81.36470588235295
2017-08-01;85.83529411764707
2017-08-02;87.62352941176471
2017-08-03;82.25882352941177
2017-08-04;80.47058823529412
2017-08-07;82.25882352941177
2017-08-08;81.36470588235295
2017-08-09;77.78823529411765
2017-08-10;84.04705882352941
2017-08-11;84.94117647058825
2017-08-14;76.0
2017-08-15;77.78823529411765
2017-08-16;79.5764705882353
2017-08-17;81.36470588235295
2017-08-18;77.78823529411765
2017-08-21;79.5764705882353
2017-08-22;86.72941176470589
2017-08-23;82.25882352941177
2017-08-24;76.89411764705882
2017-08-25;84.04705882352941
2017-08-28;81.36470588235295
2017-08-29;87.54430379746836
2017-08-30;82.39463886820552
2017-08-31;86.51437081161579
2017-09-01;89.6041697691735
2017-09-04;88.57423678332093
2017-09-05;87.54430379746836
2017-09-06;80.33477289650038
2017-09-07;82.39463886820552
2017-09-08;77.24497393894268
2017-09-11;80.33477289650038
2017-09-12;78.27490692479525
2017-09-13;77.24497393894268
2017-09-14;82.39463886820552
2017-09-15;81.36470588235295
2017-09-18;73.12524199553239
2017-09-19;78.27490692479525
2017-09-20;82.39463886820552
2017-09-21;94.75383469843635
2017-09-22;102.9932985852569
2017-09-25;79.30483991064781
2017-09-26;84.45450483991065
2017-09-27;82.39463886820552
2017-09-28;82.39463886820552
2017-09-29;84.45450483991065
2017-10-02;83.42457185405809
2017-10-03;78.27490692479525
2017-10-04;82.39463886820552
2017-10-05;88.57423678332093
2017-10-06;81.36470588235295
2017-10-09;85.48443782576322
2017-10-10;95.78376768428892
2017-10-11;94.75383469843635
2017-10-12;89.6041697691735
2017-10-13;90.63410275502608
2017-10-16;84.45450483991065
2017-10-17;86.51437081161579
2017-10-18;85.48443782576322
2017-10-19;88.57423678332093
2017-10-20;81.36470588235295
2017-10-23;83.42457185405809
2017-10-24;78.27490692479525
2017-10-25;81.36470588235295
2017-10-26;90.63410275502608
2017-10-27;87.54430379746836
2017-10-30;80.33477289650038
2017-10-31;76.21504095309011
2017-11-01;77.24497393894268
2017-11-02;79.30483991064781
2017-11-03;81.36470588235295
2017-11-06;76.21504095309011
2017-11-07;81.36470588235295
2017-11-08;83.42457185405809
2017-11-09;84.45450483991065
2017-11-10;86.51437081161579
2017-11-13;82.39463886820552
2017-11-14;80.33477289650038
2017-11-15;79.30483991064781
2017-11-16;80.33477289650038
2017-11-17;84.45450483991065
2017-11-20;84.45450483991065
2017-11-21;80.33477289650038
2017-11-22;80.33477289650038
2017-11-23;89.6041697691735
2017-11-24;95.78376768428892
2017-11-27;77.66631016042781
2017-11-28;79.6325458606918
2017-11-29;81.5987815609558
2017-11-30;85.53125296148379
2017-12-01;84.5481351113518
2017-12-04;78.6494280105598
2017-12-05;83.5650172612198
2017-12-06;82.5818994110878
2017-12-07;82.5818994110878
2017-12-08;83.5650172612198
2017-12-11;76.68319231029581
2017-12-12;81.5987815609558
2017-12-13;84.5481351113518
