Date;Vinci
2017-03-01;80.0
2017-03-02;81.0
2017-03-03;76.0
2017-03-06;81.0
2017-03-07;84.0
2017-03-08;78.0
2017-03-09;81.0
2017-03-10;83.0
2017-03-13;80.0
2017-03-14;80.0
2017-03-15;79.0
2017-03-16;78.0
2017-03-17;78.0
2017-03-20;81.0
2017-03-21;82.0
2017-03-22;81.0
2017-03-23;79.0
2017-03-24;80.0
2017-03-27;81.0
2017-03-28;84.0
2017-03-29;83.0
2017-03-30;79.0
2017-03-31;76.0
2017-04-03;78.0
2017-04-04;89.0
2017-04-05;86.0
2017-04-06;85.0
2017-04-07;76.0
2017-04-10;79.0
2017-04-11;77.0
2017-04-12;75.0
2017-04-13;78.0
2017-04-18;88.0
2017-04-19;80.0
2017-04-20;75.0
2017-04-21;76.0
2017-04-24;82.0
2017-04-25;82.0
2017-04-26;100.0
2017-04-27;87.0
2017-04-28;76.0
2017-05-02;83.0
2017-05-03;83.0
2017-05-04;80.0
2017-05-05;78.0
2017-05-08;82.0
2017-05-09;93.0
2017-05-10;86.0
2017-05-11;82.0
2017-05-12;76.0
2017-05-15;79.0
2017-05-16;83.0
2017-05-17;82.0
2017-05-18;79.0
2017-05-19;78.0
2017-05-22;85.0
2017-05-23;82.0
2017-05-24;76.0
2017-05-25;75.0
2017-05-26;68.0
2017-05-29;80.0
2017-05-30;83.0
2017-05-31;83.83838383838383
2017-06-01;76.29292929292929
2017-06-02;74.61616161616162
2017-06-05;81.32323232323232
2017-06-06;83.83838383838383
2017-06-07;83.0
2017-06-08;75.45454545454545
2017-06-09;73.77777777777777
2017-06-12;73.77777777777777
2017-06-13;80.48484848484848
2017-06-14;77.13131313131312
2017-06-15;72.93939393939394
2017-06-16;70.42424242424242
2017-06-19;72.93939393939394
2017-06-20;72.93939393939394
2017-06-21;73.77777777777777
2017-06-22;69.58585858585859
2017-06-23;70.42424242424242
2017-06-26;82.16161616161615
2017-06-27;73.77777777777777
2017-06-28;74.61616161616162
2017-06-29;67.07070707070707
2017-06-30;71.26262626262626
2017-07-03;76.29292929292929
2017-07-04;69.58585858585859
2017-07-05;70.42424242424242
2017-07-06;69.58585858585859
2017-07-07;70.42424242424242
2017-07-10;75.45454545454545
2017-07-11;75.45454545454545
2017-07-12;69.58585858585859
2017-07-13;72.93939393939394
2017-07-14;63.717171717171716
2017-07-17;66.23232323232322
2017-07-18;71.26262626262626
2017-07-19;67.9090909090909
2017-07-20;69.58585858585859
2017-07-21;65.39393939393939
2017-07-24;67.9090909090909
2017-07-25;68.74747474747474
2017-07-26;69.58585858585859
2017-07-27;69.58585858585859
2017-07-28;70.42424242424242
2017-07-31;69.58585858585859
2017-08-01;68.74747474747474
