Date;Hermes
2017-10-09;95.39876543209876
2017-10-10;88.58456790123456
2017-10-11;91.50493827160494
2017-10-12;87.61111111111111
2017-10-13;85.6641975308642
2017-10-16;84.69074074074074
2017-10-17;85.6641975308642
2017-10-18;82.74382716049382
2017-10-19;82.74382716049382
2017-10-20;82.74382716049382
2017-10-23;81.77037037037037
2017-10-24;77.87654320987654
2017-10-25;79.82345679012346
2017-10-26;82.74382716049382
2017-10-27;81.77037037037037
2017-10-30;78.85
2017-10-31;63.27469135802469
2017-11-01;73.00925925925925
2017-11-02;91.50493827160494
2017-11-03;89.55802469135803
2017-11-06;86.63765432098765
2017-11-07;89.55802469135803
2017-11-08;88.58456790123456
2017-11-09;97.34567901234567
2017-11-10;89.55802469135803
2017-11-13;87.61111111111111
2017-11-14;86.63765432098765
2017-11-15;87.61111111111111
2017-11-16;89.55802469135803
2017-11-17;86.63765432098765
2017-11-20;89.55802469135803
2017-11-21;88.58456790123456
2017-11-22;92.47839506172839
2017-11-23;94.4253086419753
2017-11-24;91.50493827160494
2017-11-27;96.92848324514992
2017-11-28;100.47464726631394
2017-11-29;101.65670194003528
2017-11-30;101.65670194003528
2017-12-01;102.83875661375662
2017-12-04;105.2028659611993
2017-12-05;108.74902998236333
2017-12-06;106.38492063492063
2017-12-07;102.83875661375662
2017-12-08;99.2925925925926
2017-12-11;108.74902998236333
2017-12-12;105.2028659611993
2017-12-13;105.2028659611993
2017-12-14;108.74902998236333
2017-12-15;107.56697530864199
2017-12-18;117.0234126984127
2017-12-19;113.47724867724868
2017-12-20;118.20546737213404
2017-12-21;117.0234126984127
2017-12-22;113.47724867724868
2017-12-27;95.74642857142858
2017-12-28;99.2925925925926
2017-12-29;96.92848324514992
2018-01-02;91.01820987654321
2018-01-03;96.92848324514992
2018-01-04;94.56437389770724
2018-01-05;93.38231922398589
2018-01-08;87.47204585537919
2018-01-09;85.10793650793651
2018-01-10;87.47204585537919
2018-01-11;87.47204585537919
2018-01-12;83.92588183421518
2018-01-15;81.56177248677248
2018-01-16;86.28999118165785
2018-01-17;85.10793650793651
2018-01-18;83.92588183421518
2018-01-19;83.92588183421518
2018-01-22;82.74382716049384
2018-01-23;85.10793650793651
2018-01-24;81.56177248677248
2018-01-25;86.28999118165785
2018-01-26;81.56177248677248
2018-01-29;81.56177248677248
2018-01-30;85.10793650793651
2018-01-31;87.47204585537919
2018-02-01;85.10793650793651
2018-02-02;82.74382716049384
2018-02-05;82.74382716049384
2018-02-06;81.56177248677248
2018-02-07;87.47204585537919
2018-02-08;82.74382716049384
2018-02-09;80.37971781305114
2018-02-12;82.74382716049384
2018-02-13;82.74382716049384
2018-02-14;81.56177248677248
2018-02-15;86.28999118165785
2018-02-16;75.65149911816579
2018-02-19;80.37971781305114
2018-02-20;80.37971781305114
2018-02-21;78.01560846560847
2018-02-22;79.1976631393298
2018-02-23;75.65149911816579
2018-02-26;81.45591684434969
2018-02-27;84.47280265339967
2018-02-28;81.45591684434969
2018-03-01;80.45028824133303
2018-03-02;82.46154544736635
2018-03-05;87.48968846244966
2018-03-06;85.47843125641634
2018-03-07;90.50657427149964
2018-03-08;88.49531706546632
2018-03-09;87.48968846244966
2018-03-12;88.49531706546632
