Date;Michelin
2017-03-01;79.0
2017-03-02;81.0
2017-03-03;84.0
2017-03-06;87.0
2017-03-07;80.0
2017-03-08;87.0
2017-03-09;83.0
2017-03-10;88.0
2017-03-13;84.0
2017-03-14;79.0
2017-03-15;84.0
2017-03-16;82.0
2017-03-17;86.0
2017-03-20;87.0
2017-03-21;89.0
2017-03-22;84.0
2017-03-23;88.0
2017-03-24;85.0
2017-03-27;89.0
2017-03-28;86.0
2017-03-29;88.0
2017-03-30;86.0
2017-03-31;90.0
2017-04-03;90.0
2017-04-04;90.0
2017-04-05;96.0
2017-04-06;89.0
2017-04-07;89.0
2017-04-10;99.0
2017-04-11;96.0
2017-04-12;85.0
2017-04-13;95.0
2017-04-18;89.0
2017-04-19;89.0
2017-04-20;86.0
2017-04-21;92.0
2017-04-24;90.0
2017-04-25;89.0
2017-04-26;95.0
2017-04-27;89.0
2017-04-28;94.0
2017-05-02;89.0
2017-05-03;89.0
2017-05-04;84.0
2017-05-05;89.0
2017-05-08;86.0
2017-05-09;89.0
2017-05-10;86.0
2017-05-11;95.0
2017-05-12;92.0
2017-05-15;89.0
2017-05-16;85.0
2017-05-17;86.0
2017-05-18;87.0
2017-05-19;95.0
2017-05-22;100.0
2017-05-23;93.0
2017-05-24;99.0
2017-05-25;90.0
2017-05-26;90.0
2017-05-29;100.0
2017-05-30;98.0
2017-05-31;101.58536585365853
2017-06-01;99.1951219512195
2017-06-02;99.1951219512195
2017-06-05;99.1951219512195
2017-06-06;105.17073170731707
2017-06-07;96.80487804878048
2017-06-08;98.0
2017-06-09;95.60975609756098
2017-06-12;103.97560975609755
2017-06-13;99.1951219512195
2017-06-14;94.41463414634146
2017-06-15;99.1951219512195
2017-06-16;101.58536585365853
2017-06-19;105.17073170731707
2017-06-20;100.39024390243902
2017-06-21;94.41463414634146
2017-06-22;96.80487804878048
2017-06-23;101.58536585365853
2017-06-26;113.53658536585365
2017-06-27;106.36585365853658
2017-06-28;106.36585365853658
2017-06-29;106.36585365853658
2017-06-30;105.17073170731707
2017-07-03;111.14634146341463
2017-07-04;108.7560975609756
2017-07-05;105.17073170731707
2017-07-06;108.7560975609756
2017-07-07;105.17073170731707
2017-07-10;111.14634146341463
2017-07-11;103.97560975609755
2017-07-12;112.34146341463415
2017-07-13;103.97560975609755
2017-07-14;108.7560975609756
2017-07-17;108.7560975609756
2017-07-18;109.95121951219512
2017-07-19;101.58536585365853
2017-07-20;106.36585365853658
2017-07-21;109.95121951219512
2017-07-24;115.92682926829268
2017-07-25;109.95121951219512
2017-07-26;119.51219512195121
2017-07-27;115.92682926829268
2017-07-28;118.3170731707317
2017-07-31;118.3170731707317
2017-08-01;117.12195121951218
2017-08-02;112.34146341463415
2017-08-03;113.53658536585365
2017-08-04;119.51219512195121
2017-08-07;113.53658536585365
2017-08-08;114.73170731707316
2017-08-09;113.53658536585365
2017-08-10;114.73170731707316
2017-08-11;114.73170731707316
2017-08-14;102.78048780487805
2017-08-15;98.0
2017-08-16;102.78048780487805
2017-08-17;103.97560975609755
2017-08-18;109.95121951219512
2017-08-21;101.58536585365853
2017-08-22;99.1951219512195
2017-08-23;98.0
2017-08-24;103.97560975609755
2017-08-25;103.97560975609755
2017-08-28;100.39024390243902
2017-08-29;99.24944567627495
2017-08-30;98.10864745011087
2017-08-31;99.24944567627495
2017-09-01;100.39024390243902
2017-09-04;102.67184035476718
2017-09-05;95.8270509977827
2017-09-06;98.10864745011087
2017-09-07;100.39024390243902
2017-09-08;102.67184035476718
2017-09-11;92.40465631929047
2017-09-12;92.40465631929047
2017-09-13;94.68625277161863
2017-09-14;92.40465631929047
2017-09-15;96.96784922394679
2017-09-18;98.10864745011087
2017-09-19;94.68625277161863
2017-09-20;96.96784922394679
2017-09-21;99.24944567627495
2017-09-22;107.2350332594235
2017-09-25;95.8270509977827
2017-09-26;94.68625277161863
2017-09-27;98.10864745011087
2017-09-28;96.96784922394679
2017-09-29;98.10864745011087
2017-10-02;108.37583148558758
2017-10-03;102.67184035476718
2017-10-04;100.39024390243902
2017-10-05;96.96784922394679
2017-10-06;95.8270509977827
2017-10-09;99.24944567627495
2017-10-10;99.24944567627495
2017-10-11;96.96784922394679
2017-10-12;100.39024390243902
2017-10-13;101.5310421286031
2017-10-16;98.10864745011087
2017-10-17;99.24944567627495
2017-10-18;95.8270509977827
2017-10-19;96.96784922394679
2017-10-20;101.5310421286031
2017-10-23;101.5310421286031
2017-10-24;103.81263858093126
2017-10-25;100.39024390243902
2017-10-26;102.67184035476718
2017-10-27;101.5310421286031
2017-10-30;104.95343680709534
2017-10-31;99.24944567627495
2017-11-01;87.84146341463415
2017-11-02;96.96784922394679
2017-11-03;99.24944567627495
2017-11-06;100.39024390243902
2017-11-07;96.96784922394679
2017-11-08;98.10864745011087
2017-11-09;98.10864745011087
2017-11-10;94.68625277161863
2017-11-13;100.39024390243902
2017-11-14;102.67184035476718
2017-11-15;102.67184035476718
2017-11-16;114.079822616408
2017-11-17;109.51662971175168
2017-11-20;102.67184035476718
2017-11-21;95.8270509977827
2017-11-22;107.2350332594235
2017-11-23;109.51662971175168
2017-11-24;95.8270509977827
2017-11-27;89.8654602675059
2017-11-28;84.41906873614191
2017-11-29;85.7806666189829
2017-11-30;87.1422645018239
2017-12-01;83.05747085330091
2017-12-04;87.1422645018239
2017-12-05;84.41906873614191
2017-12-06;84.41906873614191
2017-12-07;80.3342750876189
2017-12-08;85.7806666189829
2017-12-11;102.11984121307489
2017-12-12;81.6958729704599
2017-12-13;81.6958729704599
