Date;Atos
2017-03-01;80.0
2017-03-02;95.0
2017-03-03;87.0
2017-03-06;88.0
2017-03-07;88.0
2017-03-08;83.0
2017-03-09;88.0
2017-03-10;86.0
2017-03-13;90.0
2017-03-14;96.0
2017-03-15;92.0
2017-03-16;90.0
2017-03-17;89.0
2017-03-20;83.0
2017-03-21;97.0
2017-03-22;92.0
2017-03-23;88.0
2017-03-24;90.0
2017-03-27;83.0
2017-03-28;100.0
2017-03-29;91.0
2017-03-30;91.0
2017-03-31;81.0
2017-04-03;92.0
2017-04-04;97.0
2017-04-05;89.0
2017-04-06;91.0
2017-04-07;83.0
2017-04-10;85.0
2017-04-11;90.0
2017-04-12;87.0
2017-04-13;77.0
2017-04-18;91.0
2017-04-19;83.0
2017-04-20;84.0
2017-04-21;76.0
2017-04-24;94.0
2017-04-25;98.0
2017-04-26;88.0
2017-04-27;88.0
2017-04-28;87.0
2017-05-02;88.0
2017-05-03;88.0
2017-05-04;93.0
2017-05-05;81.0
2017-05-08;87.0
2017-05-09;83.0
2017-05-10;89.0
2017-05-11;87.0
2017-05-12;78.0
2017-05-15;87.0
2017-05-16;86.0
2017-05-17;83.0
2017-05-18;87.0
2017-05-19;85.0
2017-05-22;82.0
2017-05-23;86.0
2017-05-24;75.0
2017-05-25;88.0
2017-05-26;83.0
2017-05-29;85.0
2017-05-30;97.0
2017-05-31;100.3448275862069
2017-06-01;92.54022988505747
2017-06-02;80.27586206896552
2017-06-05;97.0
2017-06-06;105.91954022988506
2017-06-07;103.68965517241381
2017-06-08;103.68965517241381
2017-06-09;89.19540229885058
2017-06-12;90.31034482758622
2017-06-13;100.3448275862069
2017-06-14;102.57471264367817
2017-06-15;92.54022988505747
2017-06-16;82.50574712643679
2017-06-19;86.96551724137932
2017-06-20;109.26436781609196
2017-06-21;109.26436781609196
2017-06-22;95.88505747126437
2017-06-23;95.88505747126437
2017-06-26;85.85057471264369
2017-06-27;103.68965517241381
2017-06-28;101.45977011494253
2017-06-29;93.65517241379311
2017-06-30;99.22988505747128
2017-07-03;89.19540229885058
2017-07-04;95.88505747126437
2017-07-05;102.57471264367817
2017-07-06;100.3448275862069
2017-07-07;81.39080459770116
2017-07-10;86.96551724137932
2017-07-11;90.31034482758622
2017-07-12;90.31034482758622
2017-07-13;89.19540229885058
2017-07-14;75.816091954023
2017-07-17;74.70114942528735
2017-07-18;97.0
2017-07-19;95.88505747126437
2017-07-20;81.39080459770116
2017-07-21;89.19540229885058
2017-07-24;86.96551724137932
2017-07-25;94.77011494252875
2017-07-26;111.49425287356323
2017-07-27;95.88505747126437
2017-07-28;82.50574712643679
2017-07-31;91.42528735632185
2017-08-01;93.65517241379311
