Date;Axa
2017-09-14;90.8255319148936
2017-09-15;80.95319148936169
2017-09-18;96.74893617021276
2017-09-19;90.8255319148936
2017-09-20;90.8255319148936
2017-09-21;85.88936170212764
2017-09-22;81.94042553191488
2017-09-25;95.76170212765956
2017-09-26;93.78723404255318
2017-09-27;90.8255319148936
2017-09-28;87.86382978723402
2017-09-29;82.92765957446808
2017-10-02;93.78723404255318
2017-10-03;92.79999999999998
2017-10-04;94.77446808510638
2017-10-05;88.85106382978722
2017-10-06;82.92765957446808
2017-10-09;94.77446808510638
2017-10-10;90.8255319148936
2017-10-11;89.83829787234042
2017-10-12;84.90212765957446
2017-10-13;83.91489361702126
2017-10-16;93.78723404255318
2017-10-17;93.78723404255318
2017-10-18;88.85106382978722
2017-10-19;89.83829787234042
2017-10-20;79.9659574468085
2017-10-23;95.76170212765956
2017-10-24;88.85106382978722
2017-10-25;87.86382978723402
2017-10-26;86.87659574468084
2017-10-27;79.9659574468085
2017-10-30;95.76170212765956
2017-10-31;85.88936170212764
2017-11-01;63.18297872340425
2017-11-02;92.79999999999998
2017-11-03;81.94042553191488
2017-11-06;94.77446808510638
2017-11-07;92.79999999999998
2017-11-08;87.86382978723402
2017-11-09;88.85106382978722
2017-11-10;84.90212765957446
2017-11-13;95.76170212765956
2017-11-14;91.8127659574468
2017-11-15;92.79999999999998
2017-11-16;85.88936170212764
2017-11-17;81.94042553191488
2017-11-20;95.76170212765956
2017-11-21;92.79999999999998
2017-11-22;88.85106382978722
2017-11-23;91.8127659574468
2017-11-24;82.92765957446808
2017-11-27;105.43659574468086
2017-11-28;111.36
2017-11-29;99.5131914893617
2017-11-30;101.88255319148936
2017-12-01;84.11234042553191
2017-12-04;100.69787234042553
2017-12-05;97.14382978723404
2017-12-06;95.95914893617021
2017-12-07;97.14382978723404
2017-12-08;85.29702127659574
2017-12-11;100.69787234042553
2017-12-12;94.77446808510638
2017-12-13;97.14382978723404
2017-12-14;95.95914893617021
2017-12-15;97.14382978723404
2017-12-18;105.43659574468086
2017-12-19;99.5131914893617
2017-12-20;94.77446808510638
2017-12-21;90.03574468085107
2017-12-22;88.85106382978724
2017-12-27;92.40510638297873
2017-12-28;88.85106382978724
2017-12-29;79.3736170212766
2018-01-02;95.95914893617021
2018-01-03;101.88255319148936
2018-01-04;100.69787234042553
2018-01-05;92.40510638297873
2018-01-08;107.8059574468085
2018-01-09;106.62127659574469
2018-01-10;104.25191489361703
2018-01-11;105.43659574468086
2018-01-12;92.40510638297873
2018-01-15;111.36
2018-01-16;105.43659574468086
2018-01-17;99.5131914893617
2018-01-18;97.14382978723404
2018-01-19;91.2204255319149
2018-01-22;112.54468085106383
2018-01-23;106.62127659574469
2018-01-24;101.88255319148936
2018-01-25;101.88255319148936
2018-01-26;91.2204255319149
2018-01-29;108.99063829787234
2018-01-30;103.0672340425532
2018-01-31;104.25191489361703
2018-02-01;98.32851063829787
2018-02-02;86.48170212765957
2018-02-05;118.46808510638299
2018-02-06;111.36
2018-02-07;101.88255319148936
2018-02-08;97.14382978723404
2018-02-09;95.95914893617021
2018-02-12;101.88255319148936
2018-02-13;93.58978723404256
2018-02-14;84.11234042553191
2018-02-15;91.2204255319149
2018-02-16;86.48170212765957
2018-02-19;97.14382978723404
2018-02-20;97.14382978723404
2018-02-21;93.58978723404256
2018-02-22;99.5131914893617
2018-02-23;86.48170212765957
2018-02-26;111.6984802431611
2018-02-27;111.6984802431611
2018-02-28;105.74122796352584
2018-03-01;104.25191489361703
2018-03-02;95.31603647416414
2018-03-05;148.93130699088147
2018-03-06;128.08092401215805
2018-03-07;116.16641945288754
2018-03-08;108.71985410334347
2018-03-09;101.27328875379939
2018-03-12;120.63435866261399
2018-03-13;111.6984802431611
2018-03-14;110.20916717325228
2018-03-15;111.6984802431611
2018-03-16;92.3374103343465
2018-03-19;113.18779331306992
2018-03-20;111.6984802431611
2018-03-21;108.71985410334347
2018-03-22;105.74122796352584
2018-03-23;102.76260182370821
2018-03-26;111.6984802431611
2018-03-27;114.67710638297872
2018-03-28;107.23054103343465
2018-03-29;105.74122796352584
2018-04-03;120.63435866261399
2018-04-04;116.16641945288754
2018-04-05;111.6984802431611
2018-04-06;101.27328875379939
2018-04-09;120.63435866261399
2018-04-10;116.16641945288754
