Date;Carrefour
2018-01-10;60.50258135168961
2018-01-11;54.59989048811013
2018-01-12;59.02690863579473
2018-01-15;57.55123591989987
2018-01-16;51.648545056320394
2018-01-17;53.12421777221526
2018-01-18;50.17287234042553
2018-01-19;54.59989048811013
2018-01-22;54.59989048811013
2018-01-23;59.02690863579473
2018-01-24;53.12421777221526
2018-01-25;54.59989048811013
2018-01-26;57.55123591989987
2018-01-29;51.648545056320394
2018-01-30;50.17287234042553
2018-01-31;50.17287234042553
2018-02-01;53.12421777221526
2018-02-02;54.59989048811013
2018-02-05;53.12421777221526
2018-02-06;48.697199624530654
2018-02-07;50.17287234042553
2018-02-08;48.697199624530654
2018-02-09;51.648545056320394
2018-02-12;54.59989048811013
2018-02-13;50.17287234042553
2018-02-14;50.17287234042553
2018-02-15;48.697199624530654
2018-02-16;51.648545056320394
2018-02-19;51.648545056320394
2018-02-20;47.22152690863579
2018-02-21;47.22152690863579
2018-02-22;47.22152690863579
2018-02-23;48.697199624530654
2018-02-26;49.72738623751387
2018-02-27;50.78541573192906
2018-02-28;52.90147472075943
2018-03-01;53.959504215174626
2018-03-02;55.01753370958981
2018-03-05;50.78541573192906
2018-03-06;50.78541573192906
2018-03-07;51.843445226344244
2018-03-08;50.78541573192906
2018-03-09;53.959504215174626
2018-03-12;52.90147472075943
2018-03-13;48.66935674309868
2018-03-14;49.72738623751387
2018-03-15;50.78541573192906
2018-03-16;52.90147472075943
2018-03-19;52.90147472075943
2018-03-20;50.78541573192906
2018-03-21;49.72738623751387
2018-03-22;47.61132724868349
2018-03-23;52.90147472075943
2018-03-26;55.01753370958981
2018-03-27;52.90147472075943
2018-03-28;60.30768118166576
2018-03-29;68.77191713698727
2018-04-03;58.191622192835375
2018-04-04;56.075563204005
2018-04-05;58.191622192835375
2018-04-06;60.30768118166576
2018-04-09;58.191622192835375
2018-04-10;53.959504215174626
2018-04-11;50.78541573192906
2018-04-12;51.843445226344244
2018-04-13;52.90147472075943
2018-04-16;53.959504215174626
2018-04-17;50.78541573192906
2018-04-18;51.843445226344244
2018-04-19;52.90147472075943
2018-04-20;58.191622192835375
2018-04-23;55.01753370958981
2018-04-24;51.843445226344244
2018-04-25;56.075563204005
2018-04-26;52.90147472075943
2018-04-27;57.13359269842019
2018-04-30;78.29418258672396
2018-05-02;61.365710676080944
2018-05-03;53.959504215174626
2018-05-04;57.13359269842019
2018-05-07;66.65585814815688
2018-05-08;83.5843300587999
2018-05-09;61.365710676080944
2018-05-10;81.46827106996953
2018-05-11;61.365710676080944
2018-05-14;58.191622192835375
2018-05-15;55.01753370958981
2018-05-16;53.959504215174626
2018-05-17;51.843445226344244
2018-05-18;56.075563204005
2018-05-21;93.1065955085366
2018-05-22;55.01753370958981
2018-05-23;52.90147472075943
2018-05-24;57.13359269842019
2018-05-25;61.365710676080944
2018-05-28;58.65839991095972
2018-05-29;55.95108914583851
2018-05-30;57.75596298925265
2018-05-31;55.04865222413143
2018-06-01;61.365710676080944
2018-06-04;59.560836832666794
2018-06-05;57.75596298925265
2018-06-06;56.85352606754558
2018-06-07;61.365710676080944
2018-06-08;60.46327375437387
2018-06-11;61.365710676080944
2018-06-12;58.65839991095972
2018-06-13;55.95108914583851
2018-06-14;52.341341459010216
2018-06-15;53.24377838071729
2018-06-18;58.65839991095972
2018-06-19;54.14621530242436
2018-06-20;55.95108914583851
2018-06-21;51.438904537303145
2018-06-22;55.04865222413143
2018-06-25;58.65839991095972
2018-06-26;54.14621530242436
2018-06-27;55.95108914583851
2018-06-28;57.75596298925265
2018-06-29;62.268147597788015
2018-07-02;61.365710676080944
2018-07-03;59.560836832666794
2018-07-04;61.365710676080944
2018-07-05;63.17058451949509
2018-07-06;56.85352606754558
2018-07-09;62.268147597788015
2018-07-10;54.14621530242436
2018-07-11;55.95108914583851
2018-07-12;61.365710676080944
2018-07-13;64.97545836290924
2018-07-16;59.560836832666794
2018-07-17;55.95108914583851
2018-07-18;56.85352606754558
2018-07-19;56.85352606754558
2018-07-20;57.75596298925265
2018-07-23;60.46327375437387
2018-07-24;56.85352606754558
2018-07-25;54.14621530242436
2018-07-26;56.85352606754558
2018-07-27;56.85352606754558
2018-07-30;63.17058451949509
2018-07-31;58.65839991095972
2018-08-01;61.365710676080944
2018-08-02;60.46327375437387
2018-08-03;62.268147597788015
2018-08-06;65.8778952846163
2018-08-07;60.46327375437387
2018-08-08;56.85352606754558
2018-08-09;56.85352606754558
2018-08-10;55.95108914583851
2018-08-13;64.07302144120216
2018-08-14;63.17058451949509
2018-08-15;90.24369217070726
