Date;Legrand SA
2017-08-17;55.183673469387756
2017-08-18;42.44897959183674
2017-08-21;53.06122448979592
2017-08-22;58.36734693877551
2017-08-23;48.81632653061225
2017-08-24;53.06122448979592
2017-08-25;45.632653061224495
2017-08-28;57.30612244897959
2017-08-29;51.715281234445
2017-08-30;55.20955699352912
2017-08-31;48.221005475360876
2017-09-01;42.630164260826284
2017-09-04;55.90841214534595
2017-09-05;54.5107018417123
2017-09-06;49.61871577899453
2017-09-07;53.11299153807865
2017-09-08;50.31757093081135
2017-09-11;60.80039820806372
2017-09-12;57.30612244897959
2017-09-13;57.30612244897959
2017-09-14;58.00497760079642
2017-09-15;46.82329517172723
2017-09-18;61.49925335988054
2017-09-19;54.5107018417123
2017-09-20;51.01642608262818
2017-09-21;51.01642608262818
2017-09-22;55.20955699352912
2017-09-25;58.703832752613245
2017-09-26;52.41413638626182
2017-09-27;51.715281234445
2017-09-28;53.11299153807865
2017-09-29;54.5107018417123
2017-10-02;60.80039820806372
2017-10-03;56.60726729716277
2017-10-04;55.90841214534595
2017-10-05;55.90841214534595
2017-10-06;55.20955699352912
2017-10-09;58.703832752613245
2017-10-10;55.20955699352912
2017-10-11;56.60726729716277
2017-10-12;56.60726729716277
2017-10-13;54.5107018417123
2017-10-16;67.78894972623196
2017-10-17;60.101543056246896
2017-10-18;53.11299153807865
2017-10-19;53.811846689895475
2017-10-20;52.41413638626182
2017-10-23;55.20955699352912
2017-10-24;51.01642608262818
2017-10-25;56.60726729716277
2017-10-26;52.41413638626182
2017-10-27;48.221005475360876
2017-10-30;60.101543056246896
2017-10-31;46.82329517172723
2017-11-01;52.41413638626182
2017-11-02;59.40268790443007
2017-11-03;46.82329517172723
2017-11-06;64.99352911896466
2017-11-07;57.30612244897959
2017-11-08;62.19810851169736
2017-11-09;56.60726729716277
2017-11-10;51.01642608262818
2017-11-13;64.29467396714784
2017-11-14;55.90841214534595
2017-11-15;49.61871577899453
2017-11-16;51.715281234445
2017-11-17;55.20955699352912
2017-11-20;64.99352911896466
2017-11-21;56.60726729716277
2017-11-22;53.11299153807865
2017-11-23;51.01642608262818
2017-11-24;49.61871577899453
2017-11-27;69.76034709478986
2017-11-28;54.15605892885003
2017-11-29;47.73076380169833
2017-11-30;49.566562409455955
2017-12-01;50.484461713334774
2017-12-04;53.23815962497121
2017-12-05;58.7455554482441
2017-12-06;52.3202603210924
2017-12-07;46.81286449781952
2017-12-08;48.64866310557714
2017-12-11;58.7455554482441
2017-12-12;48.64866310557714
2017-12-13;46.81286449781952
2017-12-14;58.7455554482441
2017-12-15;49.566562409455955
2017-12-18;58.7455554482441
2017-12-19;55.991857536607654
2017-12-20;53.23815962497121
2017-12-21;47.73076380169833
2017-12-22;44.97706589006189
2017-12-27;49.566562409455955
2017-12-28;47.73076380169833
2017-12-29;41.30546867454663
2018-01-02;47.73076380169833
2018-01-03;53.23815962497121
2018-01-04;56.909756840486466
2018-01-05;48.64866310557714
2018-01-08;64.25295127151698
2018-01-09;59.66345475212291
2018-01-10;60.58135405600173
2018-01-11;51.402361017213586
2018-01-12;44.97706589006189
2018-01-15;61.49925335988054
2018-01-16;55.07395823272884
2018-01-17;44.97706589006189
2018-01-18;61.49925335988054
2018-01-19;52.3202603210924
2018-01-22;55.07395823272884
2018-01-23;54.15605892885003
2018-01-24;58.7455554482441
2018-01-25;62.41715266375935
2018-01-26;48.64866310557714
2018-01-29;62.41715266375935
2018-01-30;57.827656144365285
2018-01-31;57.827656144365285
2018-02-01;56.909756840486466
2018-02-02;45.8949651939407
2018-02-05;63.335051967638165
2018-02-06;59.66345475212291
2018-02-07;56.909756840486466
2018-02-08;50.484461713334774
2018-02-09;53.23815962497121
2018-02-12;67.00664918315343
2018-02-13;53.23815962497121
2018-02-14;55.991857536607654
2018-02-15;55.991857536607654
2018-02-16;49.566562409455955
2018-02-19;64.25295127151698
2018-02-20;53.23815962497121
2018-02-21;59.66345475212291
2018-02-22;55.07395823272884
2018-02-23;91.7899303878814
2018-02-26;67.46559883509283
2018-02-27;58.095376774663265
2018-02-28;59.96942118674918
2018-03-01;56.22133236257736
2018-03-02;52.473243538405534
2018-03-05;58.095376774663265
2018-03-06;50.59919912631962
2018-03-07;56.22133236257736
2018-03-08;56.22133236257736
2018-03-09;46.851110302147795
2018-03-12;63.717510010921
2018-03-13;58.095376774663265
2018-03-14;61.843465598835095
2018-03-15;61.843465598835095
2018-03-16;50.59919912631962
2018-03-19;84.33199854386604
2018-03-20;69.33964324717874
2018-03-21;61.843465598835095
2018-03-22;61.843465598835095
2018-03-23;54.34728795049144
2018-03-26;67.46559883509283
2018-03-27;54.34728795049144
2018-03-28;56.22133236257736
2018-03-29;44.97706589006189
2018-04-03;187.40444120859118
2018-04-04;127.435020021842
2018-04-05;74.96177648343648
2018-04-06;65.59155442300691
2018-04-09;91.82817619220968
2018-04-10;63.717510010921
2018-04-11;59.96942118674918
2018-04-12;54.34728795049144
2018-04-13;48.72515471423371
2018-04-16;63.717510010921
2018-04-17;50.59919912631962
2018-04-18;48.72515471423371
2018-04-19;50.59919912631962
2018-04-20;48.72515471423371
2018-04-23;50.59919912631962
2018-04-24;50.59919912631962
2018-04-25;43.10302147797597
2018-04-26;58.095376774663265
2018-04-27;43.10302147797597
2018-04-30;52.473243538405534
2018-05-02;52.473243538405534
2018-05-03;50.59919912631962
2018-05-04;48.72515471423371
2018-05-07;56.22133236257736
2018-05-08;44.97706589006189
2018-05-09;58.095376774663265
