Date;Saint Gobain
2017-03-01;76.0
2017-03-02;90.0
2017-03-03;65.0
2017-03-06;69.0
2017-03-07;61.0
2017-03-08;73.0
2017-03-09;73.0
2017-03-10;70.0
2017-03-13;64.0
2017-03-14;89.0
2017-03-15;85.0
2017-03-16;74.0
2017-03-17;76.0
2017-03-20;66.0
2017-03-21;71.0
2017-03-22;83.0
2017-03-23;77.0
2017-03-24;66.0
2017-03-27;84.0
2017-03-28;82.0
2017-03-29;71.0
2017-03-30;75.0
2017-03-31;73.0
2017-04-03;72.0
2017-04-04;78.0
2017-04-05;90.0
2017-04-06;70.0
2017-04-07;54.0
2017-04-10;73.0
2017-04-11;100.0
2017-04-12;64.0
2017-04-13;55.0
2017-04-18;65.0
2017-04-19;65.0
2017-04-20;84.0
2017-04-21;60.0
2017-04-24;98.0
2017-04-25;87.0
2017-04-26;84.0
2017-04-27;94.0
2017-04-28;74.0
2017-05-02;64.0
2017-05-03;86.0
2017-05-04;88.0
2017-05-05;86.0
2017-05-08;79.0
2017-05-09;85.0
2017-05-10;82.0
2017-05-11;71.0
2017-05-12;75.0
2017-05-15;86.0
2017-05-16;99.0
2017-05-17;62.0
2017-05-18;65.0
2017-05-19;82.0
2017-05-22;85.0
2017-05-23;88.0
2017-05-24;71.0
2017-05-25;55.0
2017-05-26;53.0
2017-05-29;87.0
2017-05-30;80.0
2017-05-31;91.85185185185185
2017-06-01;91.85185185185185
2017-06-02;65.18518518518518
2017-06-05;59.25925925925925
2017-06-06;68.14814814814814
2017-06-07;68.14814814814814
2017-06-08;80.0
2017-06-09;74.07407407407408
2017-06-12;88.88888888888889
2017-06-13;88.88888888888889
2017-06-14;82.96296296296296
2017-06-15;74.07407407407408
2017-06-16;82.96296296296296
2017-06-19;65.18518518518518
2017-06-20;80.0
2017-06-21;68.14814814814814
2017-06-22;68.14814814814814
2017-06-23;68.14814814814814
2017-06-26;80.0
2017-06-27;296.2962962962963
2017-06-28;290.3703703703704
2017-06-29;165.92592592592592
2017-06-30;136.29629629629628
2017-07-03;91.85185185185185
2017-07-04;80.0
2017-07-05;94.81481481481481
2017-07-06;85.92592592592592
2017-07-07;94.81481481481481
2017-07-10;82.96296296296296
2017-07-11;74.07407407407408
2017-07-12;77.03703703703704
2017-07-13;71.11111111111111
2017-07-14;65.18518518518518
2017-07-17;71.11111111111111
2017-07-18;65.18518518518518
2017-07-19;74.07407407407408
2017-07-20;77.03703703703704
2017-07-21;62.22222222222222
2017-07-24;77.03703703703704
2017-07-25;97.77777777777777
2017-07-26;82.96296296296296
2017-07-27;74.07407407407408
2017-07-28;62.22222222222222
2017-07-31;62.22222222222222
2017-08-01;62.22222222222222
2017-08-02;62.22222222222222
2017-08-03;59.25925925925925
2017-08-04;82.96296296296296
2017-08-07;65.18518518518518
2017-08-08;68.14814814814814
2017-08-09;68.14814814814814
2017-08-10;62.22222222222222
2017-08-11;50.37037037037037
2017-08-14;50.37037037037037
2017-08-15;53.33333333333333
2017-08-16;74.07407407407408
2017-08-17;65.18518518518518
2017-08-18;59.25925925925925
2017-08-21;68.14814814814814
2017-08-22;77.03703703703704
2017-08-23;68.14814814814814
2017-08-24;80.0
2017-08-25;56.29629629629629
2017-08-28;74.07407407407408
2017-08-29;82.17592592592592
2017-08-30;86.80555555555556
2017-08-31;61.342592592592595
2017-09-01;62.5
2017-09-04;82.17592592592592
2017-09-05;91.43518518518519
2017-09-06;85.64814814814815
2017-09-07;89.12037037037037
2017-09-08;76.38888888888889
2017-09-11;81.01851851851852
2017-09-12;90.27777777777779
2017-09-13;92.5925925925926
2017-09-14;92.5925925925926
2017-09-15;81.01851851851852
2017-09-18;75.23148148148148
2017-09-19;81.01851851851852
2017-09-20;100.69444444444444
2017-09-21;69.44444444444444
2017-09-22;85.64814814814815
2017-09-25;96.06481481481482
2017-09-26;91.43518518518519
2017-09-27;85.64814814814815
2017-09-28;84.49074074074075
2017-09-29;79.86111111111111
2017-10-02;74.07407407407408
2017-10-03;76.38888888888889
2017-10-04;78.70370370370371
2017-10-05;104.16666666666667
2017-10-06;69.44444444444444
2017-10-09;82.17592592592592
2017-10-10;83.33333333333334
2017-10-11;84.49074074074075
2017-10-12;84.49074074074075
2017-10-13;77.5462962962963
2017-10-16;76.38888888888889
2017-10-17;86.80555555555556
2017-10-18;85.64814814814815
2017-10-19;76.38888888888889
2017-10-20;67.12962962962963
2017-10-23;115.74074074074075
2017-10-24;85.64814814814815
2017-10-25;94.9074074074074
2017-10-26;81.01851851851852
2017-10-27;81.01851851851852
2017-10-30;93.75
2017-10-31;94.9074074074074
2017-11-01;62.5
2017-11-02;68.28703703703704
2017-11-03;91.43518518518519
2017-11-06;93.75
2017-11-07;91.43518518518519
2017-11-08;93.75
2017-11-09;85.64814814814815
2017-11-10;63.65740740740741
2017-11-13;97.22222222222223
2017-11-14;81.01851851851852
2017-11-15;64.81481481481481
2017-11-16;77.5462962962963
2017-11-17;87.96296296296296
2017-11-20;52.083333333333336
2017-11-21;85.64814814814815
2017-11-22;82.17592592592592
2017-11-23;84.49074074074075
2017-11-24;77.5462962962963
2017-11-27;93.32010582010582
2017-11-28;98.94179894179895
2017-11-29;78.70370370370371
2017-11-30;77.57936507936509
2017-12-01;65.21164021164022
2017-12-04;101.1904761904762
2017-12-05;80.95238095238096
2017-12-06;83.2010582010582
2017-12-07;77.57936507936509
2017-12-08;73.08201058201058
2017-12-11;84.32539682539684
2017-12-12;91.07142857142858
2017-12-13;79.82804232804233
2017-12-14;104.56349206349208
2017-12-15;75.33068783068784
2017-12-18;83.2010582010582
2017-12-19;85.44973544973546
2017-12-20;82.07671957671958
2017-12-21;84.32539682539684
2017-12-22;73.08201058201058
2017-12-27;46.0978835978836
2017-12-28;50.5952380952381
2017-12-29;53.968253968253975
2018-01-02;69.70899470899471
2018-01-03;77.57936507936509
2018-01-04;78.70370370370371
2018-01-05;61.83862433862434
2018-01-08;80.95238095238096
2018-01-09;88.82275132275133
2018-01-10;89.94708994708995
2018-01-11;95.56878306878308
2018-01-12;73.08201058201058
2018-01-15;96.6931216931217
2018-01-16;92.1957671957672
2018-01-17;84.32539682539684
2018-01-18;84.32539682539684
2018-01-19;88.82275132275133
2018-01-22;79.82804232804233
2018-01-23;85.44973544973546
2018-01-24;87.69841269841271
2018-01-25;105.6878306878307
2018-01-26;79.82804232804233
2018-01-29;84.32539682539684
2018-01-30;94.44444444444446
2018-01-31;86.57407407407408
2018-02-01;85.44973544973546
2018-02-02;69.70899470899471
2018-02-05;83.2010582010582
2018-02-06;112.43386243386244
2018-02-07;106.81216931216932
2018-02-08;96.6931216931217
2018-02-09;77.57936507936509
2018-02-12;97.81746031746033
2018-02-13;93.32010582010582
2018-02-14;93.32010582010582
2018-02-15;92.1957671957672
2018-02-16;86.57407407407408
2018-02-19;98.94179894179895
2018-02-20;84.32539682539684
2018-02-21;85.44973544973546
2018-02-22;98.94179894179895
2018-02-23;87.69841269841271
2018-02-26;75.76058201058201
2018-02-27;82.47354497354497
2018-02-28;67.12962962962963
2018-03-01;65.21164021164022
2018-03-02;66.17063492063492
2018-03-05;68.08862433862434
2018-03-06;61.37566137566138
2018-03-07;82.47354497354497
2018-03-08;82.47354497354497
2018-03-09;75.76058201058201
2018-03-12;86.30952380952381
2018-03-13;80.55555555555556
2018-03-14;70.96560846560847
2018-03-15;64.2526455026455
2018-03-16;52.744708994709
2018-03-19;69.04761904761905
2018-03-20;85.3505291005291
2018-03-21;66.17063492063492
2018-03-22;71.92460317460318
2018-03-23;88.22751322751323
2018-03-26;86.30952380952381
2018-03-27;87.26851851851852
2018-03-28;91.10449735449735
2018-03-29;67.12962962962963
2018-04-03;80.55555555555556
2018-04-04;82.47354497354497
2018-04-05;70.00661375661376
2018-04-06;70.00661375661376
2018-04-09;69.04761904761905
2018-04-10;76.71957671957672
2018-04-11;66.17063492063492
2018-04-12;88.22751322751323
2018-04-13;82.47354497354497
2018-04-16;61.37566137566138
2018-04-17;64.2526455026455
2018-04-18;70.96560846560847
2018-04-19;89.18650793650794
2018-04-20;76.71957671957672
2018-04-23;74.8015873015873
2018-04-24;82.47354497354497
2018-04-25;65.21164021164022
2018-04-26;81.51455026455027
2018-04-27;83.43253968253968
2018-04-30;46.03174603174604
2018-05-02;95.89947089947091
2018-05-03;85.3505291005291
2018-05-04;73.8425925925926
2018-05-07;81.51455026455027
2018-05-08;64.2526455026455
2018-05-09;72.88359788359789
2018-05-10;63.2936507936508
2018-05-11;72.88359788359789
2018-05-14;86.30952380952381
2018-05-15;67.12962962962963
2018-05-16;74.8015873015873
2018-05-17;78.63756613756614
2018-05-18;64.2526455026455
2018-05-21;70.00661375661376
2018-05-22;94.9404761904762
2018-05-23;81.51455026455027
2018-05-24;81.51455026455027
2018-05-25;77.67857142857143
2018-05-28;71.7032967032967
2018-05-29;84.64972527472527
2018-05-30;80.66620879120879
2018-05-31;77.67857142857143
2018-06-01;63.73626373626374
2018-06-04;70.70741758241758
2018-06-05;78.67445054945055
2018-06-06;80.66620879120879
2018-06-07;92.61675824175825
2018-06-08;77.67857142857143
2018-06-11;74.69093406593407
2018-06-12;74.69093406593407
2018-06-13;74.69093406593407
2018-06-14;62.74038461538461
2018-06-15;71.7032967032967
2018-06-18;63.73626373626374
2018-06-19;70.70741758241758
2018-06-20;82.65796703296704
2018-06-21;68.71565934065934
2018-06-22;65.72802197802199
2018-06-25;75.68681318681318
2018-06-26;72.69917582417582
2018-06-27;68.71565934065934
2018-06-28;83.65384615384616
2018-06-29;81.66208791208791
2018-07-02;78.67445054945055
2018-07-03;71.7032967032967
2018-07-04;70.70741758241758
2018-07-05;99.58791208791209
2018-07-06;51.785714285714285
2018-07-09;67.71978021978022
2018-07-10;75.68681318681318
2018-07-11;62.74038461538461
2018-07-12;84.64972527472527
2018-07-13;71.7032967032967
2018-07-16;85.6456043956044
2018-07-17;69.71153846153847
2018-07-18;89.62912087912088
2018-07-19;83.65384615384616
2018-07-20;77.67857142857143
2018-07-23;64.73214285714286
2018-07-24;63.73626373626374
2018-07-25;86.64148351648352
2018-07-26;82.65796703296704
2018-07-27;62.74038461538461
2018-07-30;82.65796703296704
2018-07-31;59.752747252747255
2018-08-01;73.69505494505495
2018-08-02;65.72802197802199
2018-08-03;71.7032967032967
2018-08-06;68.71565934065934
2018-08-07;72.69917582417582
2018-08-08;69.71153846153847
2018-08-09;60.74862637362637
2018-08-10;73.69505494505495
2018-08-13;76.6826923076923
2018-08-14;89.62912087912088
2018-08-15;61.744505494505496
2018-08-16;75.68681318681318
2018-08-17;50.78983516483517
2018-08-20;71.7032967032967
2018-08-21;81.66208791208791
2018-08-22;77.67857142857143
2018-08-23;66.7239010989011
2018-08-24;48.868209255533195
2018-08-27;78.9409534127844
2018-08-28;66.7239010989011
2018-08-29;83.63981968735489
2018-08-30;85.51936619718309
2018-08-31;76.12163364804209
2018-09-03;91.1580057266677
2018-09-04;84.57959294226899
2018-09-05;74.24208713821389
2018-09-06;77.0614069029562
2018-09-07;75.18186039312799
2018-09-10;66.7239010989011
2018-09-11;87.39891270701129
2018-09-12;64.84435458907289
2018-09-13;82.70004643244079
2018-09-14;85.51936619718309
2018-09-17;67.6636743538152
2018-09-18;79.8807266676985
2018-09-19;80.8204999226126
2018-09-20;77.0614069029562
2018-09-21;80.8204999226126
2018-09-24;73.30231388329979
2018-09-25;85.51936619718309
2018-09-26;78.9409534127844
2018-09-27;88.33868596192539
2018-09-28;65.784127843987
2018-10-01;93.97732549140999
2018-10-02;93.03755223649588
2018-10-03;86.45913945209719
2018-10-04;93.03755223649588
2018-10-05;89.2784592168395
2018-10-08;79.8807266676985
2018-10-09;78.9409534127844
2018-10-10;80.8204999226126
2018-10-11;85.51936619718309
2018-10-12;77.0614069029562
2018-10-15;67.6636743538152
2018-10-16;86.45913945209719
2018-10-17;85.51936619718309
2018-10-18;84.57959294226899
2018-10-19;76.12163364804209
2018-10-22;75.18186039312799
2018-10-23;78.9409534127844
2018-10-24;86.45913945209719
2018-10-25;93.97732549140999
2018-10-26;85.51936619718309
2018-10-29;77.0614069029562
2018-10-30;82.70004643244079
2018-10-31;71.42276737347159
2018-11-01;58.26594180467419
2018-11-02;64.84435458907289
2018-11-05;80.8204999226126
2018-11-06;75.18186039312799
2018-11-07;73.30231388329979
2018-11-08;82.70004643244079
2018-11-09;79.8807266676985
2018-11-12;72.36254062838569
2018-11-13;76.12163364804209
2018-11-14;84.57959294226899
2018-11-15;79.8807266676985
2018-11-16;84.57959294226899
2018-11-19;84.57959294226899
2018-11-20;71.42276737347159
2018-11-21;78.9409534127844
2018-11-22;88.98798384713878
2018-11-23;83.24682359893627
2018-11-26;132.04668570865755
2018-11-27;117.69378508815129
2018-11-28;101.90559440559441
2018-11-29;90.4232739091894
2018-11-30;66.02334285432877
2018-12-03;88.98798384713878
2018-12-04;80.37624347483502
2018-12-05;100.47030434354379
2018-12-06;80.37624347483502
2018-12-07;80.37624347483502
2018-12-10;87.55269378508815
2018-12-11;87.55269378508815
2018-12-12;88.98798384713878
2018-12-13;84.6821136609869
2018-12-14;67.4586329163794
2018-12-17;90.4232739091894
2018-12-18;86.11740372303753
2018-12-19;84.6821136609869
2018-12-20;77.50566335073377
2018-12-21;68.89392297843003
2018-12-24;44.49399192356939
2018-12-27;73.1997931645819
2018-12-28;70.32921304048065
2018-12-31;50.235152171771894
2019-01-02;84.6821136609869
2019-01-03;70.32921304048065
2019-01-04;74.63508322663253
2019-01-07;83.24682359893627
2019-01-08;97.59972421944254
2019-01-09;88.98798384713878
2019-01-10;96.16443415739191
2019-01-11;84.6821136609869
2019-01-14;90.4232739091894
2019-01-15;84.6821136609869
2019-01-16;96.16443415739191
2019-01-17;86.11740372303753
2019-01-18;90.4232739091894
2019-01-21;99.03501428149316
2019-01-22;91.85856397124003
2019-01-23;96.16443415739191
2019-01-24;93.29385403329066
2019-01-25;76.07037328868316
2019-01-28;83.24682359893627
2019-01-29;100.47030434354379
2019-01-30;93.29385403329066
2019-01-31;110.51733477789816
2019-02-01;80.37624347483502
2019-02-04;84.6821136609869
2019-02-05;117.69378508815129
2019-02-06;111.95262483994878
2019-02-07;143.52900620506256
2019-02-08;100.47030434354379
2019-02-11;103.34088446764504
2019-02-12;97.59972421944254
2019-02-13;91.85856397124003
2019-02-14;91.85856397124003
2019-02-15;97.59972421944254
2019-02-18;110.51733477789816
2019-02-19;109.08204471584753
2019-02-20;116.07448347968392
2019-02-21;139.84877527672762
2019-02-22;97.89414269370933
2019-02-25;116.07448347968392
2019-02-26;132.85633651289123
2019-02-27;128.6608732545894
2019-02-28;96.49565494094205
2019-03-01;110.48053246861481
