Date;Dassault Systemes
2017-03-01;80.0
2017-03-02;86.0
2017-03-03;99.0
2017-03-06;88.0
2017-03-07;50.0
2017-03-08;96.0
2017-03-09;65.0
2017-03-10;50.0
2017-03-13;53.0
2017-03-14;100.0
2017-03-15;48.0
2017-03-16;53.0
2017-03-17;51.0
2017-03-20;87.0
2017-03-21;65.0
2017-03-22;87.0
2017-03-23;66.0
2017-03-24;73.0
2017-03-27;88.0
2017-03-28;66.0
2017-03-29;53.0
2017-03-30;85.0
2017-03-31;78.0
2017-04-03;79.0
2017-04-04;53.0
2017-04-05;57.0
2017-04-06;94.0
2017-04-07;50.0
2017-04-10;80.0
2017-04-11;85.0
2017-04-12;54.0
2017-04-13;90.0
2017-04-18;52.0
2017-04-19;74.0
2017-04-20;40.0
2017-04-21;88.0
2017-04-24;83.0
2017-04-25;83.0
2017-04-26;91.0
2017-04-27;80.0
2017-04-28;73.0
2017-05-02;66.0
2017-05-03;48.0
2017-05-04;79.0
2017-05-05;69.0
2017-05-08;66.0
2017-05-09;61.0
2017-05-10;75.0
2017-05-11;49.0
2017-05-12;83.0
2017-05-15;79.0
2017-05-16;71.0
2017-05-17;61.0
2017-05-18;56.0
2017-05-19;69.0
2017-05-22;52.0
2017-05-23;73.0
2017-05-24;76.0
2017-05-25;29.0
2017-05-26;51.0
2017-05-29;89.0
2017-05-30;65.0
2017-05-31;61.0204081632653
2017-06-01;57.04081632653061
2017-06-02;55.71428571428571
2017-06-05;42.44897959183673
2017-06-06;26.53061224489796
2017-06-07;87.55102040816325
2017-06-08;43.77551020408163
2017-06-09;39.795918367346935
2017-06-12;61.0204081632653
2017-06-13;30.51020408163265
2017-06-14;55.71428571428571
2017-06-15;35.816326530612244
2017-06-16;54.38775510204081
2017-06-19;41.12244897959184
2017-06-20;42.44897959183673
2017-06-21;66.3265306122449
2017-06-22;63.6734693877551
2017-06-23;49.08163265306122
2017-06-26;46.42857142857142
2017-06-27;67.65306122448979
2017-06-28;67.65306122448979
2017-06-29;54.38775510204081
2017-06-30;43.77551020408163
2017-07-03;65.0
2017-07-04;50.40816326530612
2017-07-05;50.40816326530612
2017-07-06;54.38775510204081
2017-07-07;74.28571428571428
2017-07-10;70.3061224489796
2017-07-11;45.10204081632653
2017-07-12;70.3061224489796
2017-07-13;61.0204081632653
2017-07-14;29.183673469387752
2017-07-17;21.224489795918366
2017-07-18;86.22448979591836
2017-07-19;46.42857142857142
2017-07-20;35.816326530612244
2017-07-21;39.795918367346935
2017-07-24;70.3061224489796
2017-07-25;132.6530612244898
2017-07-26;79.59183673469387
2017-07-27;83.57142857142857
2017-07-28;33.16326530612245
2017-07-31;41.12244897959184
2017-08-01;70.3061224489796
2017-08-02;49.08163265306122
2017-08-03;47.755102040816325
2017-08-04;46.42857142857142
2017-08-07;50.40816326530612
2017-08-08;33.16326530612245
2017-08-09;50.40816326530612
2017-08-10;34.48979591836734
2017-08-11;39.795918367346935
2017-08-14;41.12244897959184
2017-08-15;21.224489795918366
2017-08-16;54.38775510204081
2017-08-17;34.48979591836734
2017-08-18;35.816326530612244
2017-08-21;37.14285714285714
2017-08-22;37.14285714285714
2017-08-23;30.51020408163265
2017-08-24;45.10204081632653
2017-08-25;46.42857142857142
2017-08-28;45.10204081632653
2017-08-29;37.18940207662012
2017-08-30;54.59720730397422
2017-08-31;25.32044396706051
2017-09-01;39.56319369853205
2017-09-04;36.398138202649484
2017-09-05;38.771929824561404
2017-09-06;41.145721446473324
2017-09-07;40.35445757250269
2017-09-08;35.60687432867884
2017-09-11;48.2670963122091
2017-09-12;34.02434658073756
2017-09-13;43.51951306838525
2017-09-14;31.650554958825637
2017-09-15;27.694235588972433
2017-09-18;36.398138202649484
2017-09-19;41.145721446473324
2017-09-20;59.34479054779807
2017-09-21;46.68456856426781
2017-09-22;28.48549946294307
2017-09-25;34.02434658073756
2017-09-26;45.89330469029717
2017-09-27;36.398138202649484
2017-09-28;79.1263873970641
2017-09-29;43.51951306838525
2017-10-02;45.89330469029717
2017-10-03;36.398138202649484
2017-10-04;49.05836018617973
2017-10-05;39.56319369853205
2017-10-06;34.8156104547082
2017-10-09;26.90297171500179
2017-10-10;52.2234156820623
2017-10-11;55.388471177944865
2017-10-12;49.05836018617973
2017-10-13;40.35445757250269
2017-10-16;41.145721446473324
2017-10-17;38.771929824561404
2017-10-18;41.145721446473324
2017-10-19;41.936985320443966
2017-10-20;35.60687432867884
2017-10-23;30.859291084854995
2017-10-24;49.849624060150376
2017-10-25;64.88363766559256
2017-10-26;63.301109917651274
2017-10-27;37.98066595059076
2017-10-30;38.771929824561404
2017-10-31;61.71858216970999
2017-11-01;26.90297171500179
2017-11-02;53.01467955603294
2017-11-03;37.18940207662012
2017-11-06;28.48549946294307
2017-11-07;60.92731829573935
2017-11-08;42.72824919441461
2017-11-09;49.849624060150376
2017-11-10;31.650554958825637
2017-11-13;46.68456856426781
2017-11-14;39.56319369853205
2017-11-15;30.068027210884356
2017-11-16;27.694235588972433
2017-11-17;36.398138202649484
2017-11-20;32.44181883279628
2017-11-21;35.60687432867884
2017-11-22;30.859291084854995
2017-11-23;41.145721446473324
2017-11-24;22.155388471177947
2017-11-27;25.71607590404583
2017-11-28;45.49767275331185
2017-11-29;45.49767275331185
2017-11-30;43.51951306838525
2017-12-01;40.552273540995344
2017-12-04;35.60687432867884
2017-12-05;30.661475116362336
2017-12-06;26.70515574650913
2017-12-07;46.48675259577516
2017-12-08;43.51951306838525
2017-12-11;40.552273540995344
2017-12-12;45.49767275331185
2017-12-13;28.683315431435734
2017-12-14;49.45399212316506
2017-12-15;35.60687432867884
2017-12-18;34.617794486215544
2017-12-19;39.56319369853205
2017-12-20;30.661475116362336
2017-12-21;36.59595417114214
2017-12-22;35.60687432867884
2017-12-27;25.71607590404583
2017-12-28;18.792517006802722
2017-12-29;26.70515574650913
2018-01-02;37.585034013605444
2018-01-03;31.650554958825637
2018-01-04;36.59595417114214
2018-01-05;27.694235588972433
2018-01-08;23.737916219119228
2018-01-09;18.792517006802722
2018-01-10;52.42123165055496
2018-01-11;54.39939133548157
2018-01-12;36.59595417114214
2018-01-15;42.53043322592195
2018-01-16;48.46491228070175
2018-01-17;41.54135338345865
2018-01-18;28.683315431435734
2018-01-19;63.301109917651274
2018-01-22;34.617794486215544
2018-01-23;36.59595417114214
2018-01-24;48.46491228070175
2018-01-25;49.45399212316506
2018-01-26;41.54135338345865
2018-01-29;56.37755102040816
2018-01-30;25.71607590404583
2018-01-31;46.48675259577516
2018-02-01;98.90798424633012
2018-02-02;70.22466881489439
2018-02-05;32.639634801288935
2018-02-06;39.56319369853205
2018-02-07;22.748836376655927
2018-02-08;49.45399212316506
2018-02-09;36.59595417114214
2018-02-12;42.53043322592195
2018-02-13;28.683315431435734
2018-02-14;59.34479054779807
2018-02-15;52.42123165055496
2018-02-16;63.301109917651274
2018-02-19;23.737916219119228
2018-02-20;57.36663086287147
2018-02-21;58.35571070533477
2018-02-22;35.60687432867884
2018-02-23;26.70515574650913
2018-02-26;76.99606158252776
2018-02-27;85.36519871106337
2018-02-28;135.58002148227712
2018-03-01;87.0390261367705
2018-03-02;140.6015037593985
2018-03-05;66.953097028285
2018-03-06;105.45112781954887
2018-03-07;48.54099534550663
2018-03-08;58.583959899749374
2018-03-09;102.10347296813462
2018-03-12;123.86322950232726
2018-03-13;137.25384890798426
2018-03-14;115.49409237379163
2018-03-15;68.62692445399213
2018-03-16;120.51557465091301
2018-03-19;118.84174722520588
2018-03-20;66.953097028285
2018-03-21;76.99606158252776
2018-03-22;98.75581811672038
2018-03-23;40.171858216971
2018-03-26;97.08199069101326
2018-03-27;98.75581811672038
2018-03-28;80.343716433942
2018-03-29;83.69137128535625
2018-04-03;68.62692445399213
2018-04-04;38.49803079126388
2018-04-05;80.343716433942
2018-04-06;71.97457930540638
2018-04-09;48.54099534550663
2018-04-10;48.54099534550663
2018-04-11;125.53705692803437
2018-04-12;128.88471177944862
2018-04-13;61.93161475116363
2018-04-16;48.54099534550663
2018-04-17;87.0390261367705
2018-04-18;138.92767633369138
2018-04-19;30.128893662728252
2018-04-20;82.01754385964912
2018-04-23;97.08199069101326
2018-04-24;66.953097028285
2018-04-25;117.16791979949875
2018-04-26;127.2108843537415
2018-04-27;83.69137128535625
2018-04-30;40.171858216971
2018-05-02;117.16791979949875
2018-05-03;167.3827425707125
2018-05-04;82.01754385964912
2018-05-07;98.75581811672038
2018-05-08;58.583959899749374
2018-05-09;38.49803079126388
2018-05-10;70.30075187969925
2018-05-11;51.88865019692088
2018-05-14;88.71285356247763
2018-05-15;127.2108843537415
2018-05-16;128.88471177944862
2018-05-17;128.88471177944862
2018-05-18;92.06050841389188
2018-05-21;70.30075187969925
2018-05-22;107.124955245256
2018-05-23;108.79878267096313
2018-05-24;160.687432867884
2018-05-25;93.734335839599
2018-05-28;145.80896686159844
2018-05-29;142.83327366034132
2018-05-30;147.296813462227
2018-05-31;89.27079603771334
2018-06-01;77.36802323268489
2018-06-04;78.85586983331345
2018-06-05;87.78294943708478
2018-06-06;105.63710864462745
2018-06-07;105.63710864462745
2018-06-08;81.83156303457055
2018-06-11;102.66141544337033
2018-06-12;119.02772805028445
2018-06-13;68.44094362891356
2018-06-14;148.78466006285555
2018-06-15;101.17356884274177
2018-06-18;123.49126785217011
2018-06-19;44.63539801885667
2018-06-20;101.17356884274177
2018-06-21;92.24648923897044
2018-06-22;117.5398814496559
2018-06-25;99.68572224211323
2018-06-26;95.22218244022756
2018-06-27;98.19787564148467
2018-06-28;65.46525042765644
2018-06-29;77.36802323268489
2018-07-02;99.68572224211323
2018-07-03;59.513864025142226
2018-07-04;71.41663683017066
2018-07-05;104.14926204399889
2018-07-06;83.31940963519911
2018-07-09;113.07634164777022
2018-07-10;84.80725623582767
2018-07-11;111.58849504714166
2018-07-12;127.95480765405578
2018-07-13;87.78294943708478
2018-07-16;93.734335839599
2018-07-17;120.515574650913
2018-07-18;93.734335839599
2018-07-19;99.68572224211323
2018-07-20;92.24648923897044
2018-07-23;93.734335839599
2018-07-24;139.85758045908423
2018-07-25;107.124955245256
2018-07-26;141.3454270597128
2018-07-27;80.343716433942
2018-07-30;74.39233003142778
2018-07-31;95.22218244022756
2018-08-01;59.513864025142226
2018-08-02;89.27079603771334
2018-08-03;86.29510283645622
2018-08-06;77.36802323268489
2018-08-07;93.734335839599
2018-08-08;99.68572224211323
2018-08-09;81.83156303457055
2018-08-10;80.343716433942
2018-08-13;83.31940963519911
2018-08-14;99.68572224211323
2018-08-15;56.53817082388511
2018-08-16;69.92879022954212
2018-08-17;89.27079603771334
2018-08-20;61.00171062577078
2018-08-21;78.85586983331345
2018-08-22;61.00171062577078
2018-08-23;69.92879022954212
2018-08-24;31.07946232424094
2018-08-27;89.3534541821927
2018-08-28;118.49045011116858
2018-08-29;168.9945763880601
2018-08-30;128.2027820874939
2018-08-31;102.95071894904811
2018-09-03;50.504126276891526
2018-09-04;106.83565173957822
2018-09-05;97.12331976325294
2018-09-06;77.69865581060235
2018-09-07;101.00825255378305
2018-09-10;106.83565173957822
2018-09-11;77.69865581060235
2018-09-12;97.12331976325294
2018-09-13;97.12331976325294
2018-09-14;110.72058453010834
2018-09-17;143.74251324961435
2018-09-18;126.26031569222882
2018-09-19;165.10964359752998
2018-09-20;145.6849796448794
2018-09-21;110.72058453010834
2018-09-24;87.41098778692765
2018-09-25;194.24663952650587
2018-09-26;135.97264766855412
2018-09-27;67.98632383427706
2018-09-28;50.504126276891526
2018-10-01;114.60551732063847
2018-10-02;85.46852139166258
2018-10-03;97.12331976325294
2018-10-04;167.05210999279504
2018-10-05;81.58358860113246
2018-10-08;89.3534541821927
2018-10-09;95.18085336798788
2018-10-10;99.065786158518
2018-10-11;120.43291650643364
2018-10-12;135.97264766855412
2018-10-15;130.14524848275894
2018-10-16;167.05210999279504
2018-10-17;99.065786158518
2018-10-18;139.85758045908423
2018-10-19;40.79179430056623
2018-10-22;99.065786158518
2018-10-23;126.26031569222882
2018-10-24;106.83565173957822
2018-10-25;128.2027820874939
2018-10-26;62.15892464848188
2018-10-29;95.18085336798788
2018-10-30;58.27399185795176
2018-10-31;149.56991243540952
2018-11-01;81.58358860113246
2018-11-02;135.97264766855412
2018-11-05;95.18085336798788
2018-11-06;106.83565173957822
2018-11-07;114.60551732063847
2018-11-08;77.69865581060235
2018-11-09;83.52605499639752
2018-11-12;67.98632383427706
2018-11-13;135.97264766855412
2018-11-14;87.41098778692765
2018-11-15;120.43291650643364
2018-11-16;112.66305092537341
2018-11-19;79.6411222058674
2018-11-20;116.54798371590353
2018-11-21;108.77811813484328
2018-11-22;106.96514949926255
2018-11-23;76.1446826943903
2018-11-26;63.453902245325246
2018-11-27;117.84296131274688
2018-11-28;67.07983951648669
2018-11-29;87.02249450787463
2018-11-30;105.15218086368183
2018-12-03;81.58358860113246
2018-12-04;85.2095258722939
2018-12-05;90.64843177903606
2018-12-06;108.77811813484328
2018-12-07;68.8928081520674
2018-12-10;83.39655723671318
2018-12-11;87.02249450787463
2018-12-12;83.39655723671318
2018-12-13;87.02249450787463
2018-12-14;50.763121796260194
2018-12-17;47.13718452509875
2018-12-18;88.83546314345534
2018-12-19;65.26687088090597
2018-12-20;88.83546314345534
2018-12-21;50.763121796260194
2018-12-24;45.32421588951803
2018-12-27;48.95015316067948
2018-12-28;45.32421588951803
2018-12-31;54.38905906742164
2019-01-02;77.95765132997101
2019-01-03;63.453902245325246
2019-01-04;59.827964974163805
2019-01-07;105.15218086368183
2019-01-08;101.52624359252039
2019-01-09;77.95765132997101
2019-01-10;92.46140041461679
2019-01-11;90.64843177903606
2019-01-14;68.8928081520674
2019-01-15;110.591086770424
2019-01-16;90.64843177903606
2019-01-17;90.64843177903606
2019-01-18;101.52624359252039
