Date;Renault
2017-12-22;83.64631578947369
2017-12-27;90.61684210526317
2017-12-28;93.6042105263158
2017-12-29;88.62526315789475
2018-01-02;95.59578947368422
2018-01-03;93.6042105263158
2018-01-04;89.62105263157896
2018-01-05;95.59578947368422
2018-01-08;95.59578947368422
2018-01-09;93.6042105263158
2018-01-10;92.6084210526316
2018-01-11;93.6042105263158
2018-01-12;95.59578947368422
2018-01-15;99.57894736842107
2018-01-16;95.59578947368422
2018-01-17;93.6042105263158
2018-01-18;94.60000000000001
2018-01-19;95.59578947368422
2018-01-22;97.58736842105264
2018-01-23;92.6084210526316
2018-01-24;93.6042105263158
2018-01-25;94.60000000000001
2018-01-26;91.61263157894739
2018-01-29;96.59157894736843
2018-01-30;89.62105263157896
2018-01-31;87.62947368421054
2018-02-01;89.62105263157896
2018-02-02;92.6084210526316
2018-02-05;92.6084210526316
2018-02-06;93.6042105263158
2018-02-07;91.61263157894739
2018-02-08;89.62105263157896
2018-02-09;92.6084210526316
2018-02-12;95.59578947368422
2018-02-13;91.61263157894739
2018-02-14;90.61684210526317
2018-02-15;90.61684210526317
2018-02-16;99.57894736842107
2018-02-19;95.59578947368422
2018-02-20;97.58736842105264
2018-02-21;93.6042105263158
2018-02-22;93.6042105263158
2018-02-23;97.58736842105264
2018-02-26;93.57309210526317
2018-02-27;90.67907894736844
2018-02-28;91.64375000000003
2018-03-01;86.82039473684212
2018-03-02;89.71440789473687
2018-03-05;92.6084210526316
2018-03-06;92.6084210526316
2018-03-07;89.71440789473687
2018-03-08;83.92638157894739
2018-03-09;91.64375000000003
2018-03-12;96.46710526315792
2018-03-13;92.6084210526316
2018-03-14;88.74973684210528
2018-03-15;90.67907894736844
2018-03-16;91.64375000000003
2018-03-19;91.64375000000003
2018-03-20;89.71440789473687
2018-03-21;87.7850657894737
2018-03-22;87.7850657894737
2018-03-23;89.71440789473687
2018-03-26;90.67907894736844
2018-03-27;86.82039473684212
2018-03-28;89.71440789473687
2018-03-29;89.71440789473687
2018-04-03;86.82039473684212
2018-04-04;86.82039473684212
2018-04-05;85.85572368421055
2018-04-06;86.82039473684212
2018-04-09;89.71440789473687
2018-04-10;88.74973684210528
2018-04-11;84.89105263157896
2018-04-12;86.82039473684212
2018-04-13;87.7850657894737
2018-04-16;90.67907894736844
2018-04-17;85.85572368421055
2018-04-18;84.89105263157896
2018-04-19;84.89105263157896
2018-04-20;81.99703947368423
2018-04-23;87.7850657894737
2018-04-24;86.82039473684212
2018-04-25;85.85572368421055
2018-04-26;82.96171052631581
2018-04-27;86.82039473684212
2018-04-30;88.74973684210528
2018-05-02;85.85572368421055
2018-05-03;83.92638157894739
2018-05-04;81.99703947368423
2018-05-07;83.92638157894739
2018-05-08;81.03236842105265
2018-05-09;83.92638157894739
2018-05-10;81.99703947368423
2018-05-11;84.89105263157896
2018-05-14;88.74973684210528
2018-05-15;86.82039473684212
2018-05-16;83.92638157894739
2018-05-17;86.82039473684212
2018-05-18;84.89105263157896
2018-05-21;85.85572368421055
2018-05-22;84.89105263157896
2018-05-23;88.74973684210528
2018-05-24;82.96171052631581
2018-05-25;83.92638157894739
2018-05-28;89.58433988764047
2018-05-29;82.0403954760497
2018-05-30;85.81236768184507
2018-05-31;82.0403954760497
2018-06-01;84.86937463039624
2018-06-04;88.64134683619162
2018-06-05;82.98338852749853
2018-06-06;83.92638157894739
2018-06-07;86.75536073329393
2018-06-08;82.98338852749853
2018-06-11;93.35631209343586
2018-06-12;89.58433988764047
2018-06-13;89.58433988764047
2018-06-14;81.09740242460084
2018-06-15;77.32543021880545
2018-06-18;86.75536073329393
2018-06-19;81.09740242460084
2018-06-20;80.15440937315199
2018-06-21;81.09740242460084
2018-06-22;78.2684232702543
2018-06-25;85.81236768184507
2018-06-26;79.21141632170315
2018-06-27;79.21141632170315
2018-06-28;83.92638157894739
2018-06-29;85.81236768184507
2018-07-02;83.92638157894739
2018-07-03;85.81236768184507
2018-07-04;83.92638157894739
2018-07-05;86.75536073329393
2018-07-06;78.2684232702543
2018-07-09;85.81236768184507
2018-07-10;88.64134683619162
2018-07-11;86.75536073329393
2018-07-12;86.75536073329393
2018-07-13;87.69835378474278
2018-07-16;87.69835378474278
2018-07-17;89.58433988764047
2018-07-18;87.69835378474278
2018-07-19;91.47032599053816
2018-07-20;85.81236768184507
2018-07-23;93.35631209343586
2018-07-24;89.58433988764047
2018-07-25;89.58433988764047
2018-07-26;88.64134683619162
2018-07-27;85.81236768184507
2018-07-30;92.41331904198701
2018-07-31;91.47032599053816
2018-08-01;82.0403954760497
2018-08-02;85.81236768184507
2018-08-03;94.2993051448847
2018-08-06;94.2993051448847
2018-08-07;89.58433988764047
2018-08-08;85.81236768184507
2018-08-09;86.75536073329393
2018-08-10;89.58433988764047
2018-08-13;92.41331904198701
2018-08-14;88.64134683619162
2018-08-15;80.15440937315199
2018-08-16;92.41331904198701
2018-08-17;88.64134683619162
2018-08-20;90.52733293908932
2018-08-21;87.69835378474278
2018-08-22;94.2993051448847
2018-08-23;93.35631209343586
2018-08-24;93.35631209343586
2018-08-27;97.64855632761682
2018-08-28;92.28325103489063
2018-08-29;97.64855632761682
2018-08-30;95.50243421052635
2018-08-31;91.21018997634539
2018-09-03;96.57549526907158
2018-09-04;91.21018997634539
2018-09-05;90.13712891780014
2018-09-06;90.13712891780014
2018-09-07;87.99100680070967
2018-09-10;90.13712891780014
2018-09-11;87.99100680070967
2018-09-12;89.0640678592549
2018-09-13;91.21018997634539
2018-09-14;92.28325103489063
2018-09-17;92.28325103489063
2018-09-18;86.91794574216442
2018-09-19;87.99100680070967
2018-09-20;86.91794574216442
2018-09-21;89.0640678592549
2018-09-24;92.28325103489063
2018-09-25;90.13712891780014
2018-09-26;86.91794574216442
2018-09-27;89.0640678592549
2018-09-28;85.84488468361918
2018-10-01;87.99100680070967
2018-10-02;93.35631209343586
