Date;Safran
2017-03-01;84.0
2017-03-02;87.0
2017-03-03;83.0
2017-03-06;82.0
2017-03-07;75.0
2017-03-08;83.0
2017-03-09;86.0
2017-03-10;84.0
2017-03-13;83.0
2017-03-14;82.0
2017-03-15;84.0
2017-03-16;77.0
2017-03-17;76.0
2017-03-20;73.0
2017-03-21;73.0
2017-03-22;72.0
2017-03-23;70.0
2017-03-24;71.0
2017-03-27;73.0
2017-03-28;76.0
2017-03-29;70.0
2017-03-30;75.0
2017-03-31;91.0
2017-04-03;71.0
2017-04-04;88.0
2017-04-05;74.0
2017-04-06;77.0
2017-04-07;84.0
2017-04-10;81.0
2017-04-11;89.0
2017-04-12;85.0
2017-04-13;77.0
2017-04-18;82.0
2017-04-19;82.0
2017-04-20;72.0
2017-04-21;72.0
2017-04-24;94.0
2017-04-25;93.0
2017-04-26;85.0
2017-04-27;85.0
2017-04-28;76.0
2017-05-02;90.0
2017-05-03;86.0
2017-05-04;90.0
2017-05-05;80.0
2017-05-08;100.0
2017-05-09;88.0
2017-05-10;87.0
2017-05-11;74.0
2017-05-12;76.0
2017-05-15;85.0
2017-05-16;89.0
2017-05-17;84.0
2017-05-18;87.0
2017-05-19;81.0
2017-05-22;90.0
2017-05-23;74.0
2017-05-24;85.0
2017-05-25;65.0
2017-05-26;77.0
2017-05-29;85.0
2017-05-30;95.0
2017-05-31;81.42857142857143
2017-06-01;88.21428571428571
2017-06-02;83.36734693877551
2017-06-05;63.97959183673469
2017-06-06;80.45918367346938
2017-06-07;95.0
2017-06-08;73.6734693877551
2017-06-09;69.79591836734694
2017-06-12;79.48979591836735
2017-06-13;79.48979591836735
2017-06-14;80.45918367346938
2017-06-15;96.93877551020408
2017-06-16;85.3061224489796
2017-06-19;87.24489795918367
2017-06-20;75.61224489795919
2017-06-21;80.45918367346938
2017-06-22;84.33673469387755
2017-06-23;82.39795918367346
2017-06-26;83.36734693877551
2017-06-27;94.03061224489795
2017-06-28;83.36734693877551
2017-06-29;74.64285714285714
2017-06-30;77.55102040816327
2017-07-03;85.3061224489796
2017-07-04;74.64285714285714
2017-07-05;64.94897959183673
2017-07-06;75.61224489795919
2017-07-07;77.55102040816327
2017-07-10;86.27551020408163
2017-07-11;77.55102040816327
2017-07-12;79.48979591836735
2017-07-13;82.39795918367346
2017-07-14;66.88775510204081
2017-07-17;76.58163265306122
2017-07-18;84.33673469387755
2017-07-19;65.91836734693878
2017-07-20;65.91836734693878
2017-07-21;59.13265306122449
2017-07-24;63.01020408163265
2017-07-25;94.03061224489795
2017-07-26;86.27551020408163
2017-07-27;85.3061224489796
2017-07-28;69.79591836734694
2017-07-31;72.70408163265306
2017-08-01;64.94897959183673
2017-08-02;73.6734693877551
2017-08-03;78.5204081632653
2017-08-04;75.61224489795919
2017-08-07;77.55102040816327
2017-08-08;81.42857142857143
2017-08-09;67.85714285714286
2017-08-10;65.91836734693878
2017-08-11;71.73469387755102
2017-08-14;65.91836734693878
2017-08-15;62.04081632653061
2017-08-16;81.42857142857143
2017-08-17;75.61224489795919
2017-08-18;69.79591836734694
2017-08-21;75.61224489795919
2017-08-22;69.79591836734694
2017-08-23;73.6734693877551
2017-08-24;69.79591836734694
2017-08-25;91.12244897959184
2017-08-28;68.8265306122449
2017-08-29;73.06200941915228
2017-08-30;68.8265306122449
2017-08-31;75.17974882260596
2017-09-01;73.06200941915228
2017-09-04;60.355572998430134
2017-09-05;78.35635792778649
2017-09-06;72.00313971742543
2017-09-07;75.17974882260596
2017-09-08;72.00313971742543
2017-09-11;70.94427001569858
2017-09-12;74.12087912087911
2017-09-13;73.06200941915228
2017-09-14;76.23861852433281
2017-09-15;72.00313971742543
2017-09-18;79.41522762951334
2017-09-19;91.06279434850862
2017-09-20;79.41522762951334
2017-09-21;83.65070643642072
2017-09-22;75.17974882260596
2017-09-25;78.35635792778649
2017-09-26;76.23861852433281
2017-09-27;85.7684458398744
2017-09-28;73.06200941915228
2017-09-29;79.41522762951334
2017-10-02;86.82731554160125
2017-10-03;81.53296703296702
2017-10-04;91.06279434850862
2017-10-05;90.00392464678178
2017-10-06;74.12087912087911
2017-10-09;77.29748822605964
2017-10-10;95.298273155416
2017-10-11;83.65070643642072
2017-10-12;84.70957613814755
2017-10-13;74.12087912087911
2017-10-16;83.65070643642072
2017-10-17;81.53296703296702
2017-10-18;81.53296703296702
2017-10-19;86.82731554160125
2017-10-20;69.88540031397173
2017-10-23;78.35635792778649
2017-10-24;84.70957613814755
2017-10-25;81.53296703296702
2017-10-26;79.41522762951334
2017-10-27;88.94505494505493
2017-10-30;86.82731554160125
2017-10-31;84.70957613814755
2017-11-01;76.23861852433281
2017-11-02;75.17974882260596
2017-11-03;70.94427001569858
2017-11-06;82.59183673469387
2017-11-07;74.12087912087911
2017-11-08;83.65070643642072
2017-11-09;78.35635792778649
2017-11-10;72.00313971742543
2017-11-13;88.94505494505493
2017-11-14;76.23861852433281
2017-11-15;79.41522762951334
2017-11-16;81.53296703296702
2017-11-17;78.35635792778649
2017-11-20;105.88697017268444
2017-11-21;83.65070643642072
2017-11-22;86.82731554160125
2017-11-23;83.65070643642072
2017-11-24;74.12087912087911
2017-11-27;94.61899825242143
2017-11-28;98.45490358697906
2017-11-29;92.061728029383
2017-11-30;79.27537691419093
2017-12-01;83.11128224874855
2017-12-04;88.22582269482538
2017-12-05;95.89763336394064
2017-12-06;83.11128224874855
2017-12-07;98.45490358697906
2017-12-08;70.32493113355646
2017-12-11;92.061728029383
2017-12-12;107.40534936761351
2017-12-13;127.86351115192085
