Date;Danone
2017-03-01;85.0
2017-03-02;95.0
2017-03-03;88.0
2017-03-06;97.0
2017-03-07;92.0
2017-03-08;85.0
2017-03-09;89.0
2017-03-10;91.0
2017-03-13;91.0
2017-03-14;97.0
2017-03-15;88.0
2017-03-16;98.0
2017-03-17;88.0
2017-03-20;94.0
2017-03-21;96.0
2017-03-22;90.0
2017-03-23;81.0
2017-03-24;88.0
2017-03-27;82.0
2017-03-28;95.0
2017-03-29;97.0
2017-03-30;96.0
2017-03-31;91.0
2017-04-03;100.0
2017-04-04;93.0
2017-04-05;89.0
2017-04-06;93.0
2017-04-07;86.0
2017-04-10;82.0
2017-04-11;80.0
2017-04-12;96.0
2017-04-13;93.0
2017-04-18;83.0
2017-04-19;76.0
2017-04-20;87.0
2017-04-21;81.0
2017-04-24;78.0
2017-04-25;70.0
2017-04-26;88.0
2017-04-27;90.0
2017-04-28;87.0
2017-05-02;94.0
2017-05-03;82.0
2017-05-04;88.0
2017-05-05;91.0
2017-05-08;86.0
2017-05-09;81.0
2017-05-10;97.0
2017-05-11;88.0
2017-05-12;71.0
2017-05-15;81.0
2017-05-16;84.0
2017-05-17;91.0
2017-05-18;78.0
2017-05-19;77.0
2017-05-22;84.0
2017-05-23;84.0
2017-05-24;74.0
2017-05-25;71.0
2017-05-26;71.0
2017-05-29;92.0
2017-05-30;85.0
2017-05-31;82.06896551724138
2017-06-01;72.29885057471265
2017-06-02;68.39080459770115
2017-06-05;82.06896551724138
2017-06-06;87.93103448275862
2017-06-07;86.95402298850576
2017-06-08;91.83908045977012
2017-06-09;82.06896551724138
2017-06-12;78.16091954022988
2017-06-13;78.16091954022988
2017-06-14;66.4367816091954
2017-06-15;73.27586206896552
2017-06-16;79.13793103448276
2017-06-19;83.04597701149426
2017-06-20;85.0
2017-06-21;85.0
2017-06-22;83.04597701149426
2017-06-23;62.52873563218391
2017-06-26;88.9080459770115
2017-06-27;83.04597701149426
2017-06-28;79.13793103448276
2017-06-29;84.02298850574712
2017-06-30;67.41379310344828
