Date;Arcelor Mittal
2017-03-01;33.0
2017-03-02;42.0
2017-03-03;26.0
2017-03-06;45.0
2017-03-07;34.0
2017-03-08;34.0
2017-03-09;35.0
2017-03-10;46.0
2017-03-13;34.0
2017-03-14;26.0
2017-03-15;35.0
2017-03-16;26.0
2017-03-17;39.0
2017-03-20;37.0
2017-03-21;35.0
2017-03-22;47.0
2017-03-23;31.0
2017-03-24;49.0
2017-03-27;43.0
2017-03-28;43.0
2017-03-29;39.0
2017-03-30;35.0
2017-03-31;31.0
2017-04-03;38.0
2017-04-04;34.0
2017-04-05;40.0
2017-04-06;32.0
2017-04-07;37.0
2017-04-10;33.0
2017-04-11;36.0
2017-04-12;44.0
2017-04-13;41.0
2017-04-18;47.0
2017-04-19;26.0
2017-04-20;42.0
2017-04-21;42.0
2017-04-24;29.0
2017-04-25;28.0
2017-04-26;41.0
2017-04-27;42.0
2017-04-28;34.0
2017-05-02;36.0
2017-05-03;28.0
2017-05-04;46.0
2017-05-05;40.0
2017-05-08;37.0
2017-05-09;40.0
2017-05-10;57.0
2017-05-11;45.0
2017-05-12;52.0
2017-05-15;58.0
2017-05-16;25.0
2017-05-17;41.0
2017-05-18;100.0
2017-05-19;61.0
2017-05-22;40.0
2017-05-23;39.0
2017-05-24;45.0
2017-05-25;38.0
2017-05-26;31.0
2017-05-29;50.0
2017-05-30;41.0
2017-05-31;33.19047619047619
2017-06-01;37.095238095238095
2017-06-02;35.14285714285714
2017-06-05;25.869047619047617
2017-06-06;22.452380952380953
2017-06-07;20.5
2017-06-08;45.88095238095238
2017-06-09;23.916666666666664
2017-06-12;30.261904761904763
2017-06-13;30.261904761904763
2017-06-14;30.75
2017-06-15;37.095238095238095
2017-06-16;32.70238095238095
2017-06-19;38.55952380952381
2017-06-20;22.452380952380953
2017-06-21;47.345238095238095
2017-06-22;20.011904761904763
2017-06-23;15.619047619047619
2017-06-26;18.547619047619047
2017-06-27;34.654761904761905
2017-06-28;48.32142857142857
2017-06-29;37.095238095238095
2017-06-30;21.964285714285715
2017-07-03;26.845238095238095
2017-07-04;35.14285714285714
2017-07-05;48.80952380952381
2017-07-06;21.476190476190474
2017-07-07;30.75
2017-07-10;25.869047619047617
2017-07-11;44.416666666666664
2017-07-12;36.607142857142854
2017-07-13;29.285714285714285
2017-07-14;8.297619047619047
2017-07-17;23.916666666666664
2017-07-18;26.845238095238095
2017-07-19;23.916666666666664
2017-07-20;39.535714285714285
2017-07-21;19.035714285714285
2017-07-24;13.178571428571429
2017-07-25;39.047619047619044
2017-07-26;23.428571428571427
2017-07-27;36.607142857142854
2017-07-28;35.14285714285714
2017-07-31;15.619047619047619
2017-08-01;20.011904761904763
2017-08-02;29.285714285714285
2017-08-03;20.011904761904763
2017-08-04;23.916666666666664
2017-08-07;27.333333333333332
2017-08-08;14.642857142857142
2017-08-09;17.57142857142857
2017-08-10;33.67857142857143
2017-08-11;16.107142857142858
2017-08-14;18.05952380952381
2017-08-15;26.357142857142858
2017-08-16;25.38095238095238
2017-08-17;12.69047619047619
2017-08-18;23.428571428571427
2017-08-21;20.011904761904763
2017-08-22;22.94047619047619
2017-08-23;17.57142857142857
2017-08-24;25.38095238095238
2017-08-25;20.988095238095237
2017-08-28;33.67857142857143
2017-08-29;31.841558441558444
2017-08-30;25.10584415584416
2017-08-31;17.145454545454548
2017-09-01;23.881168831168832
2017-09-04;18.982467532467535
2017-09-05;18.982467532467535
2017-09-06;24.493506493506494
2017-09-07;19.594805194805197
2017-09-08;21.431818181818183
2017-09-11;34.290909090909096
2017-09-12;31.229220779220782
2017-09-13;23.26883116883117
2017-09-14;23.881168831168832
2017-09-15;19.594805194805197
2017-09-18;25.718181818181822
2017-09-19;33.06623376623377
2017-09-20;38.57727272727273
2017-09-21;34.903246753246755
2017-09-22;21.431818181818183
2017-09-25;29.392207792207795
2017-09-26;31.229220779220782
2017-09-27;37.96493506493507
2017-09-28;26.330519480519484
2017-09-29;26.942857142857147
2017-10-02;24.493506493506494
2017-10-03;23.26883116883117
2017-10-04;31.229220779220782
2017-10-05;23.881168831168832
2017-10-06;26.330519480519484
2017-10-09;31.841558441558444
2017-10-10;30.61688311688312
2017-10-11;15.30844155844156
2017-10-12;20.20714285714286
2017-10-13;37.96493506493507
2017-10-16;34.290909090909096
2017-10-17;28.779870129870133
2017-10-18;17.75779220779221
2017-10-19;28.16753246753247
2017-10-20;36.12792207792208
2017-10-23;26.942857142857147
2017-10-24;25.10584415584416
2017-10-25;14.083766233766235
2017-10-26;24.493506493506494
2017-10-27;23.26883116883117
2017-10-30;23.26883116883117
2017-10-31;24.493506493506494
2017-11-01;21.431818181818183
2017-11-02;24.493506493506494
2017-11-03;22.656493506493508
2017-11-06;30.004545454545458
2017-11-07;25.718181818181822
2017-11-08;36.12792207792208
2017-11-09;29.392207792207795
2017-11-10;32.453896103896106
2017-11-13;33.06623376623377
2017-11-14;31.229220779220782
2017-11-15;18.982467532467535
2017-11-16;25.718181818181822
2017-11-17;26.942857142857147
2017-11-20;61.23376623376624
2017-11-21;33.67857142857143
2017-11-22;32.453896103896106
2017-11-23;25.718181818181822
2017-11-24;18.982467532467535
2017-11-27;16.32900432900433
2017-11-28;17.553679653679655
2017-11-29;24.493506493506494
2017-11-30;22.044155844155846
2017-12-01;22.860606060606063
2017-12-04;18.77835497835498
2017-12-05;26.942857142857147
2017-12-06;23.67705627705628
2017-12-07;24.901731601731605
2017-12-08;15.920779220779222
2017-12-11;21.22770562770563
2017-12-12;27.759307359307364
2017-12-13;16.32900432900433
