Date;Schneider Electric
2017-03-01;82.0
2017-03-02;96.0
2017-03-03;83.0
2017-03-06;90.0
2017-03-07;85.0
2017-03-08;82.0
2017-03-09;80.0
2017-03-10;81.0
2017-03-13;79.0
2017-03-14;92.0
2017-03-15;77.0
2017-03-16;92.0
2017-03-17;76.0
2017-03-20;81.0
2017-03-21;94.0
2017-03-22;88.0
2017-03-23;76.0
2017-03-24;84.0
2017-03-27;88.0
2017-03-28;90.0
2017-03-29;87.0
2017-03-30;84.0
2017-03-31;67.0
2017-04-03;81.0
2017-04-04;89.0
2017-04-05;74.0
2017-04-06;94.0
2017-04-07;71.0
2017-04-10;83.0
2017-04-11;100.0
2017-04-12;93.0
2017-04-13;81.0
2017-04-18;71.0
2017-04-19;96.0
2017-04-20;87.0
2017-04-21;78.0
2017-04-24;75.0
2017-04-25;79.0
2017-04-26;89.0
2017-04-27;76.0
2017-04-28;81.0
2017-05-02;80.0
2017-05-03;84.0
2017-05-04;81.0
2017-05-05;80.0
2017-05-08;81.0
2017-05-09;88.0
2017-05-10;87.0
2017-05-11;91.0
2017-05-12;78.0
2017-05-15;78.0
2017-05-16;86.0
2017-05-17;80.0
2017-05-18;84.0
2017-05-19;82.0
2017-05-22;90.0
2017-05-23;80.0
2017-05-24;79.0
2017-05-25;65.0
2017-05-26;65.0
2017-05-29;73.0
2017-05-30;100.0
2017-05-31;76.59574468085106
2017-06-01;82.97872340425532
2017-06-02;79.7872340425532
2017-06-05;70.2127659574468
2017-06-06;81.91489361702128
2017-06-07;98.93617021276596
2017-06-08;102.12765957446808
2017-06-09;74.46808510638297
2017-06-12;76.59574468085106
2017-06-13;79.7872340425532
2017-06-14;75.53191489361701
2017-06-15;82.97872340425532
2017-06-16;77.65957446808511
2017-06-19;95.74468085106383
2017-06-20;97.87234042553192
2017-06-21;97.87234042553192
2017-06-22;86.17021276595744
2017-06-23;79.7872340425532
2017-06-26;86.17021276595744
2017-06-27;98.93617021276596
2017-06-28;74.46808510638297
2017-06-29;75.53191489361701
2017-06-30;73.40425531914893
2017-07-03;78.72340425531915
2017-07-04;71.27659574468085
2017-07-05;96.80851063829788
2017-07-06;104.25531914893617
2017-07-07;67.02127659574468
2017-07-10;82.97872340425532
2017-07-11;87.23404255319149
2017-07-12;88.29787234042553
2017-07-13;89.36170212765957
2017-07-14;76.59574468085106
2017-07-17;103.19148936170212
2017-07-18;80.85106382978724
2017-07-19;87.23404255319149
2017-07-20;88.29787234042553
2017-07-21;80.85106382978724
2017-07-24;87.23404255319149
2017-07-25;95.74468085106383
2017-07-26;100.0
2017-07-27;106.38297872340425
2017-07-28;75.53191489361701
2017-07-31;80.85106382978724
2017-08-01;79.7872340425532
2017-08-02;90.42553191489361
2017-08-03;90.42553191489361
2017-08-04;80.85106382978724
2017-08-07;80.85106382978724
2017-08-08;102.12765957446808
2017-08-09;79.7872340425532
2017-08-10;86.17021276595744
2017-08-11;62.76595744680851
2017-08-14;80.85106382978724
2017-08-15;76.59574468085106
2017-08-16;84.04255319148936
2017-08-17;84.04255319148936
2017-08-18;76.59574468085106
2017-08-21;86.17021276595744
2017-08-22;90.42553191489361
2017-08-23;86.17021276595744
2017-08-24;87.23404255319149
2017-08-25;71.27659574468085
2017-08-28;73.40425531914893
2017-08-29;84.41489361702128
2017-08-30;103.98936170212765
2017-08-31;86.86170212765957
2017-09-01;62.39361702127659
2017-09-04;86.86170212765957
2017-09-05;122.34042553191489
2017-09-06;94.20212765957446
2017-09-07;97.87234042553192
2017-09-08;74.62765957446808
2017-09-11;96.64893617021276
2017-09-12;96.64893617021276
2017-09-13;85.63829787234042
2017-09-14;100.31914893617021
2017-09-15;72.18085106382978
2017-09-18;103.98936170212765
2017-09-19;103.98936170212765
2017-09-20;83.19148936170212
2017-09-21;95.42553191489361
2017-09-22;72.18085106382978
2017-09-25;92.97872340425532
2017-09-26;106.43617021276596
2017-09-27;90.53191489361701
2017-09-28;99.09574468085106
2017-09-29;88.08510638297872
2017-10-02;94.20212765957446
2017-10-03;91.75531914893617
2017-10-04;103.98936170212765
2017-10-05;107.6595744680851
2017-10-06;89.30851063829786
2017-10-09;89.30851063829786
2017-10-10;97.87234042553192
2017-10-11;101.54255319148936
2017-10-12;108.88297872340425
2017-10-13;83.19148936170212
2017-10-16;96.64893617021276
2017-10-17;94.20212765957446
2017-10-18;105.2127659574468
2017-10-19;84.41489361702128
2017-10-20;84.41489361702128
2017-10-23;92.97872340425532
2017-10-24;105.2127659574468
2017-10-25;103.98936170212765
2017-10-26;95.42553191489361
2017-10-27;77.07446808510637
2017-10-30;94.20212765957446
2017-10-31;90.53191489361701
2017-11-01;78.29787234042553
2017-11-02;108.88297872340425
2017-11-03;84.41489361702128
2017-11-06;91.75531914893617
2017-11-07;100.31914893617021
2017-11-08;96.64893617021276
2017-11-09;89.30851063829786
2017-11-10;85.63829787234042
2017-11-13;99.09574468085106
2017-11-14;106.43617021276596
2017-11-15;91.75531914893617
2017-11-16;97.87234042553192
2017-11-17;94.20212765957446
2017-11-20;92.97872340425532
2017-11-21;106.43617021276596
2017-11-22;84.41489361702128
2017-11-23;83.19148936170212
2017-11-24;66.06382978723404
2017-11-27;90.79142488716957
2017-11-28;90.79142488716957
2017-11-29;90.79142488716957
2017-11-30;77.0003223726628
2017-12-01;85.04513217279175
2017-12-04;85.04513217279175
2017-12-05;88.49290780141844
2017-12-06;94.23920051579626
2017-12-07;72.40328820116055
2017-12-08;59.76144422952934
2017-12-11;90.79142488716957
2017-12-12;110.32882011605416
