Date;Bouygues
2017-07-14;67.38028169014085
2017-07-17;103.66197183098592
2017-07-18;104.95774647887325
2017-07-19;102.36619718309859
2017-07-20;101.07042253521126
2017-07-21;97.1830985915493
2017-07-24;107.54929577464789
2017-07-25;106.25352112676057
2017-07-26;104.95774647887325
2017-07-27;98.47887323943662
2017-07-28;95.88732394366198
2017-07-31;102.36619718309859
2017-08-01;94.59154929577466
2017-08-02;99.77464788732395
2017-08-03;98.47887323943662
2017-08-04;95.88732394366198
2017-08-07;98.47887323943662
2017-08-08;101.07042253521126
2017-08-09;98.47887323943662
2017-08-10;99.77464788732395
2017-08-11;90.70422535211267
2017-08-14;85.52112676056339
2017-08-15;73.85915492957747
2017-08-16;99.77464788732395
2017-08-17;99.77464788732395
2017-08-18;93.29577464788733
2017-08-21;104.95774647887325
2017-08-22;106.25352112676057
2017-08-23;101.07042253521126
2017-08-24;99.77464788732395
2017-08-25;101.07042253521126
2017-08-28;129.5774647887324
2017-08-29;117.554813416582
2017-08-30;130.9133149411936
2017-08-31;129.5774647887324
2017-09-01;117.554813416582
2017-09-04;133.58501524611592
2017-09-05;128.24161463627127
2017-09-06;126.9057644838101
2017-09-07;117.554813416582
2017-09-08;113.54726295919852
2017-09-11;120.22651372150432
2017-09-12;121.56236387396547
2017-09-13;118.89066356904316
2017-09-14;110.8755626542762
2017-09-15;109.53971250181505
2017-09-18;113.54726295919852
2017-09-19;120.22651372150432
2017-09-20;125.56991433134894
2017-09-21;101.52461158704808
2017-09-22;101.52461158704808
2017-09-25;106.86801219689272
2017-09-26;108.20386234935388
2017-09-27;104.1963118919704
2017-09-28;105.53216204443156
2017-09-29;100.18876143458692
2017-10-02;110.8755626542762
2017-10-03;108.20386234935388
2017-10-04;104.1963118919704
2017-10-05;113.54726295919852
2017-10-06;101.52461158704808
2017-10-09;108.20386234935388
2017-10-10;104.1963118919704
2017-10-11;104.1963118919704
2017-10-12;101.52461158704808
2017-10-13;93.50951067228112
2017-10-16;108.20386234935388
2017-10-17;97.51706112966461
2017-10-18;102.86046173950925
2017-10-19;106.86801219689272
2017-10-20;94.84536082474229
2017-10-23;108.20386234935388
2017-10-24;101.52461158704808
2017-10-25;100.18876143458692
2017-10-26;96.18121097720345
2017-10-27;108.20386234935388
2017-10-30;106.86801219689272
2017-10-31;96.18121097720345
2017-11-01;77.47930884274723
2017-11-02;105.53216204443156
2017-11-03;108.20386234935388
2017-11-06;116.21896326412083
2017-11-07;102.86046173950925
2017-11-08;106.86801219689272
2017-11-09;116.21896326412083
2017-11-10;100.18876143458692
2017-11-13;112.21141280673736
2017-11-14;109.53971250181505
2017-11-15;110.8755626542762
2017-11-16;101.52461158704808
2017-11-17;97.51706112966461
2017-11-20;108.20386234935388
2017-11-21;105.53216204443156
2017-11-22;101.52461158704808
2017-11-23;106.86801219689272
2017-11-24;104.1963118919704
2017-11-27;106.75851628275656
2017-11-28;103.9116225152164
2017-11-29;120.99298512045745
2017-11-30;132.38056019061816
