Date;Sodexo
2017-03-01;73.0
2017-03-02;63.0
2017-03-03;84.0
2017-03-06;50.0
2017-03-07;45.0
2017-03-08;37.0
2017-03-09;39.0
2017-03-10;37.0
2017-03-13;39.0
2017-03-14;40.0
2017-03-15;40.0
2017-03-16;34.0
2017-03-17;38.0
2017-03-20;37.0
2017-03-21;38.0
2017-03-22;40.0
2017-03-23;36.0
2017-03-24;40.0
2017-03-27;52.0
2017-03-28;48.0
2017-03-29;54.0
2017-03-30;58.0
2017-03-31;100.0
2017-04-03;56.0
2017-04-04;50.0
2017-04-05;46.0
2017-04-06;46.0
2017-04-07;39.0
2017-04-10;32.0
2017-04-11;39.0
2017-04-12;41.0
2017-04-13;38.0
2017-04-18;35.0
2017-04-19;30.0
2017-04-20;36.0
2017-04-21;30.0
2017-04-24;45.0
2017-04-25;48.0
2017-04-26;45.0
2017-04-27;58.0
2017-04-28;62.0
2017-05-02;60.0
2017-05-03;60.0
2017-05-04;49.0
2017-05-05;45.0
2017-05-08;37.0
2017-05-09;37.0
2017-05-10;37.0
2017-05-11;35.0
2017-05-12;35.0
2017-05-15;31.0
2017-05-16;32.0
2017-05-17;30.0
2017-05-18;29.0
2017-05-19;30.0
2017-05-22;39.0
2017-05-23;36.0
2017-05-24;37.0
2017-05-25;36.0
2017-05-26;44.0
2017-05-29;52.0
2017-05-30;65.0
2017-05-31;71.66666666666667
2017-06-01;65.0
2017-06-02;47.5
2017-06-05;44.16666666666667
2017-06-06;42.5
2017-06-07;40.833333333333336
2017-06-08;35.833333333333336
2017-06-09;36.66666666666667
2017-06-12;39.16666666666667
2017-06-13;35.833333333333336
2017-06-14;36.66666666666667
2017-06-15;30.833333333333336
2017-06-16;34.16666666666667
2017-06-19;37.5
2017-06-20;36.66666666666667
2017-06-21;34.16666666666667
2017-06-22;30.833333333333336
2017-06-23;35.833333333333336
2017-06-26;44.16666666666667
2017-06-27;47.5
2017-06-28;55.0
2017-06-29;56.66666666666667
2017-06-30;67.5
2017-07-03;54.16666666666667
2017-07-04;43.333333333333336
2017-07-05;44.16666666666667
2017-07-06;40.833333333333336
2017-07-07;37.5
2017-07-10;36.66666666666667
2017-07-11;36.66666666666667
2017-07-12;35.833333333333336
2017-07-13;30.833333333333336
2017-07-14;33.333333333333336
2017-07-17;34.16666666666667
2017-07-18;33.333333333333336
2017-07-19;31.666666666666668
2017-07-20;32.5
2017-07-21;30.833333333333336
2017-07-24;40.833333333333336
2017-07-25;40.833333333333336
2017-07-26;43.333333333333336
2017-07-27;50.833333333333336
2017-07-28;56.66666666666667
2017-07-31;64.16666666666667
2017-08-01;83.33333333333334
2017-08-02;53.333333333333336
2017-08-03;45.0
2017-08-04;45.0
2017-08-07;38.333333333333336
2017-08-08;37.5
2017-08-09;36.66666666666667
2017-08-10;36.66666666666667
2017-08-11;36.66666666666667
2017-08-14;40.0
2017-08-15;37.5
2017-08-16;33.333333333333336
2017-08-17;37.5
2017-08-18;36.66666666666667
2017-08-21;39.16666666666667
2017-08-22;39.16666666666667
2017-08-23;36.66666666666667
2017-08-24;41.66666666666667
2017-08-25;43.333333333333336
2017-08-28;56.66666666666667
2017-08-29;60.346320346320354
2017-08-30;73.5930735930736
2017-08-31;66.96969696969697
2017-09-01;65.49783549783551
2017-09-04;47.83549783549784
2017-09-05;46.36363636363637
2017-09-06;42.683982683982684
2017-09-07;34.58874458874459
2017-09-08;35.324675324675326
2017-09-11;38.26839826839827
2017-09-12;38.26839826839827
2017-09-13;36.7965367965368
2017-09-14;35.324675324675326
2017-09-15;33.85281385281385
