Date;TechnipFMC
2017-03-01;72.0
2017-03-02;63.0
2017-03-03;38.0
2017-03-06;45.0
2017-03-07;31.0
2017-03-08;28.0
2017-03-09;32.0
2017-03-10;24.0
2017-03-13;43.0
2017-03-14;23.0
2017-03-15;42.0
2017-03-16;28.0
2017-03-17;35.0
2017-03-20;37.0
2017-03-21;74.0
2017-03-22;33.0
2017-03-23;38.0
2017-03-24;29.0
2017-03-27;51.0
2017-03-28;62.0
2017-03-29;57.0
2017-03-30;33.0
2017-03-31;34.0
2017-04-03;75.0
2017-04-04;66.0
2017-04-05;84.0
2017-04-06;71.0
2017-04-07;19.0
2017-04-10;28.0
2017-04-11;38.0
2017-04-12;53.0
2017-04-13;35.0
2017-04-18;37.0
2017-04-19;46.0
2017-04-20;47.0
2017-04-21;40.0
2017-04-24;65.0
2017-04-25;51.0
2017-04-26;69.0
2017-04-27;89.0
2017-04-28;54.0
2017-05-02;56.0
2017-05-03;28.0
2017-05-04;61.0
2017-05-05;64.0
2017-05-08;61.0
2017-05-09;42.0
2017-05-10;89.0
2017-05-11;100.0
2017-05-12;34.0
2017-05-15;54.0
2017-05-16;50.0
2017-05-17;30.0
2017-05-18;60.0
2017-05-19;42.0
2017-05-22;36.0
2017-05-23;54.0
2017-05-24;81.0
2017-05-25;46.0
2017-05-26;43.0
2017-05-29;52.0
2017-05-30;50.0
2017-05-31;92.85714285714286
2017-06-01;80.95238095238095
2017-06-02;54.76190476190476
2017-06-05;66.66666666666667
2017-06-06;64.28571428571429
2017-06-07;78.57142857142857
2017-06-08;107.14285714285714
2017-06-09;104.76190476190476
2017-06-12;92.85714285714286
2017-06-13;57.14285714285714
2017-06-14;71.42857142857143
2017-06-15;126.19047619047619
2017-06-16;76.19047619047619
2017-06-19;92.85714285714286
2017-06-20;111.9047619047619
2017-06-21;97.61904761904762
2017-06-22;104.76190476190476
2017-06-23;116.66666666666667
2017-06-26;42.857142857142854
2017-06-27;73.80952380952381
2017-06-28;76.19047619047619
2017-06-29;90.47619047619048
2017-06-30;76.19047619047619
2017-07-03;135.71428571428572
2017-07-04;90.47619047619048
2017-07-05;114.28571428571428
2017-07-06;90.47619047619048
2017-07-07;100.0
2017-07-10;52.38095238095238
2017-07-11;73.80952380952381
2017-07-12;95.23809523809524
2017-07-13;104.76190476190476
2017-07-14;52.38095238095238
2017-07-17;95.23809523809524
2017-07-18;38.095238095238095
2017-07-19;109.52380952380952
2017-07-20;80.95238095238095
2017-07-21;69.04761904761905
2017-07-24;114.28571428571428
2017-07-25;202.38095238095238
2017-07-26;238.0952380952381
2017-07-27;219.04761904761904
2017-07-28;90.47619047619048
2017-07-31;102.38095238095238
2017-08-01;111.9047619047619
2017-08-02;54.76190476190476
2017-08-03;114.28571428571428
2017-08-04;66.66666666666667
2017-08-07;54.76190476190476
2017-08-08;128.57142857142858
2017-08-09;128.57142857142858
2017-08-10;50.0
2017-08-11;80.95238095238095
2017-08-14;73.80952380952381
2017-08-15;95.23809523809524
2017-08-16;100.0
2017-08-17;164.28571428571428
2017-08-18;59.523809523809526
2017-08-21;111.9047619047619
2017-08-22;111.9047619047619
2017-08-23;119.04761904761905
2017-08-24;169.04761904761904
2017-08-25;73.80952380952381
2017-08-28;50.0
2017-08-29;134.48275862068965
2017-08-30;39.6551724137931
2017-08-31;117.24137931034483
2017-09-01;41.37931034482759
2017-09-04;70.6896551724138
2017-09-05;105.17241379310344
2017-09-06;37.93103448275862
2017-09-07;70.6896551724138
2017-09-08;79.3103448275862
2017-09-11;86.20689655172413
2017-09-12;27.586206896551722
2017-09-13;18.96551724137931
2017-09-14;48.275862068965516
2017-09-15;50.0
2017-09-18;58.62068965517241
2017-09-19;132.75862068965517
2017-09-20;58.62068965517241
2017-09-21;48.275862068965516
2017-09-22;20.689655172413794
2017-09-25;56.89655172413793
2017-09-26;86.20689655172413
2017-09-27;105.17241379310344
2017-09-28;87.93103448275862
2017-09-29;70.6896551724138
2017-10-02;67.24137931034483
2017-10-03;58.62068965517241
2017-10-04;86.20689655172413
2017-10-05;106.89655172413792
2017-10-06;10.344827586206897
2017-10-09;86.20689655172413
2017-10-10;84.48275862068965
2017-10-11;56.89655172413793
2017-10-12;77.58620689655172
2017-10-13;79.3103448275862
2017-10-16;56.89655172413793
2017-10-17;65.51724137931033
2017-10-18;86.20689655172413
2017-10-19;79.3103448275862
2017-10-20;60.34482758620689
2017-10-23;56.89655172413793
2017-10-24;112.06896551724137
2017-10-25;131.03448275862067
2017-10-26;124.13793103448275
2017-10-27;100.0
2017-10-30;46.55172413793103
2017-10-31;105.17241379310344
2017-11-01;77.58620689655172
2017-11-02;37.93103448275862
2017-11-03;58.62068965517241
2017-11-06;74.13793103448275
2017-11-07;91.37931034482759
2017-11-08;27.586206896551722
2017-11-09;120.68965517241378
2017-11-10;87.93103448275862
2017-11-13;55.172413793103445
2017-11-14;118.9655172413793
2017-11-15;93.10344827586206
2017-11-16;82.75862068965517
2017-11-17;77.58620689655172
2017-11-20;74.13793103448275
2017-11-21;118.9655172413793
2017-11-22;55.172413793103445
2017-11-23;96.55172413793103
2017-11-24;172.41379310344826
2017-11-27;206.89655172413794
2017-11-28;151.0344827586207
2017-11-29;105.51724137931035
2017-11-30;49.65517241379311
2017-12-01;99.31034482758622
2017-12-04;142.75862068965517
2017-12-05;28.965517241379313
2017-12-06;88.96551724137932
2017-12-07;78.62068965517241
2017-12-08;80.6896551724138
2017-12-11;105.51724137931035
2017-12-12;95.17241379310346
2017-12-13;68.27586206896552
2017-12-14;68.27586206896552
