Date;Bnp Paribas
2017-07-11;55.36708860759494
2017-07-12;49.21518987341772
2017-07-13;44.43037974683544
2017-07-14;36.91139240506329
2017-07-17;52.63291139240506
2017-07-18;54.0
2017-07-19;58.10126582278481
2017-07-20;47.848101265822784
2017-07-21;41.69620253164557
2017-07-24;51.949367088607595
2017-07-25;49.89873417721519
2017-07-26;54.68354430379747
2017-07-27;54.68354430379747
2017-07-28;54.0
2017-07-31;60.151898734177216
2017-08-01;64.25316455696202
2017-08-02;55.36708860759494
2017-08-03;52.63291139240506
2017-08-04;51.949367088607595
2017-08-07;54.0
2017-08-08;54.0
2017-08-09;56.734177215189874
2017-08-10;55.36708860759494
2017-08-11;48.53164556962025
2017-08-14;39.64556962025316
2017-08-15;32.81012658227848
2017-08-16;47.164556962025316
2017-08-17;50.58227848101266
2017-08-18;47.848101265822784
2017-08-21;45.79746835443038
2017-08-22;47.848101265822784
2017-08-23;54.0
2017-08-24;56.734177215189874
2017-08-25;49.21518987341772
2017-08-28;54.68354430379747
2017-08-29;56.315888909880975
2017-08-30;56.315888909880975
2017-08-31;57.94823351596448
2017-09-01;51.418855091630455
2017-09-04;59.58057812204799
2017-09-05;60.39675042508974
2017-09-06;56.315888909880975
2017-09-07;57.94823351596448
2017-09-08;53.05119969771396
2017-09-11;57.13206121292273
2017-09-12;59.58057812204799
2017-09-13;54.68354430379747
2017-09-14;55.49971660683922
2017-09-15;51.418855091630455
2017-09-18;49.78651048554695
2017-09-19;54.68354430379747
2017-09-20;59.58057812204799
2017-09-21;60.39675042508974
2017-09-22;64.4776119402985
2017-09-25;62.02909503117325
2017-09-26;77.53636878896656
2017-09-27;71.82316266767428
2017-09-28;72.63933497071604
2017-09-29;71.00699036463253
2017-10-02;78.35254109200831
2017-10-03;76.7201964859248
2017-10-04;75.90402418288305
2017-10-05;79.16871339505006
2017-10-06;69.37464575854902
2017-10-09;75.90402418288305
2017-10-10;81.61723030417532
2017-10-11;75.90402418288305
2017-10-12;68.55847345550727
2017-10-13;67.74230115246552
2017-10-16;70.19081806159078
2017-10-17;70.19081806159078
2017-10-18;70.19081806159078
2017-10-19;73.45550727375779
2017-10-20;62.02909503117325
2017-10-23;69.37464575854902
2017-10-24;71.82316266767428
2017-10-25;66.92612884942376
2017-10-26;71.82316266767428
2017-10-27;75.0878518798413
2017-10-30;81.61723030417532
2017-10-31;79.98488569809182
2017-11-01;56.315888909880975
2017-11-02;81.61723030417532
2017-11-03;71.82316266767428
2017-11-06;79.16871339505006
2017-11-07;79.98488569809182
2017-11-08;79.98488569809182
2017-11-09;78.35254109200831
2017-11-10;70.19081806159078
2017-11-13;75.0878518798413
2017-11-14;76.7201964859248
2017-11-15;74.27167957679954
2017-11-16;68.55847345550727
2017-11-17;62.02909503117325
2017-11-20;71.00699036463253
2017-11-21;71.82316266767428
2017-11-22;61.212922728131495
2017-11-23;72.63933497071604
2017-11-24;64.4776119402985
2017-11-27;73.30004588270222
2017-11-28;77.76956087554991
2017-11-29;81.34517286982808
2017-11-30;75.98175487841084
2017-12-01;70.6183368869936
2017-12-04;75.0878518798413
2017-12-05;77.76956087554991
2017-12-06;74.19394888127175
2017-12-07;70.6183368869936
2017-12-08;69.72443388842406
2017-12-11;73.30004588270222
2017-12-12;75.0878518798413
2017-12-13;71.51223988556313
2017-12-14;68.83053088985453
2017-12-15;72.40614288413268
2017-12-18;75.98175487841084
2017-12-19;76.87565787698037
2017-12-20;75.98175487841084
2017-12-21;76.87565787698037
2017-12-22;71.51223988556313
2017-12-27;76.87565787698037
2017-12-28;74.19394888127175
2017-12-29;75.0878518798413
2018-01-02;89.39029985695393
2018-01-03;80.45126987125853
2018-01-04;64.36101589700682
2018-01-05;61.67930690129821
2018-01-08;69.72443388842406
2018-01-09;70.6183368869936
2018-01-10;69.72443388842406
2018-01-11;57.20979190845051
2018-01-12;58.10369490702005
2018-01-15;51.846373917033276
2018-01-16;60.78540390272867
2018-01-17;54.528082912741894
2018-01-18;57.20979190845051
2018-01-19;52.74027691560281
2018-01-22;54.528082912741894
2018-01-23;56.315888909880975
2018-01-24;54.528082912741894
2018-01-25;55.42198591131143
2018-01-26;55.42198591131143
2018-01-29;64.36101589700682
2018-01-30;61.67930690129821
2018-01-31;58.99759790558959
2018-02-01;68.83053088985453
2018-02-02;58.99759790558959
2018-02-05;69.72443388842406
2018-02-06;63.467112898437286
2018-02-07;56.315888909880975
2018-02-08;58.10369490702005
2018-02-09;66.14882189414591
2018-02-12;60.78540390272867
2018-02-13;60.78540390272867
2018-02-14;54.528082912741894
2018-02-15;57.20979190845051
2018-02-16;50.95247091846374
2018-02-19;55.42198591131143
2018-02-20;55.42198591131143
2018-02-21;58.10369490702005
2018-02-22;50.95247091846374
2018-02-23;49.16466492132466
2018-02-26;56.05636868448981
2018-02-27;61.24677319231294
2018-02-28;58.132530487619064
2018-03-01;55.018287782925185
2018-03-02;56.05636868448981
2018-03-05;63.322934995442196
2018-03-06;67.4752586017007
2018-03-07;68.51333950326533
2018-03-08;73.70374401108846
2018-03-09;80.97031032204085
2018-03-12;98.6176856486395
2018-03-13;102.77000925489799
2018-03-14;99.6557665502041
2018-03-15;103.80809015646261
2018-03-16;94.46536204238099
2018-03-19;67.4752586017007
2018-03-20;53.98020688136056
2018-03-21;48.789802373537434
2018-03-22;48.789802373537434
2018-03-23;45.675559668843555
2018-03-26;52.94212597979593
2018-03-27;55.018287782925185
2018-03-28;53.98020688136056
2018-03-29;53.98020688136056
2018-04-03;63.322934995442196
2018-04-04;59.17061138918369
2018-04-05;56.05636868448981
2018-04-06;52.94212597979593
2018-04-09;58.132530487619064
2018-04-10;57.09444958605444
2018-04-11;49.82788327510205
2018-04-12;48.789802373537434
2018-04-13;46.71364057040818
2018-04-16;52.94212597979593
2018-04-17;46.71364057040818
2018-04-18;43.5993978657143
2018-04-19;47.75172147197281
2018-04-20;45.675559668843555
2018-04-23;49.82788327510205
2018-04-24;48.789802373537434
2018-04-25;48.789802373537434
2018-04-26;53.98020688136056
2018-04-27;51.904045078231306
2018-04-30;48.789802373537434
2018-05-02;56.05636868448981
2018-05-03;49.82788327510205
2018-05-04;53.98020688136056
2018-05-07;49.82788327510205
2018-05-08;41.52323606258505
