Date;Veolia Environ.
2017-03-01;80.0
2017-03-02;75.0
2017-03-03;63.0
2017-03-06;83.0
2017-03-07;82.0
2017-03-08;66.0
2017-03-09;80.0
2017-03-10;58.0
2017-03-13;70.0
2017-03-14;71.0
2017-03-15;60.0
2017-03-16;78.0
2017-03-17;64.0
2017-03-20;80.0
2017-03-21;84.0
2017-03-22;85.0
2017-03-23;71.0
2017-03-24;84.0
2017-03-27;69.0
2017-03-28;71.0
2017-03-29;68.0
2017-03-30;75.0
2017-03-31;69.0
2017-04-03;80.0
2017-04-04;86.0
2017-04-05;73.0
2017-04-06;75.0
2017-04-07;68.0
2017-04-10;93.0
2017-04-11;74.0
2017-04-12;83.0
2017-04-13;93.0
2017-04-18;72.0
2017-04-19;80.0
2017-04-20;80.0
2017-04-21;74.0
2017-04-24;72.0
2017-04-25;82.0
2017-04-26;75.0
2017-04-27;71.0
2017-04-28;63.0
2017-05-02;79.0
2017-05-03;96.0
2017-05-04;100.0
2017-05-05;77.0
2017-05-08;56.0
2017-05-09;74.0
2017-05-10;89.0
2017-05-11;82.0
2017-05-12;84.0
2017-05-15;90.0
2017-05-16;79.0
2017-05-17;78.0
2017-05-18;69.0
2017-05-19;64.0
2017-05-22;76.0
2017-05-23;82.0
2017-05-24;83.0
2017-05-25;53.0
2017-05-26;62.0
2017-05-29;83.0
2017-05-30;85.0
2017-05-31;86.78947368421052
2017-06-01;85.0
2017-06-02;65.3157894736842
2017-06-05;45.631578947368425
2017-06-06;89.47368421052632
2017-06-07;85.0
2017-06-08;75.15789473684211
2017-06-09;76.05263157894737
2017-06-12;75.15789473684211
2017-06-13;85.0
2017-06-14;83.21052631578948
2017-06-15;67.10526315789474
2017-06-16;70.6842105263158
2017-06-19;89.47368421052632
2017-06-20;85.0
2017-06-21;84.10526315789474
2017-06-22;76.05263157894737
2017-06-23;68.89473684210526
2017-06-26;79.63157894736842
2017-06-27;87.6842105263158
2017-06-28;78.73684210526316
2017-06-29;68.89473684210526
2017-06-30;76.94736842105263
2017-07-03;77.84210526315789
2017-07-04;85.89473684210526
2017-07-05;84.10526315789474
2017-07-06;76.05263157894737
2017-07-07;76.94736842105263
2017-07-10;87.6842105263158
2017-07-11;78.73684210526316
2017-07-12;84.10526315789474
2017-07-13;59.05263157894737
2017-07-14;47.421052631578945
2017-07-17;78.73684210526316
2017-07-18;74.26315789473685
2017-07-19;73.36842105263158
2017-07-20;77.84210526315789
2017-07-21;64.42105263157895
2017-07-24;66.21052631578948
2017-07-25;85.0
2017-07-26;66.21052631578948
2017-07-27;81.42105263157895
2017-07-28;70.6842105263158
2017-07-31;85.0
2017-08-01;78.73684210526316
2017-08-02;73.36842105263158
2017-08-03;71.57894736842105
2017-08-04;57.26315789473684
2017-08-07;73.36842105263158
2017-08-08;72.47368421052632
2017-08-09;67.10526315789474
2017-08-10;71.57894736842105
2017-08-11;55.473684210526315
2017-08-14;61.73684210526316
2017-08-15;36.68421052631579
2017-08-16;63.526315789473685
2017-08-17;73.36842105263158
2017-08-18;59.94736842105263
2017-08-21;71.57894736842105
2017-08-22;69.78947368421052
2017-08-23;65.3157894736842
2017-08-24;63.526315789473685
2017-08-25;59.05263157894737
2017-08-28;74.26315789473685
2017-08-29;80.53891771682729
2017-08-30;83.6767976278725
2017-08-31;82.6308376575241
2017-09-01;76.35507783543366
2017-09-04;77.40103780578207
2017-09-05;81.58487768717569
2017-09-06;84.72275759822092
2017-09-07;87.86063750926614
2017-09-08;83.6767976278725
2017-09-11;88.90659747961455
2017-09-12;82.6308376575241
2017-09-13;80.53891771682729
2017-09-14;64.8495181616012
2017-09-15;62.757598220904384
2017-09-18;84.72275759822092
2017-09-19;79.49295774647888
2017-09-20;79.49295774647888
2017-09-21;79.49295774647888
2017-09-22;66.94143810229801
2017-09-25;82.6308376575241
2017-09-26;90.99851742031136
2017-09-27;79.49295774647888
2017-09-28;83.6767976278725
2017-09-29;69.03335804299482
2017-10-02;84.72275759822092
2017-10-03;76.35507783543366
2017-10-04;76.35507783543366
2017-10-05;80.53891771682729
2017-10-06;71.12527798369163
2017-10-09;84.72275759822092
2017-10-10;86.81467753891773
2017-10-11;82.6308376575241
2017-10-12;77.40103780578207
2017-10-13;72.17123795404004
2017-10-16;73.21719792438844
2017-10-17;83.6767976278725
2017-10-18;84.72275759822092
2017-10-19;77.40103780578207
2017-10-20;72.17123795404004
2017-10-23;84.72275759822092
2017-10-24;84.72275759822092
2017-10-25;74.26315789473685
2017-10-26;87.86063750926614
2017-10-27;76.35507783543366
2017-10-30;83.6767976278725
2017-10-31;71.12527798369163
2017-11-01;57.52779836916235
2017-11-02;86.81467753891773
2017-11-03;71.12527798369163
2017-11-06;86.81467753891773
2017-11-07;89.95255744996295
2017-11-08;83.6767976278725
2017-11-09;89.95255744996295
2017-11-10;76.35507783543366
2017-11-13;94.13639733135658
2017-11-14;100.41215715344701
2017-11-15;104.59599703484064
2017-11-16;95.18235730170498
2017-11-17;72.17123795404004
2017-11-20;87.86063750926614
2017-11-21;92.04447739065976
2017-11-22;78.44699777613047
2017-11-23;76.35507783543366
2017-11-24;65.8954781319496
2017-11-27;78.17012601927354
2017-11-28;74.10934025203855
2017-11-29;83.24610822831728
2017-11-30;78.17012601927354
2017-12-01;71.06375092661231
2017-12-04;87.30689399555227
2017-12-05;76.13973313565606
2017-12-06;71.06375092661231
2017-12-07;100.504447739066
2017-12-08;87.30689399555227
2017-12-11;100.504447739066
2017-12-12;82.23091178650853
2017-12-13;82.23091178650853
2017-12-14;93.39807264640476
