Date;Pernod Ricard
2017-03-01;61.0
2017-03-02;49.0
2017-03-03;56.0
2017-03-06;65.0
2017-03-07;60.0
2017-03-08;57.0
2017-03-09;54.0
2017-03-10;63.0
2017-03-13;79.0
2017-03-14;69.0
2017-03-15;72.0
2017-03-16;52.0
2017-03-17;63.0
2017-03-20;58.0
2017-03-21;72.0
2017-03-22;67.0
2017-03-23;54.0
2017-03-24;55.0
2017-03-27;65.0
2017-03-28;60.0
2017-03-29;42.0
2017-03-30;60.0
2017-03-31;46.0
2017-04-03;50.0
2017-04-04;65.0
2017-04-05;55.0
2017-04-06;54.0
2017-04-07;60.0
2017-04-10;56.0
2017-04-11;59.0
2017-04-12;55.0
2017-04-13;46.0
2017-04-18;69.0
2017-04-19;88.0
2017-04-20;77.0
2017-04-21;45.0
2017-04-24;51.0
2017-04-25;55.0
2017-04-26;87.0
2017-04-27;55.0
2017-04-28;49.0
2017-05-02;47.0
2017-05-03;64.0
2017-05-04;85.0
2017-05-05;72.0
2017-05-08;41.0
2017-05-09;56.0
2017-05-10;72.0
2017-05-11;82.0
2017-05-12;62.0
2017-05-15;71.0
2017-05-16;54.0
2017-05-17;51.0
2017-05-18;78.0
2017-05-19;70.0
2017-05-22;71.0
2017-05-23;100.0
2017-05-24;51.0
2017-05-25;62.0
2017-05-26;51.0
2017-05-29;54.0
2017-05-30;61.0
2017-05-31;57.23456790123457
2017-06-01;46.69135802469136
2017-06-02;53.46913580246914
2017-06-05;59.49382716049383
2017-06-06;70.03703703703704
2017-06-07;68.53086419753086
2017-06-08;72.2962962962963
2017-06-09;61.0
2017-06-12;63.25925925925926
2017-06-13;60.24691358024691
2017-06-14;64.76543209876543
2017-06-15;48.19753086419753
2017-06-16;49.7037037037037
2017-06-19;52.71604938271605
2017-06-20;74.55555555555556
2017-06-21;37.65432098765432
2017-06-22;67.77777777777779
2017-06-23;50.45679012345679
2017-06-26;52.71604938271605
2017-06-27;61.75308641975309
2017-06-28;70.03703703703704
2017-06-29;51.96296296296296
2017-06-30;47.44444444444444
2017-07-03;54.97530864197531
2017-07-04;39.160493827160494
2017-07-05;64.76543209876543
2017-07-06;43.67901234567901
2017-07-07;44.4320987654321
2017-07-10;67.0246913580247
2017-07-11;75.30864197530865
2017-07-12;53.46913580246914
2017-07-13;51.96296296296296
2017-07-14;46.69135802469136
2017-07-17;54.22222222222222
2017-07-18;58.74074074074074
2017-07-19;60.24691358024691
2017-07-20;52.71604938271605
2017-07-21;56.48148148148148
2017-07-24;45.93827160493827
2017-07-25;61.75308641975309
2017-07-26;57.23456790123457
2017-07-27;53.46913580246914
2017-07-28;49.7037037037037
2017-07-31;39.91358024691358
2017-08-01;52.71604938271605
2017-08-02;49.7037037037037
2017-08-03;48.95061728395062
2017-08-04;51.20987654320988
2017-08-07;48.19753086419753
2017-08-08;56.48148148148148
2017-08-09;43.67901234567901
2017-08-10;57.23456790123457
2017-08-11;53.46913580246914
2017-08-14;42.17283950617284
2017-08-15;36.14814814814815
2017-08-16;43.67901234567901
2017-08-17;39.91358024691358
2017-08-18;54.22222222222222
2017-08-21;57.23456790123457
2017-08-22;56.48148148148148
2017-08-23;45.93827160493827
2017-08-24;47.44444444444444
2017-08-25;61.75308641975309
2017-08-28;45.18518518518518
2017-08-29;64.83091787439614
2017-08-30;31.433172302737518
2017-08-31;98.22866344605474
2017-09-01;44.20289855072463
2017-09-04;32.41545893719807
2017-09-05;48.13204508856683
2017-09-06;33.39774557165861
2017-09-07;32.41545893719807
2017-09-08;37.326892109500804
2017-09-11;38.30917874396135
2017-09-12;49.11433172302737
2017-09-13;40.27375201288245
2017-09-14;57.9549114331723
2017-09-15;35.362318840579704
2017-09-18;36.344605475040254
2017-09-19;47.149758454106276
2017-09-20;33.39774557165861
2017-09-21;29.468599033816425
2017-09-22;40.27375201288245
2017-09-25;18.663446054750402
2017-09-26;66.79549114331722
2017-09-27;53.04347826086956
2017-09-28;53.04347826086956
2017-09-29;53.04347826086956
2017-10-02;56.97262479871175
2017-10-03;43.22061191626409
2017-10-04;52.06119162640901
2017-10-05;65.81320450885667
2017-10-06;34.38003220611916
2017-10-09;52.06119162640901
2017-10-10;35.362318840579704
