Date;CapGemini
2017-03-01;87.0
2017-03-02;86.0
2017-03-03;70.0
2017-03-06;74.0
2017-03-07;100.0
2017-03-08;86.0
2017-03-09;70.0
2017-03-10;89.0
2017-03-13;72.0
2017-03-14;96.0
2017-03-15;86.0
2017-03-16;76.0
2017-03-17;78.0
2017-03-20;83.0
2017-03-21;87.0
2017-03-22;76.0
2017-03-23;85.0
2017-03-24;66.0
2017-03-27;77.0
2017-03-28;77.0
2017-03-29;83.0
2017-03-30;76.0
2017-03-31;75.0
2017-04-03;71.0
2017-04-04;76.0
2017-04-05;90.0
2017-04-06;80.0
2017-04-07;64.0
2017-04-10;76.0
2017-04-11;89.0
2017-04-12;91.0
2017-04-13;96.0
2017-04-18;75.0
2017-04-19;77.0
2017-04-20;81.0
2017-04-21;83.0
2017-04-24;84.0
2017-04-25;85.0
2017-04-26;90.0
2017-04-27;82.0
2017-04-28;83.0
2017-05-02;69.0
2017-05-03;64.0
2017-05-04;88.0
2017-05-05;74.0
2017-05-08;74.0
2017-05-09;93.0
2017-05-10;91.0
2017-05-11;80.0
2017-05-12;90.0
2017-05-15;80.0
2017-05-16;79.0
2017-05-17;82.0
2017-05-18;83.0
2017-05-19;91.0
2017-05-22;71.0
2017-05-23;69.0
2017-05-24;77.0
2017-05-25;66.0
2017-05-26;67.0
2017-05-29;75.0
2017-05-30;71.0
2017-05-31;74.05376344086021
2017-06-01;59.54838709677419
2017-06-02;61.075268817204304
2017-06-05;64.89247311827957
2017-06-06;72.52688172043011
2017-06-07;61.83870967741935
2017-06-08;65.65591397849462
2017-06-09;62.60215053763441
2017-06-12;58.784946236559136
2017-06-13;74.81720430107526
2017-06-14;66.41935483870968
2017-06-15;64.12903225806451
2017-06-16;57.25806451612903
2017-06-19;65.65591397849462
2017-06-20;61.83870967741935
2017-06-21;67.94623655913978
2017-06-22;63.365591397849464
2017-06-23;54.204301075268816
2017-06-26;56.494623655913976
2017-06-27;64.12903225806451
2017-06-28;70.23655913978494
2017-06-29;68.70967741935483
2017-06-30;58.02150537634409
2017-07-03;68.70967741935483
2017-07-04;64.89247311827957
2017-07-05;74.05376344086021
2017-07-06;62.60215053763441
2017-07-07;71.0
2017-07-10;61.075268817204304
2017-07-11;72.52688172043011
2017-07-12;64.12903225806451
2017-07-13;59.54838709677419
2017-07-14;60.31182795698925
2017-07-17;62.60215053763441
2017-07-18;71.76344086021506
2017-07-19;63.365591397849464
2017-07-20;68.70967741935483
