Date;Lvmh
2017-03-01;31.0
2017-03-02;37.0
2017-03-03;33.0
2017-03-06;34.0
2017-03-07;35.0
2017-03-08;44.0
2017-03-09;42.0
2017-03-10;42.0
2017-03-13;42.0
2017-03-14;40.0
2017-03-15;36.0
2017-03-16;35.0
2017-03-17;38.0
2017-03-20;53.0
2017-03-21;54.0
2017-03-22;38.0
2017-03-23;39.0
2017-03-24;32.0
2017-03-27;44.0
2017-03-28;40.0
2017-03-29;39.0
2017-03-30;34.0
2017-03-31;34.0
2017-04-03;30.0
2017-04-04;31.0
2017-04-05;38.0
2017-04-06;47.0
2017-04-07;30.0
2017-04-10;44.0
2017-04-11;38.0
2017-04-12;35.0
2017-04-13;35.0
2017-04-18;30.0
2017-04-19;30.0
2017-04-20;36.0
2017-04-21;32.0
2017-04-24;35.0
2017-04-25;100.0
2017-04-26;86.0
2017-04-27;53.0
2017-04-28;31.0
2017-05-02;36.0
2017-05-03;42.0
2017-05-04;46.0
2017-05-05;45.0
2017-05-08;36.0
2017-05-09;39.0
2017-05-10;44.0
2017-05-11;42.0
2017-05-12;43.0
2017-05-15;34.0
2017-05-16;34.0
2017-05-17;30.0
2017-05-18;43.0
2017-05-19;29.0
2017-05-22;34.0
2017-05-23;34.0
2017-05-24;35.0
2017-05-25;25.0
2017-05-26;22.0
2017-05-29;24.0
2017-05-30;28.0
2017-05-31;28.405797101449277
2017-06-01;25.971014492753625
2017-06-02;24.753623188405797
2017-06-05;26.782608695652176
2017-06-06;25.971014492753625
2017-06-07;24.347826086956523
2017-06-08;28.405797101449277
2017-06-09;25.56521739130435
2017-06-12;28.811594202898554
2017-06-13;31.246376811594203
2017-06-14;26.782608695652176
2017-06-15;27.594202898550726
2017-06-16;40.173913043478265
2017-06-19;33.68115942028986
2017-06-20;29.217391304347828
2017-06-21;30.02898550724638
2017-06-22;34.08695652173913
2017-06-23;25.159420289855074
2017-06-26;26.3768115942029
2017-06-27;40.173913043478265
2017-06-28;38.95652173913044
2017-06-29;32.869565217391305
2017-06-30;32.05797101449276
2017-07-03;29.6231884057971
2017-07-04;26.3768115942029
2017-07-05;29.217391304347828
2017-07-06;31.246376811594203
2017-07-07;30.434782608695656
2017-07-10;35.710144927536234
2017-07-11;28.405797101449277
2017-07-12;29.217391304347828
2017-07-13;29.217391304347828
2017-07-14;21.507246376811594
2017-07-17;31.246376811594203
2017-07-18;28.0
2017-07-19;25.56521739130435
2017-07-20;28.0
2017-07-21;26.3768115942029
2017-07-24;24.753623188405797
2017-07-25;31.65217391304348
2017-07-26;30.84057971014493
2017-07-27;40.57971014492754
2017-07-28;29.217391304347828
2017-07-31;27.188405797101453
2017-08-01;28.811594202898554
2017-08-02;23.130434782608695
2017-08-03;23.130434782608695
2017-08-04;23.130434782608695
2017-08-07;18.666666666666668
2017-08-08;20.28985507246377
2017-08-09;21.10144927536232
2017-08-10;20.695652173913047
2017-08-11;25.159420289855074
2017-08-14;17.449275362318843
2017-08-15;22.72463768115942
2017-08-16;21.10144927536232
2017-08-17;19.47826086956522
2017-08-18;17.855072463768117
2017-08-21;23.536231884057973
2017-08-22;26.782608695652176
2017-08-23;22.72463768115942
2017-08-24;26.3768115942029
2017-08-25;26.782608695652176
2017-08-28;20.695652173913047
2017-08-29;20.31936758893281
2017-08-30;18.81422924901186
2017-08-31;19.190513833992096
2017-09-01;18.437944664031622
2017-09-04;18.81422924901186
2017-09-05;19.943083003952573
2017-09-06;29.72648221343874
2017-09-07;30.85533596837945
2017-09-08;21.44822134387352
2017-09-11;27.09249011857708
2017-09-12;29.350197628458503
2017-09-13;29.72648221343874
2017-09-14;26.716205533596842
2017-09-15;23.329644268774707
2017-09-18;23.705928853754944
2017-09-19;28.59762845849803
2017-09-20;22.200790513833994
2017-09-21;25.96363636363637
2017-09-22;27.468774703557315
2017-09-25;22.200790513833994
2017-09-26;27.468774703557315
2017-09-27;28.22134387351779
2017-09-28;25.96363636363637
2017-09-29;18.81422924901186
2017-10-02;25.21106719367589
2017-10-03;29.350197628458503
2017-10-04;22.200790513833994
2017-10-05;24.458498023715418
2017-10-06;21.824505928853757
2017-10-09;27.845059288537552
2017-10-10;33.11304347826088
2017-10-11;32.3604743083004
2017-10-12;32.3604743083004
2017-10-13;25.96363636363637
2017-10-16;28.22134387351779
2017-10-17;27.845059288537552
2017-10-18;27.845059288537552
2017-10-19;26.339920948616605
2017-10-20;26.339920948616605
2017-10-23;26.716205533596842
2017-10-24;25.587351778656128
2017-10-25;31.607905138339923
2017-10-26;29.72648221343874
2017-10-27;28.22134387351779
2017-10-30;22.577075098814234
2017-10-31;27.09249011857708
2017-11-01;22.577075098814234
2017-11-02;24.08221343873518
2017-11-03;22.95335968379447
2017-11-06;26.716205533596842
2017-11-07;33.11304347826088
2017-11-08;37.62845849802372
2017-11-09;28.59762845849803
2017-11-10;25.96363636363637
2017-11-13;26.716205533596842
2017-11-14;23.705928853754944
2017-11-15;28.973913043478266
2017-11-16;29.350197628458503
2017-11-17;23.329644268774707
2017-11-20;25.587351778656128
2017-11-21;24.08221343873518
2017-11-22;25.96363636363637
2017-11-23;26.339920948616605
2017-11-24;24.834782608695654
2017-11-27;18.874434782608702
2017-11-28;19.53669565217392
2017-11-29;21.192347826086962
2017-11-30;19.53669565217392
2017-12-01;17.549913043478266
2017-12-04;21.85460869565218
2017-12-05;16.55652173913044
2017-12-06;17.21878260869566
2017-12-07;14.238608695652177
2017-12-08;16.887652173913047
2017-12-11;17.21878260869566
2017-12-12;17.881043478260874
2017-12-13;17.21878260869566
2017-12-14;19.867826086956526
2017-12-15;16.22539130434783
2017-12-18;18.54330434782609
2017-12-19;17.549913043478266
2017-12-20;16.887652173913047
2017-12-21;16.22539130434783
2017-12-22;12.582956521739133
2017-12-27;11.920695652173917
2017-12-28;15.563130434782613
2017-12-29;12.251826086956525
2018-01-02;18.212173913043483
2018-01-03;15.232000000000005
2018-01-04;13.57634782608696
2018-01-05;15.563130434782613
2018-01-08;17.549913043478266
2018-01-09;21.52347826086957
2018-01-10;21.85460869565218
2018-01-11;25.165913043478266
