Date;Vivendi
2017-03-01;45.0
2017-03-02;33.0
2017-03-03;37.0
2017-03-06;36.0
2017-03-07;40.0
2017-03-08;46.0
2017-03-09;38.0
2017-03-10;34.0
2017-03-13;34.0
2017-03-14;42.0
2017-03-15;29.0
2017-03-16;35.0
2017-03-17;39.0
2017-03-20;27.0
2017-03-21;41.0
2017-03-22;42.0
2017-03-23;46.0
2017-03-24;34.0
2017-03-27;31.0
2017-03-28;34.0
2017-03-29;30.0
2017-03-30;34.0
2017-03-31;35.0
2017-04-03;34.0
2017-04-04;32.0
2017-04-05;35.0
2017-04-06;51.0
2017-04-07;30.0
2017-04-10;30.0
2017-04-11;38.0
2017-04-12;35.0
2017-04-13;40.0
2017-04-18;46.0
2017-04-19;40.0
2017-04-20;40.0
2017-04-21;44.0
2017-04-24;49.0
2017-04-25;66.0
2017-04-26;100.0
2017-04-27;67.0
2017-04-28;45.0
2017-05-02;37.0
2017-05-03;82.0
2017-05-04;45.0
2017-05-05;51.0
2017-05-08;44.0
2017-05-09;42.0
2017-05-10;46.0
2017-05-11;77.0
2017-05-12;69.0
2017-05-15;36.0
2017-05-16;37.0
2017-05-17;47.0
2017-05-18;39.0
2017-05-19;39.0
2017-05-22;33.0
2017-05-23;44.0
2017-05-24;41.0
2017-05-25;31.0
2017-05-26;32.0
2017-05-29;30.0
2017-05-30;48.0
2017-05-31;52.114285714285714
2017-06-01;58.971428571428575
2017-06-02;48.68571428571428
2017-06-05;28.8
2017-06-06;35.65714285714286
2017-06-07;61.02857142857143
2017-06-08;42.51428571428571
2017-06-09;43.885714285714286
2017-06-12;49.371428571428574
2017-06-13;46.628571428571426
2017-06-14;38.4
2017-06-15;41.82857142857143
2017-06-16;43.2
2017-06-19;41.82857142857143
2017-06-20;37.714285714285715
2017-06-21;37.02857142857143
2017-06-22;39.08571428571429
2017-06-23;32.91428571428571
2017-06-26;43.2
2017-06-27;38.4
2017-06-28;57.6
2017-06-29;32.91428571428571
2017-06-30;39.08571428571429
2017-07-03;34.285714285714285
2017-07-04;34.971428571428575
2017-07-05;39.08571428571429
2017-07-06;48.68571428571428
2017-07-07;41.82857142857143
2017-07-10;36.34285714285714
2017-07-11;26.057142857142857
2017-07-12;68.57142857142857
2017-07-13;41.142857142857146
2017-07-14;41.142857142857146
2017-07-17;36.34285714285714
2017-07-18;34.285714285714285
2017-07-19;42.51428571428571
2017-07-20;39.08571428571429
2017-07-21;29.485714285714288
2017-07-24;34.285714285714285
2017-07-25;41.142857142857146
2017-07-26;35.65714285714286
2017-07-27;32.22857142857143
2017-07-28;50.05714285714286
2017-07-31;48.0
2017-08-01;50.05714285714286
2017-08-02;50.05714285714286
2017-08-03;35.65714285714286
2017-08-04;34.285714285714285
2017-08-07;32.91428571428571
2017-08-08;37.714285714285715
2017-08-09;37.714285714285715
2017-08-10;43.885714285714286
2017-08-11;34.971428571428575
2017-08-14;39.08571428571429
2017-08-15;33.6
2017-08-16;35.65714285714286
2017-08-17;28.114285714285714
2017-08-18;31.542857142857144
2017-08-21;35.65714285714286
2017-08-22;32.91428571428571
2017-08-23;30.17142857142857
2017-08-24;34.971428571428575
2017-08-25;39.77142857142857
2017-08-28;37.714285714285715
2017-08-29;41.272237196765495
2017-08-30;43.40700808625337
2017-08-31;46.96495956873315
2017-09-01;56.92722371967655
2017-09-04;52.657681940700805
2017-09-05;36.291105121293796
2017-09-06;39.13746630727763
2017-09-07;60.485175202156334
2017-09-08;51.94609164420485
2017-09-11;25.617250673854446
2017-09-12;37.714285714285715
2017-09-13;52.657681940700805
2017-09-14;50.52291105121294
2017-09-15;48.38814016172506
2017-09-18;32.73315363881402
2017-09-19;43.40700808625337
2017-09-20;37.714285714285715
2017-09-21;41.272237196765495
2017-09-22;29.886792452830186
2017-09-25;49.81132075471698
2017-09-26;39.13746630727763
2017-09-27;32.02156334231806
2017-09-28;48.38814016172506
2017-09-29;51.23450134770889
2017-10-02;46.96495956873315
2017-10-03;28.463611859838274
2017-10-04;30.598382749326145
2017-10-05;61.908355795148246
2017-10-06;59.061994609164415
2017-10-09;31.3099730458221
2017-10-10;54.79245283018868
2017-10-11;31.3099730458221
2017-10-12;39.13746630727763
2017-10-13;36.291105121293796
2017-10-16;51.94609164420485
2017-10-17;34.15633423180593
2017-10-18;35.57951482479784
2017-10-19;28.463611859838274
2017-10-20;38.42587601078167
2017-10-23;35.57951482479784
2017-10-24;41.272237196765495
2017-10-25;32.73315363881402
2017-10-26;31.3099730458221
2017-10-27;34.867924528301884
2017-10-30;53.36927223719676
2017-10-31;44.118598382749326
2017-11-01;35.57951482479784
2017-11-02;34.867924528301884
2017-11-03;41.98382749326145
2017-11-06;65.46630727762803
2017-11-07;51.23450134770889
2017-11-08;48.38814016172506
2017-11-09;42.695417789757414
2017-11-10;54.79245283018868
2017-11-13;32.02156334231806
2017-11-14;47.676549865229106
2017-11-15;56.92722371967655
2017-11-16;53.36927223719676
2017-11-17;66.88948787061994
2017-11-20;51.94609164420485
2017-11-21;47.676549865229106
2017-11-22;44.83018867924528
2017-11-23;71.15902964959568
2017-11-24;54.79245283018868
2017-11-27;40.02695417789757
2017-11-28;46.43126684636118
2017-11-29;30.420485175202156
2017-11-30;38.42587601078167
2017-12-01;28.81940700808625
2017-12-04;33.088948787061994
2017-12-05;32.55525606469003
2017-12-06;29.35309973045822
2017-12-07;37.892183288409704
2017-12-08;36.291105121293796
2017-12-11;31.48787061994609
2017-12-12;26.150943396226413
2017-12-13;35.22371967654986
2017-12-14;27.752021563342318
2017-12-15;33.62264150943396
2017-12-18;32.02156334231806
2017-12-19;35.22371967654986
2017-12-20;33.088948787061994
2017-12-21;26.68463611859838
2017-12-22;29.886792452830186
2017-12-27;24.016172506738542
2017-12-28;29.886792452830186
2017-12-29;26.150943396226413
2018-01-02;28.81940700808625
2018-01-03;30.954177897574123
2018-01-04;40.02695417789757
2018-01-05;32.55525606469003
2018-01-08;32.55525606469003
2018-01-09;33.088948787061994
2018-01-10;44.296495956873315
2018-01-11;34.15633423180593
2018-01-12;37.35849056603774
2018-01-15;35.75741239892183
2018-01-16;47.49865229110512
2018-01-17;32.55525606469003
2018-01-18;32.55525606469003
2018-01-19;28.81940700808625
2018-01-22;41.094339622641506
2018-01-23;33.62264150943396
2018-01-24;22.948787061994608
2018-01-25;34.690026954177895
2018-01-26;31.48787061994609
2018-01-29;32.02156334231806
2018-01-30;36.82479784366576
2018-01-31;29.35309973045822
2018-02-01;40.02695417789757
2018-02-02;35.22371967654986
2018-02-05;28.81940700808625
2018-02-06;32.02156334231806
2018-02-07;38.42587601078167
2018-02-08;28.81940700808625
2018-02-09;33.088948787061994
2018-02-12;30.420485175202156
2018-02-13;26.68463611859838
2018-02-14;32.02156334231806
2018-02-15;32.55525606469003
2018-02-16;53.36927223719676
2018-02-19;36.291105121293796
2018-02-20;37.892183288409704
2018-02-21;41.094339622641506
2018-02-22;31.48787061994609
2018-02-23;33.088948787061994
2018-02-26;23.41576819407008
2018-02-27;22.375067385444744
2018-02-28;24.976819407008087
2018-03-01;19.7733153638814
2018-03-02;20.814016172506737
2018-03-05;22.89541778975741
2018-03-06;27.578571428571426
2018-03-07;24.976819407008087
2018-03-08;28.098921832884095
2018-03-09;21.334366576819406
2018-03-12;21.334366576819406
2018-03-13;19.252964959568732
2018-03-14;17.17156334231806
2018-03-15;26.01752021563342
