Date;EssilorLuxottica
2017-03-01;80.0
2017-03-02;85.0
2017-03-03;84.0
2017-03-06;70.0
2017-03-07;77.0
2017-03-08;73.0
2017-03-09;72.0
2017-03-10;69.0
2017-03-13;69.0
2017-03-14;88.0
2017-03-15;92.0
2017-03-16;80.0
2017-03-17;86.0
2017-03-20;81.0
2017-03-21;85.0
2017-03-22;89.0
2017-03-23;79.0
2017-03-24;71.0
2017-03-27;79.0
2017-03-28;92.0
2017-03-29;80.0
2017-03-30;78.0
2017-03-31;60.0
2017-04-03;80.0
2017-04-04;78.0
2017-04-05;73.0
2017-04-06;72.0
2017-04-07;66.0
2017-04-10;64.0
2017-04-11;84.0
2017-04-12;65.0
2017-04-13;79.0
2017-04-18;74.0
2017-04-19;79.0
2017-04-20;96.0
2017-04-21;70.0
2017-04-24;64.0
2017-04-25;75.0
2017-04-26;86.0
2017-04-27;68.0
2017-04-28;76.0
2017-05-02;80.0
2017-05-03;67.0
2017-05-04;100.0
2017-05-05;68.0
2017-05-08;71.0
2017-05-09;62.0
2017-05-10;80.0
2017-05-11;81.0
2017-05-12;76.0
2017-05-15;60.0
2017-05-16;76.0
2017-05-17;84.0
2017-05-18;72.0
2017-05-19;55.0
2017-05-22;78.0
2017-05-23;65.0
2017-05-24;73.0
2017-05-25;51.0
2017-05-26;54.0
2017-05-29;62.0
2017-05-30;76.0
2017-05-31;72.4235294117647
2017-06-01;74.21176470588236
2017-06-02;55.43529411764706
2017-06-05;51.858823529411765
2017-06-06;65.27058823529413
2017-06-07;79.5764705882353
2017-06-08;65.27058823529413
2017-06-09;68.84705882352941
2017-06-12;54.54117647058824
2017-06-13;71.52941176470588
2017-06-14;69.74117647058824
2017-06-15;71.52941176470588
2017-06-16;73.31764705882354
2017-06-19;79.5764705882353
2017-06-20;64.37647058823529
2017-06-21;75.10588235294118
2017-06-22;72.4235294117647
2017-06-23;71.52941176470588
2017-06-26;56.32941176470589
2017-06-27;62.58823529411765
2017-06-28;80.47058823529412
2017-06-29;72.4235294117647
2017-06-30;76.89411764705882
2017-07-03;64.37647058823529
2017-07-04;76.0
2017-07-05;61.694117647058825
2017-07-06;67.05882352941177
2017-07-07;64.37647058823529
2017-07-10;79.5764705882353
2017-07-11;56.32941176470589
2017-07-12;76.0
2017-07-13;63.48235294117647
2017-07-14;57.22352941176471
2017-07-17;75.10588235294118
2017-07-18;68.84705882352941
2017-07-19;81.36470588235295
2017-07-20;55.43529411764706
2017-07-21;69.74117647058824
2017-07-24;50.964705882352945
2017-07-25;76.89411764705882
2017-07-26;87.62352941176471
2017-07-27;78.68235294117648
2017-07-28;87.62352941176471
2017-07-31;72.4235294117647
2017-08-01;84.94117647058825
2017-08-02;65.27058823529413
2017-08-03;62.58823529411765
2017-08-04;62.58823529411765
2017-08-07;54.54117647058824
2017-08-08;89.41176470588236
2017-08-09;51.858823529411765
2017-08-10;59.01176470588236
2017-08-11;74.21176470588236
2017-08-14;62.58823529411765
2017-08-15;53.64705882352941
2017-08-16;74.21176470588236
2017-08-17;59.90588235294118
2017-08-18;46.49411764705883
2017-08-21;52.75294117647059
2017-08-22;62.58823529411765
2017-08-23;75.10588235294118
2017-08-24;67.95294117647059
2017-08-25;77.78823529411765
2017-08-28;51.858823529411765
2017-08-29;62.42265795206971
2017-08-30;71.06579520697167
2017-08-31;68.18474945533768
2017-09-01;52.81917211328976
2017-09-04;56.66056644880174
2017-09-05;58.581263616557735
2017-09-06;56.66056644880174
2017-09-07;72.02614379084967
2017-09-08;78.74858387799564
2017-09-11;67.2244008714597
2017-09-12;69.14509803921568
2017-09-13;85.47102396514161
2017-09-14;69.14509803921568
2017-09-15;60.501960784313724
2017-09-18;58.581263616557735
2017-09-19;63.38300653594771
2017-09-20;63.38300653594771
2017-09-21;75.86753812636165
2017-09-22;55.700217864923744
2017-09-25;73.94684095860566
2017-09-26;78.74858387799564
2017-09-27;66.26405228758169
2017-09-28;76.82788671023965
2017-09-29;68.18474945533768
2017-10-02;58.581263616557735
2017-10-03;74.90718954248365
2017-10-04;74.90718954248365
2017-10-05;70.10544662309368
2017-10-06;51.858823529411765
2017-10-09;68.18474945533768
2017-10-10;57.62091503267973
2017-10-11;64.3433551198257
2017-10-12;67.2244008714597
2017-10-13;81.62962962962962
2017-10-16;63.38300653594771
2017-10-17;62.42265795206971
2017-10-18;58.581263616557735
2017-10-19;71.06579520697167
2017-10-20;46.09673202614379
2017-10-23;56.66056644880174
2017-10-24;96.03485838779956
2017-10-25;74.90718954248365
2017-10-26;65.3037037037037
2017-10-27;56.66056644880174
2017-10-30;68.18474945533768
2017-10-31;71.06579520697167
2017-11-01;45.136383442265796
2017-11-02;66.26405228758169
2017-11-03;61.46230936819172
2017-11-06;58.581263616557735
2017-11-07;60.501960784313724
2017-11-08;70.10544662309368
2017-11-09;77.78823529411764
2017-11-10;69.14509803921568
2017-11-13;48.977777777777774
2017-11-14;59.54161220043573
2017-11-15;54.73986928104575
2017-11-16;61.46230936819172
2017-11-17;61.46230936819172
2017-11-20;68.18474945533768
2017-11-21;69.14509803921568
2017-11-22;64.3433551198257
2017-11-23;55.700217864923744
2017-11-24;52.81917211328976
2017-11-27;54.9045004668534
2017-11-28;70.02313103018984
2017-11-29;57.29165266106442
2017-11-30;55.700217864923744
2017-12-01;55.700217864923744
2017-12-04;71.61456582633052
2017-12-05;75.59315281668222
2017-12-06;64.45310924369747
2017-12-07;58.88308745720509
2017-12-08;54.9045004668534
2017-12-11;46.15160908807967
2017-12-12;59.67880485527544
