Date;Peugeot
2017-12-18;70.51560990338164
2017-12-19;68.60978260869565
2017-12-20;66.70395531400966
2017-12-21;67.65686896135266
2017-12-22;67.65686896135266
2017-12-27;76.23309178743962
2017-12-28;77.18600543478261
2017-12-29;72.42143719806764
2018-01-02;77.18600543478261
2018-01-03;77.18600543478261
2018-01-04;75.28017814009662
2018-01-05;76.23309178743962
2018-01-08;79.0918327294686
2018-01-09;76.23309178743962
2018-01-10;77.18600543478261
2018-01-11;78.13891908212561
2018-01-12;80.0447463768116
2018-01-15;80.9976600241546
2018-01-16;80.9976600241546
2018-01-17;80.0447463768116
2018-01-18;80.0447463768116
2018-01-19;80.9976600241546
2018-01-22;83.85640096618359
2018-01-23;79.0918327294686
2018-01-24;76.23309178743962
2018-01-25;77.18600543478261
2018-01-26;80.0447463768116
2018-01-29;80.9976600241546
2018-01-30;78.13891908212561
2018-01-31;75.28017814009662
2018-02-01;76.23309178743962
2018-02-02;79.0918327294686
2018-02-05;76.23309178743962
2018-02-06;75.28017814009662
2018-02-07;75.28017814009662
2018-02-08;73.37435084541063
2018-02-09;77.18600543478261
2018-02-12;75.28017814009662
2018-02-13;73.37435084541063
2018-02-14;71.46852355072464
2018-02-15;75.28017814009662
2018-02-16;78.13891908212561
2018-02-19;82.90348731884059
2018-02-20;79.0918327294686
2018-02-21;81.9505736714976
2018-02-22;86.71514190821256
2018-02-23;90.52679649758454
2018-02-26;88.62096920289855
2018-02-27;86.71514190821256
2018-02-28;83.85640096618359
2018-03-01;80.9976600241546
2018-03-02;81.9505736714976
2018-03-05;82.90348731884059
2018-03-06;81.9505736714976
2018-03-07;84.80931461352658
2018-03-08;80.9976600241546
2018-03-09;87.66805555555555
2018-03-12;84.80931461352658
2018-03-13;82.90348731884059
2018-03-14;79.0918327294686
2018-03-15;83.85640096618359
2018-03-16;81.9505736714976
2018-03-19;84.80931461352658
2018-03-20;82.90348731884059
2018-03-21;80.9976600241546
2018-03-22;80.0447463768116
2018-03-23;80.0447463768116
2018-03-26;83.85640096618359
2018-03-27;80.0447463768116
2018-03-28;79.0918327294686
2018-03-29;80.9976600241546
2018-04-03;78.13891908212561
2018-04-04;79.0918327294686
2018-04-05;76.23309178743962
2018-04-06;78.13891908212561
2018-04-09;82.90348731884059
2018-04-10;80.0447463768116
2018-04-11;78.13891908212561
2018-04-12;77.18600543478261
2018-04-13;81.9505736714976
2018-04-16;80.9976600241546
2018-04-17;76.23309178743962
2018-04-18;79.0918327294686
2018-04-19;79.0918327294686
2018-04-20;77.18600543478261
2018-04-23;80.9976600241546
2018-04-24;78.13891908212561
2018-04-25;76.23309178743962
2018-04-26;76.23309178743962
2018-04-27;76.23309178743962
2018-04-30;79.0918327294686
2018-05-02;76.23309178743962
2018-05-03;76.23309178743962
2018-05-04;78.13891908212561
2018-05-07;78.13891908212561
2018-05-08;72.42143719806764
2018-05-09;75.28017814009662
2018-05-10;74.32726449275363
2018-05-11;76.23309178743962
2018-05-14;81.9505736714976
2018-05-15;76.23309178743962
2018-05-16;76.23309178743962
2018-05-17;78.13891908212561
2018-05-18;76.23309178743962
2018-05-21;77.18600543478261
2018-05-22;79.0918327294686
2018-05-23;75.28017814009662
2018-05-24;75.28017814009662
2018-05-25;77.18600543478261
2018-05-28;81.4741168478261
2018-05-29;82.3317391304348
2018-05-30;78.04362771739132
2018-05-31;76.32838315217393
2018-06-01;78.90125
2018-06-04;79.7588722826087
2018-06-05;82.3317391304348
2018-06-06;81.4741168478261
2018-06-07;81.4741168478261
2018-06-08;80.61649456521741
2018-06-11;85.76222826086958
2018-06-12;82.3317391304348
2018-06-13;83.18936141304349
2018-06-14;77.18600543478261
2018-06-15;75.47076086956523
2018-06-18;79.7588722826087
2018-06-19;77.18600543478261
2018-06-20;74.61313858695654
2018-06-21;71.18264945652174
2018-06-22;73.75551630434784
2018-06-25;78.04362771739132
2018-06-26;73.75551630434784
2018-06-27;72.04027173913045
2018-06-28;72.89789402173913
2018-06-29;77.18600543478261
2018-07-02;74.61313858695654
2018-07-03;75.47076086956523
2018-07-04;78.04362771739132
2018-07-05;81.4741168478261
2018-07-06;72.04027173913045
2018-07-09;84.90460597826088
2018-07-10;78.04362771739132
2018-07-11;80.61649456521741
2018-07-12;78.04362771739132
2018-07-13;81.4741168478261
2018-07-16;78.90125
2018-07-17;82.3317391304348
2018-07-18;81.4741168478261
2018-07-19;80.61649456521741
2018-07-20;79.7588722826087
2018-07-23;84.04698369565219
2018-07-24;83.18936141304349
2018-07-25;82.3317391304348
2018-07-26;78.90125
2018-07-27;77.18600543478261
2018-07-30;84.90460597826088
2018-07-31;82.3317391304348
2018-08-01;79.7588722826087
2018-08-02;77.18600543478261
2018-08-03;78.04362771739132
2018-08-06;84.04698369565219
2018-08-07;79.7588722826087
2018-08-08;79.7588722826087
2018-08-09;78.90125
2018-08-10;78.04362771739132
2018-08-13;82.3317391304348
2018-08-14;78.90125
2018-08-15;70.32502717391306
2018-08-16;78.04362771739132
2018-08-17;80.61649456521741
2018-08-20;85.76222826086958
2018-08-21;79.7588722826087
2018-08-22;83.18936141304349
2018-08-23;82.3317391304348
2018-08-24;85.23756521739132
2018-08-27;87.17478260869566
2018-08-28;84.26895652173914
2018-08-29;84.26895652173914
2018-08-30;81.36313043478262
2018-08-31;80.39452173913045
2018-09-03;87.17478260869566
2018-09-04;86.2061739130435
2018-09-05;84.26895652173914
2018-09-06;82.3317391304348
2018-09-07;83.30034782608698
2018-09-10;84.26895652173914
2018-09-11;82.3317391304348
2018-09-12;84.26895652173914
2018-09-13;83.30034782608698
2018-09-14;85.23756521739132
2018-09-17;81.36313043478262
2018-09-18;81.36313043478262
2018-09-19;79.42591304347827
2018-09-20;83.30034782608698
2018-09-21;87.17478260869566
2018-09-24;86.2061739130435
2018-09-25;82.3317391304348
2018-09-26;78.45730434782611
2018-09-27;86.2061739130435
2018-09-28;87.17478260869566
2018-10-01;92.01782608695655
2018-10-02;94.92365217391307
2018-10-03;88.14339130434784
2018-10-04;85.23756521739132
2018-10-05;86.2061739130435
2018-10-08;87.17478260869566
2018-10-09;83.30034782608698
2018-10-10;83.30034782608698
2018-10-11;83.30034782608698
2018-10-12;84.26895652173914
2018-10-15;86.2061739130435
2018-10-16;83.30034782608698
2018-10-17;84.26895652173914
