Date,^FCHI
2017-03-01,4897.47998046875
2017-03-02,4965.27001953125
2017-03-03,4953.2998046875
2017-03-06,4983.9599609375
2017-03-07,4974.7900390625
2017-03-08,4941.18017578125
2017-03-09,4950.52978515625
2017-03-10,4994.0
2017-03-13,4997.8798828125
2017-03-14,5006.0498046875
2017-03-15,4980.0498046875
2017-03-16,5027.10009765625
2017-03-17,5006.7099609375
2017-03-20,5008.080078125
2017-03-21,5030.2001953125
2017-03-22,4969.10986328125
2017-03-23,4996.6201171875
2017-03-24,5027.18994140625
2017-03-27,4975.08984375
2017-03-28,5027.1298828125
2017-03-29,5063.7001953125
2017-03-30,5075.60986328125
2017-03-31,5077.2998046875
2017-04-03,5130.18017578125
2017-04-04,5087.60009765625
2017-04-05,5104.7099609375
2017-04-06,5063.6201171875
2017-04-07,5104.72998046875
2017-04-10,5127.35986328125
2017-04-11,5086.60986328125
2017-04-12,5114.5
2017-04-13,5090.47998046875
2017-04-18,5078.25
2017-04-19,4987.2900390625
2017-04-20,4992.47021484375
2017-04-21,5063.35986328125
2017-04-24,5267.8798828125
2017-04-25,5274.35986328125
2017-04-26,5272.85986328125
2017-04-27,5276.97021484375
2017-04-28,5267.66015625
2017-05-02,5284.8798828125
2017-05-03,5299.740234375
2017-05-04,5309.39013671875
2017-05-05,5344.919921875
2017-05-08,5442.10009765625
2017-05-09,5404.14013671875
2017-05-10,5398.81005859375
2017-05-11,5409.89990234375
2017-05-12,5386.7900390625
2017-05-15,5411.27001953125
2017-05-16,5398.14990234375
2017-05-17,5375.83984375
2017-05-18,5309.91015625
2017-05-19,5299.39990234375
2017-05-22,5335.1201171875
2017-05-23,5317.1201171875
2017-05-24,5336.97998046875
2017-05-25,5360.97021484375
2017-05-26,5328.85986328125
2017-05-29,5327.72998046875
2017-05-30,5291.080078125
2017-05-31,5306.2099609375
2017-06-01,5290.83984375
2017-06-02,5347.85986328125
2017-06-05,5337.10986328125
2017-06-06,5280.2001953125
2017-06-07,5261.419921875
2017-06-08,5264.68994140625
2017-06-09,5275.990234375
2017-06-12,5282.580078125
2017-06-13,5254.14013671875
2017-06-14,5283.60009765625
2017-06-15,5235.35986328125
2017-06-16,5243.52978515625
2017-06-19,5305.22021484375
2017-06-20,5330.580078125
2017-06-21,5273.0
2017-06-22,5258.68017578125
2017-06-23,5273.240234375
2017-06-26,5295.0400390625
2017-06-27,5282.8701171875
2017-06-28,5235.830078125
2017-06-29,5268.22998046875
2017-06-30,5157.58984375
2017-07-03,5151.18994140625
2017-07-04,5170.5400390625
2017-07-05,5174.7900390625
2017-07-06,5177.2099609375
2017-07-07,5149.7900390625
2017-07-10,5160.7001953125
2017-07-11,5172.02978515625
2017-07-12,5158.22998046875
2017-07-13,5228.93017578125
2017-07-14,5246.2001953125
2017-07-17,5238.41015625
2017-07-18,5219.669921875
2017-07-19,5196.1298828125
2017-07-20,5239.4599609375
2017-07-21,5188.919921875
2017-07-24,5133.68017578125
2017-07-25,5130.52978515625
2017-07-26,5162.240234375
2017-07-27,5181.14990234375
2017-07-28,5144.02978515625
2017-07-31,5127.6298828125
2017-08-01,5116.89990234375
2017-08-02,5122.3798828125
2017-08-03,5097.14013671875
2017-08-04,5122.39990234375
2017-08-07,5210.72998046875
2017-08-08,5200.2001953125
2017-08-09,5182.0498046875
2017-08-10,5140.990234375
2017-08-11,5081.919921875
2017-08-14,5082.8701171875
2017-08-15,5141.02001953125
2017-08-16,5159.10009765625
2017-08-17,5164.5400390625
2017-08-18,5103.47021484375
2017-08-21,5091.31005859375
2017-08-22,5112.1298828125
2017-08-23,5125.02978515625
2017-08-24,5127.7099609375
2017-08-25,5121.47998046875
2017-08-28,5076.47021484375
2017-08-29,5035.3798828125
2017-08-30,5063.240234375
2017-08-31,5083.1201171875
2017-09-01,5117.18994140625
2017-09-04,5088.27978515625
2017-09-05,5107.18994140625
2017-09-06,5054.31982421875
2017-09-07,5118.83984375
2017-09-08,5099.31005859375
2017-09-11,5145.77978515625
2017-09-12,5192.75
2017-09-13,5205.2099609375
2017-09-14,5205.18017578125
2017-09-15,5220.89013671875
2017-09-18,5231.990234375
2017-09-19,5223.2900390625
2017-09-20,5230.509765625
2017-09-21,5259.02001953125
2017-09-22,5277.39013671875
2017-09-25,5267.990234375
2017-09-26,5263.9501953125
2017-09-27,5281.2998046875
2017-09-28,5286.0498046875
2017-09-29,5297.419921875
2017-10-02,5332.919921875
2017-10-03,5362.75
2017-10-04,5369.240234375
2017-10-05,5355.91015625
2017-10-06,5378.06982421875
2017-10-09,5364.81005859375
2017-10-10,5364.16015625
2017-10-11,5367.3798828125
2017-10-12,5358.419921875
2017-10-13,5362.72998046875
2017-10-16,5362.52978515625
2017-10-17,5372.64990234375
2017-10-18,5368.08984375
2017-10-19,5371.0
2017-10-20,5389.47998046875
2017-10-23,5377.4501953125
2017-10-24,5377.85986328125
2017-10-25,5399.60986328125
2017-10-26,5383.43994140625
2017-10-27,5470.33984375
2017-10-30,5488.330078125
2017-10-31,5492.6298828125
2017-11-01,5524.3798828125
2017-11-02,5510.9599609375
2017-11-03,5513.47021484375
2017-11-06,5507.06982421875
2017-11-07,5521.75
2017-11-08,5487.52978515625
2017-11-09,5470.18017578125
2017-11-10,5405.5498046875
2017-11-13,5382.64990234375
2017-11-14,5345.2998046875
2017-11-15,5301.14013671875
2017-11-16,5325.41015625
2017-11-17,5335.85009765625
2017-11-20,5311.27978515625
2017-11-21,5335.83984375
2017-11-22,5364.60986328125
2017-11-23,5339.759765625
2017-11-24,5374.39990234375
