Date,^FCHI
2017-03-01,4897.47998046875
2017-03-02,4955.41015625
2017-03-03,4948.72021484375
2017-03-06,4960.259765625
2017-03-07,4941.259765625
2017-03-08,4933.77001953125
2017-03-09,4939.8701171875
2017-03-10,4990.14990234375
2017-03-13,4986.06005859375
2017-03-14,4958.8798828125
2017-03-15,4966.0498046875
2017-03-16,5004.6201171875
2017-03-17,5001.39013671875
2017-03-20,5004.080078125
2017-03-21,4990.64013671875
2017-03-22,4953.56982421875
2017-03-23,4980.56005859375
2017-03-24,5003.580078125
2017-03-27,4971.06982421875
2017-03-28,5008.669921875
2017-03-29,5044.419921875
2017-03-30,5063.06982421875
2017-03-31,5067.740234375
2017-04-03,5083.14013671875
2017-04-04,5076.35009765625
2017-04-05,5087.68017578125
2017-04-06,5051.60986328125
2017-04-07,5098.0498046875
2017-04-10,5097.56005859375
2017-04-11,5068.25
2017-04-12,5093.97998046875
2017-04-13,5062.31982421875
2017-04-18,4990.25
2017-04-19,4980.41015625
2017-04-20,4989.259765625
2017-04-21,5029.06005859375
2017-04-24,5228.5400390625
2017-04-25,5259.6298828125
2017-04-26,5270.31982421875
2017-04-27,5261.72998046875
2017-04-28,5265.35986328125
2017-05-02,5274.2900390625
2017-05-03,5282.4501953125
2017-05-04,5304.4599609375
2017-05-05,5343.02001953125
2017-05-08,5374.2001953125
2017-05-09,5394.1298828125
2017-05-10,5377.75
2017-05-11,5356.41015625
2017-05-12,5375.47998046875
2017-05-15,5384.5400390625
2017-05-16,5389.8701171875
2017-05-17,5297.43017578125
2017-05-18,5238.509765625
2017-05-19,5292.1201171875
2017-05-22,5315.22998046875
2017-05-23,5314.47998046875
2017-05-24,5326.58984375
2017-05-25,5323.10986328125
2017-05-26,5282.419921875
2017-05-29,5316.68994140625
2017-05-30,5273.56005859375
2017-05-31,5283.6298828125
2017-06-01,5287.990234375
2017-06-02,5328.18994140625
2017-06-05,5299.759765625
2017-06-06,5260.9501953125
2017-06-07,5254.02978515625
2017-06-08,5250.68017578125
2017-06-09,5266.830078125
2017-06-12,5233.68994140625
2017-06-13,5248.2900390625
2017-06-14,5243.2900390625
2017-06-15,5176.669921875
2017-06-16,5236.0
2017-06-19,5302.0498046875
2017-06-20,5293.64990234375
2017-06-21,5224.0498046875
2017-06-22,5237.330078125
2017-06-23,5247.52001953125
2017-06-26,5289.56005859375
2017-06-27,5237.669921875
2017-06-28,5203.89990234375
2017-06-29,5143.81982421875
2017-06-30,5117.22998046875
2017-07-03,5151.18994140625
2017-07-04,5165.85986328125
2017-07-05,5160.85986328125
2017-07-06,5111.16015625
2017-07-07,5125.990234375
2017-07-10,5147.669921875
2017-07-11,5135.9501953125
2017-07-12,5157.83984375
2017-07-13,5221.580078125
2017-07-14,5215.97998046875
2017-07-17,5214.31005859375
2017-07-18,5164.6298828125
2017-07-19,5174.2900390625
2017-07-20,5177.72998046875
2017-07-21,5095.1201171875
2017-07-24,5094.35986328125
2017-07-25,5130.52978515625
2017-07-26,5158.7900390625
2017-07-27,5172.77978515625
2017-07-28,5105.72021484375
2017-07-31,5092.14013671875
2017-08-01,5087.3798828125
2017-08-02,5094.64013671875
2017-08-03,5084.2001953125
2017-08-04,5118.60986328125
2017-08-07,5195.259765625
2017-08-08,5191.3798828125
2017-08-09,5122.5
2017-08-10,5096.18994140625
2017-08-11,5046.75
2017-08-14,5080.009765625
2017-08-15,5123.97021484375
2017-08-16,5159.10009765625
2017-08-17,5137.419921875
2017-08-18,5074.4501953125
2017-08-21,5066.18994140625
2017-08-22,5101.68017578125
2017-08-23,5105.5498046875
2017-08-24,5111.85986328125
2017-08-25,5098.509765625
2017-08-28,5066.009765625
2017-08-29,4995.06982421875
2017-08-30,5046.06982421875
2017-08-31,5068.43994140625
2017-09-01,5115.9501953125
2017-09-04,5088.27978515625
2017-09-05,5081.080078125
2017-09-06,5050.08984375
2017-09-07,5103.14990234375
2017-09-08,5086.509765625
2017-09-11,5145.77978515625
2017-09-12,5184.47021484375
2017-09-13,5200.2099609375
2017-09-14,5201.64990234375
2017-09-15,5201.97021484375
2017-09-18,5221.56005859375
2017-09-19,5219.7099609375
2017-09-20,5230.02001953125
2017-09-21,5257.43994140625
2017-09-22,5271.8798828125
2017-09-25,5260.4599609375
2017-09-26,5255.10986328125
2017-09-27,5272.31982421875
2017-09-28,5279.10009765625
2017-09-29,5284.740234375
2017-10-02,5326.66015625
2017-10-03,5355.2998046875
2017-10-04,5345.2001953125
2017-10-05,5355.91015625
2017-10-06,5350.259765625
2017-10-09,5351.68017578125
2017-10-10,5351.7900390625
2017-10-11,5338.14013671875
2017-10-12,5342.68994140625
2017-10-13,5344.9599609375
2017-10-16,5347.60986328125
2017-10-17,5347.5498046875
2017-10-18,5359.68017578125
2017-10-19,5343.0
2017-10-20,5368.2099609375
2017-10-23,5367.64990234375
2017-10-24,5377.85986328125
2017-10-25,5364.16015625
2017-10-26,5375.259765625
2017-10-27,5470.240234375
2017-10-30,5487.2900390625
2017-10-31,5489.41015625
2017-11-01,5514.2900390625
2017-11-02,5486.240234375
2017-11-03,5498.2900390625
2017-11-06,5492.89990234375
2017-11-07,5475.919921875
2017-11-08,5452.2001953125
2017-11-09,5401.43017578125
2017-11-10,5375.1201171875
2017-11-13,5301.02001953125
2017-11-14,5301.56982421875
2017-11-15,5267.22021484375
2017-11-16,5312.8701171875
2017-11-17,5304.35009765625
2017-11-20,5302.85009765625
2017-11-21,5326.85986328125
2017-11-22,5352.759765625
2017-11-23,5330.31982421875
2017-11-24,5374.39990234375
