Date,^FCHI
2017-03-01,4960.830078125
2017-03-02,4963.7998046875
2017-03-03,4995.1298828125
2017-03-06,4972.18994140625
2017-03-07,4955.0
2017-03-08,4960.47998046875
2017-03-09,4981.509765625
2017-03-10,4993.31982421875
2017-03-13,4999.60009765625
2017-03-14,4974.259765625
2017-03-15,4985.47998046875
2017-03-16,5013.3798828125
2017-03-17,5029.240234375
2017-03-20,5012.16015625
2017-03-21,5002.43017578125
2017-03-22,4994.7001953125
2017-03-23,5032.759765625
2017-03-24,5020.89990234375
2017-03-27,5017.43017578125
2017-03-28,5046.2001953125
2017-03-29,5069.0400390625
2017-03-30,5089.64013671875
2017-03-31,5122.509765625
2017-04-03,5085.91015625
2017-04-04,5101.1298828125
2017-04-05,5091.85009765625
2017-04-06,5121.43994140625
2017-04-07,5135.27978515625
2017-04-10,5107.4501953125
2017-04-11,5101.85986328125
2017-04-12,5101.10986328125
2017-04-13,5071.10009765625
2017-04-18,4990.25
2017-04-19,5003.72998046875
2017-04-20,5077.91015625
2017-04-21,5059.2001953125
2017-04-24,5268.85009765625
2017-04-25,5277.8798828125
2017-04-26,5287.8798828125
2017-04-27,5271.7001953125
2017-04-28,5267.330078125
2017-05-02,5304.14990234375
2017-05-03,5301.0
2017-05-04,5372.419921875
2017-05-05,5432.39990234375
2017-05-08,5382.9501953125
2017-05-09,5398.009765625
2017-05-10,5400.4599609375
2017-05-11,5383.419921875
2017-05-12,5405.419921875
2017-05-15,5417.39990234375
2017-05-16,5406.10009765625
2017-05-17,5317.89013671875
2017-05-18,5289.72998046875
2017-05-19,5324.39990234375
2017-05-22,5322.8798828125
2017-05-23,5348.16015625
2017-05-24,5341.33984375
2017-05-25,5337.16015625
2017-05-26,5336.64013671875
2017-05-29,5332.47021484375
2017-05-30,5305.93994140625
2017-05-31,5283.6298828125
2017-06-01,5318.669921875
2017-06-02,5343.41015625
2017-06-05,5307.89013671875
2017-06-06,5269.22021484375
2017-06-07,5265.52978515625
2017-06-08,5264.240234375
2017-06-09,5299.7099609375
2017-06-12,5240.58984375
2017-06-13,5261.740234375
2017-06-14,5243.2900390625
2017-06-15,5216.8798828125
2017-06-16,5263.31005859375
2017-06-19,5310.72021484375
2017-06-20,5293.64990234375
2017-06-21,5274.259765625
2017-06-22,5281.93017578125
2017-06-23,5266.1201171875
2017-06-26,5295.75
2017-06-27,5258.580078125
2017-06-28,5252.89990234375
2017-06-29,5154.35009765625
2017-06-30,5120.68017578125
2017-07-03,5195.72021484375
2017-07-04,5174.89990234375
2017-07-05,5180.10009765625
2017-07-06,5152.39990234375
2017-07-07,5145.16015625
2017-07-10,5165.64013671875
2017-07-11,5140.60009765625
2017-07-12,5222.1298828125
2017-07-13,5235.39990234375
2017-07-14,5235.31005859375
2017-07-17,5230.169921875
2017-07-18,5173.27001953125
2017-07-19,5216.06982421875
2017-07-20,5199.22021484375
2017-07-21,5117.66015625
2017-07-24,5127.7001953125
2017-07-25,5161.080078125
2017-07-26,5190.169921875
2017-07-27,5186.9501953125
2017-07-28,5131.39013671875
2017-07-31,5093.77001953125
2017-08-01,5127.02978515625
2017-08-02,5107.25
2017-08-03,5130.490234375
2017-08-04,5203.43994140625
2017-08-07,5207.89013671875
2017-08-08,5218.89013671875
2017-08-09,5145.7001953125
2017-08-10,5115.22998046875
2017-08-11,5060.919921875
2017-08-14,5121.669921875
2017-08-15,5140.25
2017-08-16,5176.60986328125
2017-08-17,5146.85009765625
2017-08-18,5114.14990234375
2017-08-21,5087.58984375
2017-08-22,5131.85986328125
2017-08-23,5115.39013671875
2017-08-24,5113.1298828125
2017-08-25,5104.330078125
2017-08-28,5079.75
2017-08-29,5031.919921875
2017-08-30,5056.33984375
2017-08-31,5085.58984375
2017-09-01,5123.259765625
2017-09-04,5103.97021484375
2017-09-05,5086.56005859375
2017-09-06,5101.41015625
2017-09-07,5114.6201171875
2017-09-08,5113.490234375
2017-09-11,5176.7099609375
2017-09-12,5209.009765625
2017-09-13,5217.58984375
2017-09-14,5225.2001953125
2017-09-15,5213.91015625
2017-09-18,5229.31982421875
2017-09-19,5237.43994140625
2017-09-20,5241.66015625
2017-09-21,5267.2900390625
2017-09-22,5281.2900390625
2017-09-25,5267.1298828125
2017-09-26,5268.759765625
2017-09-27,5281.9599609375
2017-09-28,5293.77001953125
2017-09-29,5329.81005859375
2017-10-02,5350.43994140625
2017-10-03,5367.41015625
2017-10-04,5363.22998046875
2017-10-05,5379.2099609375
2017-10-06,5359.89990234375
2017-10-09,5365.830078125
2017-10-10,5363.64990234375
2017-10-11,5362.41015625
2017-10-12,5360.81005859375
2017-10-13,5351.740234375
2017-10-16,5362.8798828125
2017-10-17,5361.3701171875
2017-10-18,5383.81005859375
2017-10-19,5368.2900390625
2017-10-20,5372.3798828125
2017-10-23,5386.81005859375
2017-10-24,5394.7998046875
2017-10-25,5374.89013671875
2017-10-26,5455.39990234375
2017-10-27,5494.1298828125
2017-10-30,5493.6298828125
2017-10-31,5503.2900390625
2017-11-01,5514.2900390625
2017-11-02,5510.5
2017-11-03,5517.97021484375
2017-11-06,5507.25
2017-11-07,5480.64013671875
2017-11-08,5471.43017578125
2017-11-09,5407.75
2017-11-10,5380.72021484375
2017-11-13,5341.6298828125
2017-11-14,5315.580078125
2017-11-15,5301.25
2017-11-16,5336.39013671875
2017-11-17,5319.169921875
2017-11-20,5340.4501953125
2017-11-21,5366.14990234375
2017-11-22,5352.759765625
2017-11-23,5379.5400390625
2017-11-24,5390.4599609375
2017-11-27,5360.08984375
