Date;CAC 40
2017-03-01;45.0
2017-03-02;40.0
2017-03-03;39.0
2017-03-06;42.0
2017-03-07;41.0
2017-03-08;41.0
2017-03-09;45.0
2017-03-10;44.0
2017-03-13;46.0
2017-03-14;38.0
2017-03-15;40.0
2017-03-16;70.0
2017-03-17;44.0
2017-03-20;42.0
2017-03-21;41.0
2017-03-22;43.0
2017-03-23;43.0
2017-03-24;44.0
2017-03-27;39.0
2017-03-28;40.0
2017-03-29;42.0
2017-03-30;39.0
2017-03-31;41.0
2017-04-03;41.0
2017-04-04;37.0
2017-04-05;38.0
2017-04-06;43.0
2017-04-07;45.0
2017-04-10;42.0
2017-04-11;42.0
2017-04-12;39.0
2017-04-13;39.0
2017-04-18;49.0
2017-04-19;41.0
2017-04-20;42.0
2017-04-21;51.0
2017-04-24;100.0
2017-04-25;68.0
2017-04-26;59.0
2017-04-27;49.0
2017-04-28;47.0
2017-05-02;46.0
2017-05-03;47.0
2017-05-04;60.0
2017-05-05;56.0
2017-05-08;68.0
2017-05-09;63.0
2017-05-10;55.0
2017-05-11;56.0
2017-05-12;48.0
2017-05-15;47.0
2017-05-16;48.0
2017-05-17;51.0
2017-05-18;50.0
2017-05-19;46.0
2017-05-22;54.0
2017-05-23;39.0
2017-05-24;37.0
2017-05-25;33.0
2017-05-26;40.0
2017-05-29;38.0
2017-05-30;44.0
2017-05-31;38.55670103092783
2017-06-01;34.47422680412371
2017-06-02;41.7319587628866
2017-06-05;33.56701030927835
2017-06-06;34.02061855670103
2017-06-07;34.02061855670103
2017-06-08;36.74226804123711
2017-06-09;42.63917525773196
2017-06-12;39.4639175257732
2017-06-13;40.824742268041234
2017-06-14;38.103092783505154
2017-06-15;39.4639175257732
2017-06-16;42.18556701030928
2017-06-19;44.90721649484536
2017-06-20;39.91752577319588
2017-06-21;37.649484536082475
2017-06-22;37.1958762886598
2017-06-23;38.103092783505154
2017-06-26;39.4639175257732
2017-06-27;41.7319587628866
2017-06-28;37.649484536082475
2017-06-29;40.824742268041234
2017-06-30;41.27835051546392
2017-07-03;40.824742268041234
2017-07-04;37.649484536082475
2017-07-05;42.18556701030928
2017-07-06;37.649484536082475
2017-07-07;37.1958762886598
2017-07-10;35.381443298969074
2017-07-11;29.484536082474225
2017-07-12;39.91752577319588
2017-07-13;41.27835051546392
2017-07-14;25.855670103092784
2017-07-17;34.92783505154639
2017-07-18;36.74226804123711
2017-07-19;34.92783505154639
2017-07-20;36.28865979381443
2017-07-21;39.91752577319588
2017-07-24;35.83505154639175
2017-07-25;38.103092783505154
2017-07-26;39.4639175257732
2017-07-27;44.90721649484536
2017-07-28;39.91752577319588
2017-07-31;41.27835051546392
2017-08-01;38.103092783505154
2017-08-02;36.28865979381443
2017-08-03;39.01030927835051
2017-08-04;43.09278350515464
2017-08-07;39.4639175257732
2017-08-08;37.1958762886598
2017-08-09;39.4639175257732
2017-08-10;45.36082474226804
2017-08-11;39.01030927835051
2017-08-14;35.83505154639175
2017-08-15;30.391752577319586
2017-08-16;45.36082474226804
2017-08-17;44.0
2017-08-18;38.55670103092783
2017-08-21;37.1958762886598
2017-08-22;40.824742268041234
2017-08-23;38.55670103092783
2017-08-24;37.649484536082475
2017-08-25;38.103092783505154
2017-08-28;35.381443298969074
2017-08-29;35.98112877861262
2017-08-30;39.57924165647388
2017-08-31;38.379870697186796
2017-09-01;38.97955617683034
2017-09-04;37.18049973789971
2017-09-05;39.57924165647388
2017-09-06;37.18049973789971
2017-09-07;35.381443298969074
2017-09-08;35.98112877861262
2017-09-11;38.379870697186796
2017-09-12;34.18207233968199
2017-09-13;42.577669054691604
2017-09-14;38.97955617683034
2017-09-15;40.17892713611743
2017-09-18;36.58081425825616
2017-09-19;39.57924165647388
2017-09-20;38.379870697186796
2017-09-21;35.98112877861262
2017-09-22;35.98112877861262
2017-09-25;37.78018521754325
2017-09-26;36.58081425825616
2017-09-27;33.58238686003845
2017-09-28;37.18049973789971
2017-09-29;38.97955617683034
2017-10-02;40.77861261576097
2017-10-03;41.97798357504806
2017-10-04;36.58081425825616
2017-10-05;38.379870697186796
2017-10-06;40.77861261576097
2017-10-09;34.18207233968199
2017-10-10;37.18049973789971
2017-10-11;39.57924165647388
2017-10-12;38.379870697186796
2017-10-13;38.379870697186796
2017-10-16;38.97955617683034
2017-10-17;35.98112877861262
2017-10-18;44.37672549362223
2017-10-19;38.379870697186796
2017-10-20;39.57924165647388
2017-10-23;37.78018521754325
2017-10-24;37.18049973789971
2017-10-25;39.57924165647388
2017-10-26;43.77704001397869
2017-10-27;59.96854796435437
2017-10-30;44.37672549362223
2017-10-31;46.775467412196406
2017-11-01;34.18207233968199
2017-11-02;44.97641097326578
2017-11-03;43.77704001397869
2017-11-06;46.775467412196406
2017-11-07;35.381443298969074
2017-11-08;41.97798357504806
2017-11-09;46.775467412196406
2017-11-10;39.57924165647388
2017-11-13;46.175781932552866
2017-11-14;42.577669054691604
2017-11-15;42.577669054691604
2017-11-16;40.77861261576097
2017-11-17;40.77861261576097
2017-11-20;41.37829809540452
2017-11-21;34.781757819325534
2017-11-22;41.97798357504806
2017-11-23;41.37829809540452
2017-11-24;40.77861261576097
2017-11-27;35.98112877861262
2017-11-28;44.37672549362223
2017-11-29;44.37672549362223
2017-11-30;44.37672549362223
2017-12-01;45.57609645290932
2017-12-04;45.57609645290932
2017-12-05;50.37358029005767
2017-12-06;40.77861261576097
2017-12-07;43.177354534335144
2017-12-08;46.775467412196406
2017-12-11;39.57924165647388
2017-12-12;39.57924165647388
2017-12-13;41.97798357504806
2017-12-14;44.37672549362223
2017-12-15;43.177354534335144
2017-12-18;43.177354534335144
2017-12-19;45.57609645290932
2017-12-20;43.177354534335144
2017-12-21;44.37672549362223
2017-12-22;45.57609645290932
2017-12-27;39.57924165647388
2017-12-28;39.57924165647388
2017-12-29;44.37672549362223
2018-01-02;33.58238686003845
2018-01-03;49.17420933077058
2018-01-04;50.37358029005767
2018-01-05;50.37358029005767
2018-01-08;52.77232220863184
2018-01-09;52.77232220863184
2018-01-10;51.572951249344754
2018-01-11;46.775467412196406
2018-01-12;44.37672549362223
2018-01-15;41.97798357504806
2018-01-16;49.17420933077058
2018-01-17;47.97483837148349
2018-01-18;45.57609645290932
2018-01-19;45.57609645290932
2018-01-22;44.37672549362223
2018-01-23;50.37358029005767
2018-01-24;46.775467412196406
2018-01-25;47.97483837148349
2018-01-26;47.97483837148349
2018-01-29;44.37672549362223
2018-01-30;44.37672549362223
2018-01-31;44.37672549362223
2018-02-01;46.775467412196406
2018-02-02;46.775467412196406
2018-02-05;55.171064127206016
2018-02-06;119.93709592870874
2018-02-07;86.35470906867029
2018-02-08;76.75974139437359
2018-02-09;87.55408002795738
2018-02-12;79.15848331294777
2018-02-13;70.76288659793815
2018-02-14;70.76288659793815
2018-02-15;70.76288659793815
2018-02-16;64.76603180150272
2018-02-19;57.5698060457802
2018-02-20;56.3704350864931
2018-02-21;56.3704350864931
2018-02-22;62.367289882928546
2018-02-23;62.367289882928546
2018-02-26;46.49868949851478
2018-02-27;50.373580290057674
2018-02-28;47.14450463043859
2018-03-01;45.20705923466714
2018-03-02;54.89428621352439
2018-03-05;56.185916477372025
2018-03-06;48.436134894286226
2018-03-07;54.24847108160057
2018-03-08;50.373580290057674
2018-03-09;54.24847108160057
2018-03-12;45.85287436659096
2018-03-13;46.49868949851478
2018-03-14;47.14450463043859
2018-03-15;48.436134894286226
2018-03-16;49.081950026210045
2018-03-19;42.623798706971876
2018-03-20;46.49868949851478
2018-03-21;45.85287436659096
2018-03-22;56.185916477372025
2018-03-23;64.58151319238164
2018-03-26;54.89428621352439
2018-03-27;56.83173160929584
2018-03-28;56.83173160929584
2018-03-29;52.31102568582912
2018-04-03;48.436134894286226
2018-04-04;54.24847108160057
2018-04-05;58.12336187314347
2018-04-06;52.95684081775294
2018-04-09;54.89428621352439
2018-04-10;50.373580290057674
2018-04-11;47.79031976236241
2018-04-12;48.436134894286226
2018-04-13;45.20705923466714
2018-04-16;43.91542897081951
2018-04-17;41.332168443124246
2018-04-18;47.14450463043859
2018-04-19;44.56124410274333
2018-04-20;53.60265594967676
2018-04-23;52.31102568582912
2018-04-24;54.24847108160057
2018-04-25;47.14450463043859
2018-04-26;47.79031976236241
2018-04-27;47.79031976236241
2018-04-30;46.49868949851478
2018-05-02;51.66521055390531
2018-05-03;45.85287436659096
2018-05-04;47.14450463043859
2018-05-07;45.85287436659096
2018-05-08;32.936571728114636
2018-05-09;47.79031976236241
2018-05-10;38.74890791542898
2018-05-11;43.269613838895694
2018-05-14;55.54010134544821
2018-05-15;54.24847108160057
2018-05-16;46.49868949851478
2018-05-17;54.24847108160057
2018-05-18;51.66521055390531
2018-05-21;37.45727765158135
2018-05-22;53.60265594967676
2018-05-23;52.95684081775294
2018-05-24;54.24847108160057
2018-05-25;47.14450463043859
2018-05-28;47.69269654474601
2018-05-29;54.81919143074254
2018-05-30;50.98184803059056
2018-05-31;49.885464201975715
2018-06-01;52.07823185920542
2018-06-04;40.56620165874948
2018-06-05;48.24088845905344
2018-06-06;46.048120801823735
2018-06-07;43.30716123028661
2018-06-08;47.14450463043859
2018-06-11;43.30716123028661
2018-06-12;38.92162591582721
2018-06-13;38.37343400151978
2018-06-14;45.49992888751631
2018-06-15;45.49992888751631
2018-06-18;40.56620165874948
2018-06-19;41.66258548736433
2018-06-20;44.95173697320888
2018-06-21;43.30716123028661
2018-06-22;43.855353144594034
2018-06-25;39.46981783013463
2018-06-26;47.14450463043859
2018-06-27;47.69269654474601
2018-06-28;50.98184803059056
2018-06-29;43.30716123028661
2018-07-02;44.40354505890146
2018-07-03;46.59631271613116
2018-07-04;41.11439357305691
2018-07-05;43.855353144594034
2018-07-06;40.56620165874948
2018-07-09;38.92162591582721
2018-07-10;42.758969315979186
2018-07-11;42.210777401671756
2018-07-12;42.758969315979186
2018-07-13;44.40354505890146
2018-07-16;43.30716123028661
2018-07-17;39.46981783013463
2018-07-18;43.30716123028661
2018-07-19;41.11439357305691
2018-07-20;34.5360906013678
2018-07-23;34.5360906013678
2018-07-24;38.92162591582721
2018-07-25;40.56620165874948
2018-07-26;41.11439357305691
2018-07-27;40.018009744442054
2018-07-30;40.018009744442054
2018-07-31;41.66258548736433
2018-08-01;38.92162591582721
2018-08-02;38.92162591582721
2018-08-03;43.30716123028661
2018-08-06;38.37343400151978
2018-08-07;37.27705017290493
2018-08-08;38.37343400151978
2018-08-09;38.92162591582721
2018-08-10;43.30716123028661
2018-08-13;41.66258548736433
2018-08-14;37.82524208721235
2018-08-15;33.98789868706038
2018-08-16;44.95173697320888
2018-08-17;44.40354505890146
2018-08-20;40.56620165874948
2018-08-21;40.56620165874948
2018-08-22;41.66258548736433
2018-08-23;43.855353144594034
2018-08-24;39.61128671124622
2018-08-27;35.36722027789841
2018-08-28;38.903942305688254
2018-08-29;43.855353144594034
2018-08-30;38.903942305688254
2018-08-31;36.07456468345638
2018-09-03;39.61128671124622
2018-09-04;41.02597552236216
2018-09-05;45.27004195570997
2018-09-06;42.4406643334781
2018-09-07;41.02597552236216
2018-09-10;41.73331992792013
2018-09-11;36.07456468345638
2018-09-12;38.903942305688254
2018-09-13;38.196597900130286
2018-09-14;38.903942305688254
2018-09-17;38.196597900130286
2018-09-18;34.65987587234044
2018-09-19;37.48925349457232
2018-09-20;41.02597552236216
2018-09-21;45.97738636126794
2018-09-24;41.73331992792013
2018-09-25;41.02597552236216
2018-09-26;41.02597552236216
2018-09-27;36.78190908901435
2018-09-28;43.855353144594034
2018-10-01;38.196597900130286
2018-10-02;39.61128671124622
2018-10-03;37.48925349457232
2018-10-04;40.31863111680419
2018-10-05;39.61128671124622
2018-10-08;41.73331992792013
2018-10-09;41.02597552236216
2018-10-10;43.855353144594034
2018-10-11;69.31975174468089
2018-10-12;60.1242744724273
2018-10-15;58.709585661311365
2018-10-16;56.58755244463747
2018-10-17;58.709585661311365
2018-10-18;49.51410838905778
2018-10-19;53.050830416847624
2018-10-22;43.855353144594034
2018-10-23;62.953652094659176
2018-10-24;62.24630768910121
2018-10-25;70.73444055579682
2018-10-26;70.73444055579682
2018-10-29;70.02709615023886
2018-10-30;61.53896328354324
2018-10-31;60.83161887798527
2018-11-01;46.68473076682591
2018-11-02;59.416930066869334
2018-11-05;53.75817482240559
2018-11-06;48.099419577941845
2018-11-07;58.0022412557534
2018-11-08;52.343486011289656
2018-11-09;50.92879720017372
2018-11-12;52.343486011289656
2018-11-13;54.46551922796356
2018-11-14;53.050830416847624
2018-11-15;57.29489685019543
2018-11-16;49.51410838905778
2018-11-19;56.58755244463747
2018-11-20;60.1242744724273
2018-11-21;55.17286363352153
2018-11-22;55.17286363352153
2018-11-23;45.48033353574072
2018-11-26;52.93612591864904
2018-11-27;49.208229727194876
2018-11-28;45.48033353574072
2018-11-29;50.69938820377654
2018-11-30;48.462650488904046
2018-12-03;53.68170515693987
2018-12-04;52.93612591864904
2018-12-05;51.44496744206737
2018-12-06;69.33886916104733
2018-12-07;73.06676535250149
2018-12-10;61.883076778139014
2018-12-11;64.1198144930115
2018-12-12;63.37423525472068
2018-12-13;64.86539373130235
2018-12-14;55.17286363352153
2018-12-17;52.93612591864904
2018-12-18;58.15518058668486
2018-12-19;58.90075982497569
2018-12-20;67.84771068446567
2018-12-21;66.35655220788401
2018-12-24;55.91844287181236
2018-12-27;74.55792382908315
2018-12-28;73.81234459079232
2018-12-31;46.225912774031556
2019-01-02;66.35655220788401
2019-01-03;68.5932899227565
2019-01-04;70.83002763762899
2019-01-07;61.883076778139014
2019-01-08;64.1198144930115
2019-01-09;70.08444839933816
2019-01-10;68.5932899227565
2019-01-11;64.1198144930115
2019-01-14;54.4272843952307
2019-01-15;61.137497539848184
2019-01-16;62.628656016429844
2019-01-17;60.391918301557354
2019-01-18;61.137497539848184
2019-01-21;60.391918301557354
2019-01-22;54.4272843952307
2019-01-23;59.646339063266524
2019-01-24;58.90075982497569
2019-01-25;66.35655220788401
2019-01-28;58.15518058668486
2019-01-29;59.646339063266524
2019-01-30;61.137497539848184
2019-01-31;61.137497539848184
2019-02-01;66.35655220788401
2019-02-04;56.6640221101032
2019-02-05;67.84771068446567
2019-02-06;64.1198144930115
2019-02-07;59.646339063266524
2019-02-08;59.646339063266524
2019-02-11;56.6640221101032
2019-02-12;61.137497539848184
2019-02-13;64.1198144930115
2019-02-14;64.86539373130235
2019-02-15;69.33886916104733
2019-02-18;59.646339063266524
2019-02-19;59.646339063266524
2019-02-20;59.646339063266524
2019-02-21;68.26990615675085
2019-02-22;66.83264497450345
2019-02-25;62.5208614277613
2019-02-26;61.802230836637605
2019-02-27;60.36496965439022
2019-02-28;60.36496965439022
2019-03-01;65.39538379225607
