Date,AC.PA,ACA.PA,AI.PA,AIR.PA,ATO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,EN.PA,ENGI.PA,FP.PA,FR.PA,FTI.PA,GLE.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STM.PA,SU.PA,SW.PA,UG.PA,URW.AS,VIE.PA,VIV.PA
2017-03-20,548786.0,2846730.0,497511.0,1052748.0,374095.0,1774601.0,2123537.0,2072987.0,392435.0,4111694.0,1166306.0,147728.0,,616283.0,5271538.0,5869161.0,408075.0,1565386.0,2069366.0,246640.0,335325.0,377839.0,332181.0,4019457.0,423874.0,3882600.0,380163.0,287303.0,35597.0,958665.0,511652.0,1711810.0,1061623.0,2815916.0,1073282.0,110414.0,2186932.0,261029.0,1793503.0,2550044.0
2017-03-21,646495.0,6435065.0,692898.0,1691796.0,217096.0,1866100.0,4120914.0,2448249.0,535450.0,5895691.0,1829932.0,263720.0,,595795.0,5525055.0,5697212.0,992245.0,1307197.0,4410575.0,244150.0,457115.0,628230.0,561166.0,7476327.0,516500.0,5636120.0,601499.0,335099.0,59571.0,1184824.0,892615.0,2167414.0,1231228.0,2082390.0,1506918.0,110332.0,2258388.0,284956.0,4066836.0,3100496.0
2017-03-22,769574.0,5585651.0,685502.0,1942474.0,319212.0,1639796.0,3657229.0,3271601.0,557997.0,9060582.0,1261908.0,246765.0,,1110965.0,5520173.0,5190058.0,765768.0,1629426.0,4661800.0,337472.0,435939.0,788325.0,500104.0,8726414.0,663903.0,5296330.0,623905.0,492969.0,49165.0,1044831.0,1238675.0,2053061.0,1412888.0,3354093.0,1198163.0,144142.0,3923551.0,331932.0,2723460.0,2233225.0
2017-03-23,657831.0,6806358.0,589432.0,1459948.0,232764.0,1444241.0,3635753.0,2674446.0,585644.0,6379666.0,1925845.0,216352.0,,755620.0,5197097.0,5263462.0,569413.0,1882324.0,3716385.0,239807.0,470449.0,557488.0,696285.0,6967139.0,426038.0,6581260.0,812205.0,605311.0,49765.0,770313.0,1045844.0,1971804.0,1495549.0,1773772.0,1144153.0,195166.0,2411606.0,306036.0,2068135.0,3146671.0
2017-03-24,710003.0,2900528.0,581483.0,1138325.0,241609.0,1169752.0,2643444.0,2164208.0,442767.0,6795663.0,1726331.0,311770.0,,673069.0,3941555.0,3605979.0,613885.0,1086698.0,2431839.0,196333.0,403105.0,569897.0,446211.0,4605205.0,478901.0,7008709.0,518279.0,486894.0,30900.0,834672.0,775787.0,1444188.0,932419.0,2719093.0,1022552.0,129895.0,2107682.0,360356.0,1977966.0,2077580.0
2017-03-27,772113.0,4421332.0,617555.0,1342929.0,272542.0,1585232.0,2867677.0,1787610.0,497355.0,6593576.0,2204052.0,257808.0,,829185.0,4914197.0,5114084.0,598310.0,1243388.0,2873211.0,211891.0,416487.0,457095.0,556015.0,10948831.0,546422.0,4932079.0,517697.0,328552.0,41062.0,608446.0,693408.0,1944737.0,1601017.0,2004642.0,1259219.0,202308.0,2525973.0,303332.0,2807034.0,2762267.0
2017-03-28,1707202.0,10647366.0,742238.0,1089990.0,228225.0,1794172.0,3658366.0,2319059.0,382987.0,4909207.0,1292176.0,251087.0,,969354.0,5204719.0,4827128.0,658222.0,1678951.0,3127896.0,204968.0,313214.0,467102.0,462873.0,5860215.0,434879.0,6234365.0,605265.0,395805.0,50834.0,720209.0,757684.0,1733029.0,1244086.0,1837648.0,994431.0,140484.0,2970828.0,246116.0,2770316.0,2293384.0
2017-03-29,794786.0,7032175.0,622542.0,1341066.0,179956.0,1438444.0,4058229.0,2662225.0,456224.0,5546906.0,1164176.0,207667.0,,686709.0,11281577.0,4511535.0,727963.0,1817329.0,3247595.0,172550.0,338598.0,396037.0,458195.0,5779026.0,480597.0,5271576.0,693581.0,362558.0,37224.0,633050.0,576982.0,1941170.0,1014611.0,1859667.0,1248304.0,170994.0,2872902.0,193326.0,2259633.0,3343760.0
2017-03-30,497528.0,3580234.0,531165.0,1117112.0,200106.0,1489278.0,3106664.0,2067650.0,424774.0,5233928.0,1100737.0,248913.0,,817571.0,5385610.0,5431874.0,940385.0,1044910.0,2646743.0,220973.0,439521.0,313050.0,474843.0,5471801.0,473301.0,4618537.0,951422.0,296407.0,29612.0,562420.0,798092.0,1702510.0,1433907.0,1497456.0,1115636.0,183521.0,1764969.0,230614.0,3877977.0,2730172.0
2017-03-31,763254.0,3968671.0,1033642.0,2074757.0,228496.0,2019023.0,4030526.0,1978766.0,709137.0,7463471.0,1503518.0,230639.0,,1155025.0,6945557.0,6786119.0,708817.0,957274.0,3608112.0,254200.0,578435.0,791085.0,792563.0,6805221.0,706089.0,10500152.0,682769.0,506119.0,48906.0,755316.0,1461662.0,2768566.0,2153298.0,1281764.0,1582832.0,239608.0,2662162.0,459852.0,2853295.0,7015183.0
