Date,index,AC.PA,ACA.PA,AI.PA,AIR.PA,ATO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,EN.PA,ENGI.PA,FP.PA,FR.PA,FTI.PA,GLE.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STM.PA,SU.PA,SW.PA,UG.PA,URW.AS,VIE.PA,VIV.PA
2017-03-01,0,37.59000015258789,11.454400062561035,104.0999984741211,71.4000015258789,112.5,63.04999923706055,57.959999084472656,22.895000457763672,82.5999984741211,23.174999237060547,70.19000244140625,77.38999938964844,110.65,37.11000061035156,11.65999984741211,47.8849983215332,59.790000915527344,31.309999465942383,44.185001373291016,218.9770050048828,54.380001068115234,195.9499969482422,107.80000305175781,26.240999221801758,177.25,14.444999694824219,64.62000274658203,109.5,418.54998779296875,87.1500015258789,68.25,83.29000091552734,46.279998779296875,14.680000305175781,65.80999755859375,104.94999694824219,18.510000228881836,218.35000610351562,15.779999732971191,16.780000686645508
2017-03-02,1,37.54999923706055,11.598899841308594,103.5999984741211,71.69999694824219,111.8499984741211,62.790000915527344,58.11000061035156,22.954999923706055,83.87000274658203,23.354999542236328,69.91999816894531,77.2300033569336,109.2,37.31999969482422,12.630000114440918,47.95500183105469,59.90999984741211,32.10499954223633,44.41999816894531,218.23300170898438,54.31999969482422,194.85000610351562,107.1500015258789,26.520000457763672,176.1999969482422,14.4350004196167,64.70999908447266,109.19999694824219,420.1499938964844,86.44999694824219,68.80000305175781,83.29000091552734,46.494998931884766,14.824999809265137,65.69000244140625,105.4000015258789,18.524999618530273,217.39999389648438,16.239999771118164,16.7549991607666
2017-03-03,2,37.404998779296875,11.883000373840332,102.94999694824219,71.8499984741211,111.25,62.75,59.939998626708984,23.06999969482422,84.33000183105469,23.7450008392334,70.3499984741211,76.81999969482422,108.9,37.255001068115234,12.920000076293945,48.220001220703125,59.779998779296875,31.579999923706055,46.31999969482422,216.6999969482422,53.4900016784668,194.64999389648438,107.25,25.61400032043457,176.6999969482422,14.494999885559082,64.12000274658203,108.8499984741211,419.29998779296875,87.37000274658203,68.88999938964844,83.7300033569336,46.189998626708984,14.8100004196167,65.41000366210938,105.19999694824219,19.059999465942383,217.5500030517578,16.399999618530273,16.684999465942383
2017-03-06,3,37.3650016784668,11.868499755859375,103.1500015258789,71.47000122070312,110.75,62.540000915527344,59.47999954223633,22.954999923706055,83.8499984741211,23.790000915527344,70.36000061035156,76.62999725341797,108.55,37.21500015258789,12.805000305175781,48.084999084472656,59.900001525878906,30.6200008392334,46.27000045776367,217.49000549316406,53.349998474121094,194.9499969482422,106.69999694824219,25.20599937438965,176.5,14.4350004196167,63.18000030517578,108.75,419.1000061035156,87.9000015258789,69.12000274658203,83.66000366210938,46.06999969482422,14.699999809265137,65.5,104.75,20.059999465942383,217.4499969482422,16.309999465942383,16.645000457763672
2017-03-07,4,37.64500045776367,11.699999809265137,103.19999694824219,70.95999908447266,111.5999984741211,62.52000045776367,59.09000015258789,22.94499969482422,84.05000305175781,23.65999984741211,70.25,76.69000244140625,108.7,37.17499923706055,12.845000267028809,47.880001068115234,59.630001068115234,30.389999389648438,45.474998474121094,217.9550018310547,53.279998779296875,194.35000610351562,107.19999694824219,24.93000030517578,176.85000610351562,14.475000381469727,62.619998931884766,108.4000015258789,420.0,86.91000366210938,69.05000305175781,82.52999877929688,45.900001525878906,14.59000015258789,65.48999786376953,105.0,19.93000030517578,217.6999969482422,16.344999313354492,16.770000457763672
2017-03-08,5,37.529998779296875,11.714400291442871,102.55000305175781,70.73999786376953,110.94999694824219,61.959999084472656,59.88999938964844,22.760000228881836,83.87000274658203,23.934999465942383,70.45999908447266,76.69999694824219,109.45,37.189998626708984,12.725000381469727,47.60499954223633,59.650001525878906,30.260000228881836,46.41999816894531,217.7689971923828,53.290000915527344,195.60000610351562,107.30000305175781,24.891000747680664,175.64999389648438,14.399999618530273,63.060001373291016,108.05000305175781,425.0,86.98999786376953,69.4000015258789,82.55000305175781,46.185001373291016,14.84000015258789,65.52999877929688,104.6500015258789,19.915000915527344,215.6999969482422,16.06999969482422,16.895000457763672
2017-03-09,6,38.14500045776367,11.979299545288086,102.8499984741211,70.5,112.3499984741211,62.56999969482422,61.16999816894531,22.225000381469727,83.70999908447266,24.139999389648438,70.81999969482422,77.04000091552734,111.8,37.58000183105469,12.760000228881836,46.790000915527344,59.20000076293945,30.0,47.25,220.23199462890625,53.2400016784668,196.10000610351562,106.5999984741211,24.542999267578125,176.39999389648438,14.675000190734863,63.06999969482422,108.5,423.5,86.26000213623047,69.37000274658203,82.6500015258789,46.310001373291016,14.779999732971191,65.16000366210938,104.6500015258789,19.71500015258789,217.9499969482422,16.149999618530273,17.395000457763672
2017-03-10,7,38.369998931884766,12.181500434875488,103.19999694824219,70.77999877929688,113.0,62.970001220703125,62.2400016784668,21.799999237060547,83.68000030517578,24.28499984741211,70.87000274658203,77.33000183105469,113.5,37.959999084472656,12.755000114440918,47.82500076293945,59.0099983215332,29.895000457763672,48.2400016784668,221.11500549316406,53.439998626708984,197.25,106.69999694824219,24.434999465942383,177.9499969482422,14.859999656677246,63.2400016784668,108.5999984741211,429.5,86.30000305175781,69.43000030517578,82.86000061035156,46.650001525878906,14.399999618530273,65.88999938964844,106.19999694824219,19.735000610351562,217.0,16.225000381469727,17.485000610351562
2017-03-13,8,38.18000030517578,12.220000267028809,103.44999694824219,70.38999938964844,112.8499984741211,63.060001373291016,61.97999954223633,21.989999771118164,82.87999725341797,24.075000762939453,70.51000213623047,77.05999755859375,112.45,39.05500030517578,12.640000343322754,47.42499923706055,59.189998626708984,30.024999618530273,48.03499984741211,224.5540008544922,53.380001068115234,198.4499969482422,107.8499984741211,24.819000244140625,177.1999969482422,15.154999732971191,62.4900016784668,108.9000015258789,430.79998779296875,86.3499984741211,69.19999694824219,82.69000244140625,46.470001220703125,14.399999618530273,65.62000274658203,105.44999694824219,19.5,214.75,16.18000030517578,17.364999771118164
2017-03-14,9,37.91999816894531,12.061100006103516,103.80000305175781,70.56999969482422,113.80000305175781,62.900001525878906,61.31999969482422,22.024999618530273,83.0999984741211,24.09000015258789,70.30000305175781,77.25,111.6,38.25,12.5,47.130001068115234,60.29999923706055,29.80500030517578,47.744998931884766,223.02000427246094,53.400001525878906,198.4499969482422,107.6500015258789,25.139999389648438,177.6999969482422,14.729999542236328,63.189998626708984,109.44999694824219,429.8500061035156,85.86000061035156,68.83000183105469,82.45999908447266,46.46500015258789,14.305000305175781,65.55999755859375,105.19999694824219,19.56999969482422,214.4499969482422,16.25,17.274999618530273
